Section,,Mar 2015,Mar 2016,Mar 2018,Mar 2019,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Revenue,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,
Quarterly Results,Financing Profit,,,,,,,,,,,,,,
Quarterly Results,Financing Margin %,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,
Quarterly Results,Gross NPA %,,,,,,,,,,,,,,
Quarterly Results,Net NPA %,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Revenue,34,48,201,409,,,,,,,,,,
Profit & Loss,Interest,10,14,57,76,,,,,,,,,,
Profit & Loss,Expenses,8,12,66,110,,,,,,,,,,
Profit & Loss,Financing Profit,16,21,77,223,,,,,,,,,,
Profit & Loss,Financing Margin %,46%,44%,39%,54%,,,,,,,,,,
Profit & Loss,Other Income,0,0,-0,0,,,,,,,,,,
Profit & Loss,Depreciation,0,1,3,4,,,,,,,,,,
Profit & Loss,Profit before tax,15,21,75,218,,,,,,,,,,
Profit & Loss,Tax %,35%,34%,28%,28%,,,,,,,,,,
Profit & Loss,Net Profit,10,14,53,157,,,,,,,,,,
Profit & Loss,EPS in Rs,9.73,12.82,27.88,65.55,,,,,,,,,,
Profit & Loss,Dividend Payout %,19%,0%,0%,0%,,,,,,,,,,
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,10,11,19,24,,,,,,,,,,
Balance Sheet,Reserves,61,81,573,1341,,,,,,,,,,
Balance Sheet,Borrowing,88,129,546,955,,,,,,,,,,
Balance Sheet,Other Liabilities,6,5,14,30,,,,,,,,,,
Balance Sheet,Total Liabilities,165,225,1152,2350,,,,,,,,,,
Balance Sheet,Fixed Assets,1,2,6,10,,,,,,,,,,
Balance Sheet,CWIP,0,0,0,0,,,,,,,,,,
Balance Sheet,Investments,0,4,0,0,,,,,,,,,,
Balance Sheet,Other Assets,164,219,1145,2340,,,,,,,,,,
Balance Sheet,Total Assets,165,225,1152,2350,,,,,,,,,,
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-20,-51,-476,-951,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-0,-5,16,14,,,,,,,,,,
Cash Flows,Cash from Financing Activity,38,46,408,1025,,,,,,,,,,
Cash Flows,Net Cash Flow,17,-10,-53,88,,,,,,,,,,
,,,,,,,,,,,,,,,
Ratios,ROE %,,17%,,16%,,,,,,,,,,
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,34.87%,34.87%,34.39%,31.30%,26.54%,26.51%,26.51%,21.59%,21.55%,21.47%
Shareholding Pattern (Quarterly),FIIs,,,,,6.54%,6.98%,8.74%,50.22%,54.28%,56.06%,57.45%,56.70%,57.76%,58.75%
Shareholding Pattern (Quarterly),DIIs,,,,,5.62%,5.05%,4.71%,7.52%,7.82%,6.97%,6.07%,8.99%,10.10%,9.09%
Shareholding Pattern (Quarterly),Public,,,,,52.96%,53.10%,52.15%,10.97%,11.36%,10.44%,9.96%,12.71%,10.60%,10.69%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,27690,26481,30655,40121,51906,50442,48897,58902,71229,76899
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,34.87%,,,,26.51%,,,,21.47%
Shareholding Pattern (Yearly),FIIs,,,,,,6.98%,,,,56.06%,,,,58.75%
Shareholding Pattern (Yearly),DIIs,,,,,,5.05%,,,,6.97%,,,,9.09%
Shareholding Pattern (Yearly),Public,,,,,,53.10%,,,,10.44%,,,,10.69%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,26481,,,,50442,,,,76899
,,,,,,,,,,,,,,,
