Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 20183m,Mar 2019,Mar 2020,Mar 2021,Mar 2018
Quarterly Results,Sales,652,686,745,917,1017,1098,1199,1257,1318,1365,1471,1478,1528,,,,,
Quarterly Results,Expenses,530,553,607,747,835,884,959,998,1045,1077,1174,1172,1205,,,,,
Quarterly Results,Operating Profit,121,133,138,170,182,214,240,259,272,288,297,306,323,,,,,
Quarterly Results,OPM %,19%,19%,19%,19%,18%,19%,20%,21%,21%,21%,20%,21%,21%,,,,,
Quarterly Results,Other Income,14,16,11,18,7,22,9,19,17,54,52,19,60,,,,,
Quarterly Results,Interest,7,6,7,8,11,14,14,16,12,13,10,10,9,,,,,
Quarterly Results,Depreciation,31,31,33,40,42,45,48,50,53,53,56,58,58,,,,,
Quarterly Results,Profit before tax,97,112,109,139,136,177,188,212,224,277,283,257,316,,,,,
Quarterly Results,Tax %,17%,22%,23%,25%,18%,24%,25%,26%,26%,26%,28%,27%,23%,,,,,
Quarterly Results,Net Profit,81,88,84,104,112,134,141,157,166,204,204,187,245,,,,,
Quarterly Results,EPS in Rs,2.88,3.12,3.05,3.67,4.07,4.89,5.14,5.67,6.00,7.45,7.43,6.82,8.93,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,2432,,,,3365,,,,4872,,,,5842,0,641,2156,2036,
Profit & Loss,Expenses,1981,,,,2732,,,,3881,,,,4613,0,550,1866,1729,
Profit & Loss,Operating Profit,451,,,,633,,,,991,,,,1230,-0,92,290,307,
Profit & Loss,OPM %,19%,,,,19%,,,,20%,,,,21%,,14%,13%,15%,
Profit & Loss,Other Income,32,,,,43,,,,60,,,,170,0,1,19,21,
Profit & Loss,Interest,19,,,,32,,,,55,,,,42,0,7,20,17,
