Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,681,682,745,749,826,808,1048,1059,1357,1405,1515,1262,1056,,,,,,,
Quarterly Results,Expenses,384,416,429,424,440,487,605,661,827,935,843,766,713,,,,,,,
Quarterly Results,Operating Profit,296,266,316,324,386,320,443,398,530,470,672,496,343,,,,,,,
Quarterly Results,OPM %,44%,39%,42%,43%,47%,40%,42%,38%,39%,33%,44%,39%,32%,,,,,,,
Quarterly Results,Other Income,3,2,0,11,5,4,1,2,1,5,1,2,2,,,,,,,
Quarterly Results,Interest,20,20,24,26,21,18,26,36,56,56,75,84,80,,,,,,,
Quarterly Results,Depreciation,5,6,7,8,9,9,11,13,17,23,26,27,29,,,,,,,
Quarterly Results,Profit before tax,274,243,286,302,362,297,407,351,459,397,572,387,236,,,,,,,
Quarterly Results,Tax %,25%,25%,25%,24%,26%,26%,25%,26%,26%,26%,26%,27%,26%,,,,,,,
Quarterly Results,Net Profit,205,182,214,228,267,221,304,260,340,293,423,281,175,,,,,,,
Quarterly Results,EPS in Rs,24.70,21.85,25.63,27.35,32.00,26.34,36.29,31.01,40.47,32.49,46.96,31.19,19.33,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,2292,,,,3002,,,,4272,,,,5239,450,451,440,770,778,748,1289
Profit & Loss,Expenses,1366,,,,1708,,,,2579,,,,3256,339,362,437,516,575,570,828
Profit & Loss,Operating Profit,926,,,,1294,,,,1693,,,,1983,112,90,3,254,203,178,460
Profit & Loss,OPM %,40%,,,,43%,,,,40%,,,,38%,25%,20%,1%,33%,26%,24%,36%
Profit & Loss,Other Income,5,,,,18,,,,7,,,,8,11,11,112,14,11,7,10
Profit & Loss,Interest,76,,,,91,,,,137,,,,296,38,36,54,95,70,50,42
Profit & Loss,Depreciation,19,,,,30,,,,50,,,,103,10,13,14,15,20,21,18
Profit & Loss,Profit before tax,836,,,,1192,,,,1514,,,,1592,74,52,48,159,124,114,410
Profit & Loss,Tax %,25%,,,,25%,,,,26%,,,,26%,37%,39%,35%,32%,36%,28%,28%
Profit & Loss,Net Profit,625,,,,890,,,,1126,,,,1172,47,32,31,108,80,82,297
Profit & Loss,EPS in Rs,75.41,,,,106.68,,,,133.98,,,,129.81,32.69,22.08,21.59,14.99,11.09,11.44,36.28
Profit & Loss,Dividend Payout %,36%,,,,37%,,,,26%,,,,37%,13%,25%,31%,91%,24%,24%,35%
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,83,,,,83,,,,84,,,,90,14,14,14,72,72,72,82
Balance Sheet,Reserves,1502,,,,2078,,,,2955,,,,5531,332,355,375,403,459,519,1049
Balance Sheet,Borrowings,1258,,,,788,,,,2541,,,,3414,333,358,772,1125,872,491,1171
Balance Sheet,Other Liabilities,4378,,,,4528,,,,7674,,,,7853,295,411,641,767,805,1108,2511
Balance Sheet,Total Liabilities,7220,,,,7478,,,,13254,,,,16889,974,1139,1803,2367,2209,2190,4814
Balance Sheet,Fixed Assets,152,,,,187,,,,409,,,,499,121,122,123,116,134,124,115
Balance Sheet,CWIP,12,,,,62,,,,1,,,,4,1,3,1,0,1,2,0
Balance Sheet,Investments,19,,,,109,,,,0,,,,202,0,0,50,6,15,35,6
Balance Sheet,Other Assets,7037,,,,7120,,,,12844,,,,16184,852,1014,1630,2246,2059,2029,4693
Balance Sheet,Total Assets,7220,,,,7478,,,,13254,,,,16889,974,1139,1803,2367,2209,2190,4814
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,558,,,,804,,,,-330,,,,-1860,11,-77,-210,-309,689,643,-1199
Cash Flows,Cash from Investing Activity,-52,,,,-185,,,,-91,,,,-341,-7,-13,-50,47,-6,-28,25
Cash Flows,Cash from Financing Activity,-165,,,,-908,,,,1331,,,,1917,2,40,350,239,-361,-449,894
Cash Flows,Net Cash Flow,340,,,,-289,,,,910,,,,-284,5,-51,91,-23,323,166,-280
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,90,,,,45,,,,42,,,,21,218,361,712,75,101,19,64
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,90,,,,45,,,,42,,,,21,218,361,712,75,101,19,64
Ratios,Working Capital Days,-569,,,,-474,,,,-525,,,,-497,122,119,289,244,127,-380,-235
Ratios,ROCE %,35%,,,,44%,,,,39%,,,,26%,,12%,11%,18%,13%,14%,27%
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,43.83%,43.71%,43.68%,38.48%,38.30%,38.26%,38.23%,38.21%,35.63%,35.61%,35.57%,35.55%,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,10.54%,11.27%,17.25%,16.61%,17.04%,16.82%,19.11%,17.27%,15.36%,12.27%,13.81%,13.05%,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,8.92%,9.71%,9.27%,9.73%,10.25%,10.41%,9.32%,9.49%,14.03%,12.73%,14.32%,14.27%,,,,,,,
Shareholding Pattern (Quarterly),Public,,36.70%,35.32%,29.80%,35.17%,34.42%,34.52%,33.33%,35.02%,34.99%,39.39%,36.28%,37.12%,,,,,,,
