Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,86.36%,86.36%,86.36%,86.36%,86.36%,86.36%,86.36%,86.36%,86.36%,86.36%,86.36%,86.36%,,
Shareholding Pattern (Quarterly),FIIs,1.02%,1.05%,1.01%,1.15%,1.14%,1.14%,1.15%,1.08%,1.11%,1.09%,1.01%,0.98%,,
Shareholding Pattern (Quarterly),DIIs,3.25%,3.39%,2.97%,2.62%,2.02%,1.63%,1.15%,0.89%,1.08%,1.08%,1.24%,1.34%,,
Shareholding Pattern (Quarterly),Public,9.36%,9.19%,9.66%,9.87%,10.49%,10.88%,11.34%,11.68%,11.45%,11.48%,11.40%,11.32%,,
Shareholding Pattern (Quarterly),No. of Shareholders,1490302,1459497,1605726,1634919,1805740,2703000,3251993,4526341,5108893,5500054,5540767,5635775,,
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,86.36%,,,,86.36%,,,,86.36%,86.36%,86.36%
Shareholding Pattern (Yearly),FIIs,,,,1.15%,,,,1.08%,,,,0.98%,1.44%,1.12%
Shareholding Pattern (Yearly),DIIs,,,,2.62%,,,,0.89%,,,,1.34%,4.23%,3.18%
Shareholding Pattern (Yearly),Public,,,,9.87%,,,,11.68%,,,,11.32%,7.97%,9.33%
Shareholding Pattern (Yearly),No. of Shareholders,,,,1634919,,,,4526341,,,,5635775,1352259,1515226
,,,,,,,,,,,,,,,
