Section,,Jun 2013,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,TTM,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,1.48,24.22,7.35,14.25,81.01,12.34,5.55,8.84,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,0.34,19.11,15.43,3.80,67.28,8.45,4.70,4.00,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,1.14,5.11,-8.08,10.45,13.73,3.89,0.85,4.84,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,77.03%,21.10%,-109.93%,73.33%,16.95%,31.52%,15.32%,54.75%,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.01,1.39,2.31,1.62,1.25,1.10,1.27,0.93,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,0.83,2.17,2.42,1.88,3.82,1.74,1.65,1.53,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,0.03,0.33,1.80,1.86,2.83,1.71,1.79,1.91,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,0.29,4.00,-9.99,8.33,8.33,1.54,-1.32,2.33,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,0.00%,30.50%,3.90%,4.80%,13.45%,33.77%,45.45%,15.88%,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,0.29,2.78,-10.39,7.93,7.22,1.03,-1.92,1.96,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.48,1.31,-2.56,2.65,2.32,0.68,-0.14,0.76,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,104,,,,3,4,215,240,148,81,114,108,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,79,,,,1,2,200,213,126,60,91,84,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,25,,,,2,1,14,27,23,21,24,23,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,24%,,,,55%,35%,7%,11%,15%,26%,21%,22%,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,1,,,,0,1,3,1,1,2,2,5,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,9,,,,0,1,12,19,13,7,8,9,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,7,,,,0,0,2,6,7,9,6,8,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,10,,,,1,1,4,4,3,7,12,11,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,28%,,,,22%,20%,25%,33%,43%,37%,22%,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,8,,,,1,1,3,3,2,5,9,8,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,3.71,,,,,,4.82,3.27,0.88,2.51,4.35,3.62,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,13%,,,,18%,15%,10%,4%,0%,10%,11%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,19,,19,,0.71,0.70,1,1,16,16,19,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,74,,76,,14,15,31,32,51,56,72,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,73,,59,,0,20,189,164,67,78,67,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,39,,24,,2,4,81,70,64,71,71,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,205,,178,,16,40,303,267,199,221,229,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,23,,24,,0,1,24,21,22,29,28,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,7,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,15,,16,,2,3,1,2,2,0,15,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,160,,138,,14,37,277,244,174,192,186,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,205,,178,,16,40,303,267,199,221,229,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,1,,,,0,3,-125,7,44,-7,31,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,-1,,,,0,-0,-36,26,-30,-12,-30,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,12,,,,0,-0,180,-27,-17,19,1,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,12,,,,0,2,18,5,-4,0,2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
