Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Feb 2016
Quarterly Results,Sales,818,815,793,842,880,818,790,868,805,624,689,765,1010,,,,,,,,,
Quarterly Results,Expenses,708,768,748,792,713,747,691,818,728,573,627,667,709,,,,,,,,,
Quarterly Results,Operating Profit,110,47,45,50,167,71,99,50,77,51,62,98,301,,,,,,,,,
Quarterly Results,OPM %,13%,6%,6%,6%,19%,9%,12%,6%,10%,8%,9%,13%,30%,,,,,,,,,
Quarterly Results,Other Income,43,28,65,26,45,94,44,30,51,39,47,38,36,,,,,,,,,
Quarterly Results,Interest,0,0,0,0,0,1,0,1,1,1,1,1,0,,,,,,,,,
Quarterly Results,Depreciation,5,5,7,7,7,8,8,8,11,10,10,10,11,,,,,,,,,
Quarterly Results,Profit before tax,147,69,103,69,204,156,134,71,117,79,99,126,326,,,,,,,,,
Quarterly Results,Tax %,17%,26%,17%,27%,23%,25%,24%,26%,23%,26%,22%,25%,26%,,,,,,,,,
Quarterly Results,Net Profit,79,65,75,16,190,139,127,63,116,92,100,109,280,,,,,,,,,
Quarterly Results,EPS in Rs,1.41,1.15,1.34,0.29,3.38,2.47,2.27,1.13,2.06,1.63,1.77,1.93,4.98,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,2913,,,,3330,,,,3281,,,,3088,1846,1741,1541,1480,1824,2476,3237,3144,
Profit & Loss,Expenses,2567,,,,3020,,,,2982,,,,2575,1355,1507,1331,1163,1395,2099,2781,2792,
Profit & Loss,Operating Profit,346,,,,310,,,,299,,,,512,491,234,210,316,429,377,455,352,
Profit & Loss,OPM %,12%,,,,9%,,,,9%,,,,17%,27%,13%,14%,21%,24%,15%,14%,11%,
Profit & Loss,Other Income,130,,,,164,,,,219,,,,160,229,265,247,222,176,222,255,34,
Profit & Loss,Interest,3,,,,3,,,,5,,,,3,1,2,2,5,2,3,4,6,
Profit & Loss,Depreciation,24,,,,26,,,,35,,,,40,15,20,25,23,24,22,24,24,
Profit & Loss,Profit before tax,449,,,,446,,,,478,,,,630,704,477,430,511,579,574,683,356,
Profit & Loss,Tax %,24%,,,,23%,,,,25%,,,,25%,31%,34%,35%,35%,34%,35%,36%,27%,
Profit & Loss,Net Profit,140,,,,346,,,,445,,,,580,483,313,278,330,383,368,424,249,
Profit & Loss,EPS in Rs,2.48,,,,6.16,,,,7.92,,,,10.32,7.16,4.64,4.13,4.90,6.07,5.83,6.71,4.43,
Profit & Loss,Dividend Payout %,121%,,,,49%,,,,38%,,,,39%,45%,54%,48%,61%,66%,69%,77%,45%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,281,,,,281,,,,281,,,,281,168,168,168,337,316,316,316,281,
Balance Sheet,Reserves,1489,,,,1680,,,,1974,,,,2388,2353,2463,2653,2508,2025,2029,2090,1470,
Balance Sheet,Borrowings,4,,,,19,,,,33,,,,22,0,0,0,0,0,0,5,4,
Balance Sheet,Other Liabilities,2404,,,,2408,,,,2454,,,,2574,1295,1356,1342,1551,2173,2416,2685,2687,
Balance Sheet,Total Liabilities,4177,,,,4388,,,,4742,,,,5265,3817,3988,4164,4396,4514,4761,5096,4441,
Balance Sheet,Fixed Assets,263,,,,279,,,,298,,,,295,121,272,242,272,257,248,274,263,
Balance Sheet,CWIP,7,,,,26,,,,36,,,,46,132,19,24,56,52,52,3,1,
Balance Sheet,Investments,1088,,,,1179,,,,1389,,,,1395,732,138,75,533,242,315,461,1324,
Balance Sheet,Other Assets,2821,,,,2905,,,,3020,,,,3530,2832,3559,3822,3535,3963,4146,4359,2853,
Balance Sheet,Total Assets,4177,,,,4388,,,,4742,,,,5265,3817,3988,4164,4396,4514,4761,5096,4441,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,48,,,,-113,,,,222,,,,109,85,65,88,236,599,549,376,171,
Cash Flows,Cash from Investing Activity,61,,,,322,,,,145,,,,-36,167,174,70,197,165,-4,-229,776,
Cash Flows,Cash from Financing Activity,-149,,,,-176,,,,-180,,,,-185,-256,-240,-162,-284,-892,-362,-334,-904,
Cash Flows,Net Cash Flow,-39,,,,34,,,,187,,,,-112,-4,-1,-4,150,-129,183,-188,43,
