Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 201813m,Mar 2019,Mar 2020,Mar 2021,Mar 2018
Quarterly Results,Sales,542,621,649,639,543,570,574,654,547,548,518,517,412,,,,,
Quarterly Results,Expenses,552,615,648,640,546,575,581,642,559,547,563,505,423,,,,,
Quarterly Results,Operating Profit,-10,6,2,-1,-3,-5,-7,12,-12,1,-45,12,-11,,,,,
Quarterly Results,OPM %,-2%,1%,0%,-0%,-0%,-1%,-1%,2%,-2%,0%,-9%,2%,-3%,,,,,
Quarterly Results,Other Income,23,18,5,3,6,12,3,6,4,28,61,3,11,,,,,
Quarterly Results,Interest,25,26,27,30,33,34,36,38,41,43,40,41,41,,,,,
Quarterly Results,Depreciation,31,32,33,34,32,38,31,32,32,30,64,22,27,,,,,
Quarterly Results,Profit before tax,-43,-34,-54,-62,-61,-64,-70,-51,-81,-44,-87,-47,-68,,,,,
Quarterly Results,Tax %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,,,,,
Quarterly Results,Net Profit,-42,-34,-54,-62,-61,-64,-70,-51,-81,-43,-87,-47,-68,,,,,
Quarterly Results,EPS in Rs,-4.71,-3.73,-5.97,-6.85,-6.79,-7.12,-7.78,-5.68,-8.95,-4.82,-9.67,-5.25,-7.59,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,2300,,,,2453,,,,2345,,,,1995,1149,2187,2645,2428,
Profit & Loss,Expenses,2275,,,,2448,,,,2354,,,,2038,1153,2178,2587,2420,
Profit & Loss,Operating Profit,25,,,,4,,,,-9,,,,-43,-4,9,57,8,
Profit & Loss,OPM %,1%,,,,0%,,,,-0%,,,,-2%,-0%,0%,2%,0%,
Profit & Loss,Other Income,76,,,,32,,,,23,,,,104,9,28,32,53,
Profit & Loss,Interest,97,,,,115,,,,148,,,,164,4,7,82,91,
