Section,,Mar 2016,Mar 2017,Mar 2018,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,68,119,190,,,,,,,,,,,,,
Profit & Loss,Expenses,70,106,157,,,,,,,,,,,,,
Profit & Loss,Operating Profit,-2,13,33,,,,,,,,,,,,,
Profit & Loss,OPM %,-3%,11%,18%,,,,,,,,,,,,,
Profit & Loss,Other Income,1,1,1,,,,,,,,,,,,,
Profit & Loss,Interest,0,1,2,,,,,,,,,,,,,
Profit & Loss,Depreciation,1,2,4,,,,,,,,,,,,,
Profit & Loss,Profit before tax,-2,10,29,,,,,,,,,,,,,
Profit & Loss,Tax %,0%,51%,38%,,,,,,,,,,,,,
Profit & Loss,Net Profit,-2,5,18,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,-3.94,5.07,17.71,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,0%,0%,0%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,5,10,10,,,,,,,,,,,,,
Balance Sheet,Reserves,35,35,129,,,,,,,,,,,,,
Balance Sheet,Borrowings,25,32,52,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,7,12,15,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,72,89,205,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,9,19,26,,,,,,,,,,,,,
Balance Sheet,CWIP,0,1,2,,,,,,,,,,,,,
Balance Sheet,Investments,0,0,74,,,,,,,,,,,,,
Balance Sheet,Other Assets,63,69,103,,,,,,,,,,,,,
Balance Sheet,Total Assets,72,89,205,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-21,3,-8,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,16,-12,-86,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,16,-0,99,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,11,-9,5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,75,67,54,,,,,,,,,,,,,
Ratios,Inventory Days,389,247,257,,,,,,,,,,,,,
Ratios,Days Payable,79,53,49,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,384,261,262,,,,,,,,,,,,,
Ratios,Working Capital Days,203,139,125,,,,,,,,,,,,,
Ratios,ROCE %,,16%,23%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,52.79%,52.78%,52.78%,52.78%,52.78%,52.78%,52.78%,52.78%,52.78%,52.78%,52.78%,52.78%,
Shareholding Pattern (Quarterly),FIIs,,,,6.98%,6.77%,6.37%,16.57%,11.02%,11.00%,12.05%,12.15%,12.69%,11.79%,11.97%,11.70%,
Shareholding Pattern (Quarterly),DIIs,,,,23.68%,23.64%,27.39%,27.74%,31.99%,32.07%,31.02%,31.87%,31.44%,32.82%,32.86%,33.26%,
Shareholding Pattern (Quarterly),Public,,,,16.55%,16.81%,13.45%,2.90%,4.20%,4.15%,4.14%,3.19%,3.08%,2.62%,2.39%,2.25%,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,40523,35501,33316,30073,33136,30556,30048,26459,27285,24238,24201,25179,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,52.78%,,,,52.78%,,,,52.78%,52.79%
Shareholding Pattern (Yearly),FIIs,,,,,,,16.57%,,,,12.15%,,,,11.70%,7.64%
Shareholding Pattern (Yearly),DIIs,,,,,,,27.74%,,,,31.87%,,,,33.26%,22.53%
Shareholding Pattern (Yearly),Public,,,,,,,2.90%,,,,3.19%,,,,2.25%,17.05%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,30073,,,,26459,,,,25179,46385
,,,,,,,,,,,,,,,,,
