Section,,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,97.34,102.24,76.53,79.94,88.71,73.04,,,,,,,,,,,,
Quarterly Results,Expenses,90.36,90.55,68.34,71.24,79.94,62.88,,,,,,,,,,,,
Quarterly Results,Operating Profit,6.98,11.69,8.19,8.70,8.77,10.16,,,,,,,,,,,,
Quarterly Results,OPM %,7.17%,11.43%,10.70%,10.88%,9.89%,13.91%,,,,,,,,,,,,
Quarterly Results,Other Income,0.00,0.05,0.02,0.14,0.14,0.21,,,,,,,,,,,,
Quarterly Results,Interest,3.31,3.95,3.75,3.67,3.49,4.03,,,,,,,,,,,,
Quarterly Results,Depreciation,3.63,3.86,3.88,3.97,4.05,4.70,,,,,,,,,,,,
Quarterly Results,Profit before tax,0.04,3.93,0.58,1.20,1.37,1.64,,,,,,,,,,,,
Quarterly Results,Tax %,-1150.00%,10.18%,-362.07%,-124.17%,5.84%,95.73%,,,,,,,,,,,,
Quarterly Results,Net Profit,0.50,3.53,2.68,2.69,1.29,0.06,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.32,2.23,1.69,1.70,0.82,0.04,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,369,,,,318,,,,,,,,,,,,
Profit & Loss,Expenses,,351,,,,282,,,,,,,,,,,,
Profit & Loss,Operating Profit,,17,,,,36,,,,,,,,,,,,
Profit & Loss,OPM %,,5%,,,,11%,,,,,,,,,,,,
Profit & Loss,Other Income,,0,,,,0,,,,,,,,,,,,
Profit & Loss,Interest,,14,,,,15,,,,,,,,,,,,
Profit & Loss,Depreciation,,15,,,,17,,,,,,,,,,,,
Profit & Loss,Profit before tax,,-11,,,,5,,,,,,,,,,,,
Profit & Loss,Tax %,,-18%,,,,-41%,,,,,,,,,,,,
Profit & Loss,Net Profit,,-9,,,,7,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,-5.73,,,,4.25,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,16,,,,16,,,,,,,,,,,,
Balance Sheet,Reserves,,120,,,,133,,,,,,,,,,,,
Balance Sheet,Borrowings,,106,,,,89,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,92,,,,128,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,334,,,,366,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,148,,,,165,,,,,,,,,,,,
Balance Sheet,CWIP,,8,,,,0,,,,,,,,,,,,
Balance Sheet,Investments,,0,,,,0,,,,,,,,,,,,
Balance Sheet,Other Assets,,178,,,,201,,,,,,,,,,,,
Balance Sheet,Total Assets,,334,,,,366,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,4,,,,43,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,-12,,,,-19,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,5,,,,-22,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,-3,,,,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,28,,,,45,,,,,,,,,,,,
Ratios,Inventory Days,,185,,,,303,,,,,,,,,,,,
Ratios,Days Payable,,99,,,,199,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,113,,,,149,,,,,,,,,,,,
Ratios,Working Capital Days,,90,,,,94,,,,,,,,,,,,
Ratios,ROCE %,,,,,,8%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,50.31%,50.31%,50.31%,50.30%,50.30%,50.30%,50.42%,50.41%,50.31%,50.31%,50.31%,50.31%,,,,,,
Shareholding Pattern (Quarterly),FIIs,0.10%,0.26%,0.21%,0.11%,0.11%,0.47%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,,,,,,
Shareholding Pattern (Quarterly),DIIs,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
Shareholding Pattern (Quarterly),Public,49.59%,49.42%,49.47%,49.58%,49.58%,49.23%,49.47%,49.49%,49.58%,49.59%,49.58%,49.59%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,18610,19173,19312,19508,19679,19697,18988,18483,17911,17943,17890,17978,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,50.31%,,,,50.30%,,,,50.31%,,,50.76%,50.76%,49.27%,50.53%,50.53%,50.53%
Shareholding Pattern (Yearly),FIIs,,0.26%,,,,0.47%,,,,0.10%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%
Shareholding Pattern (Yearly),DIIs,,0.00%,,,,0.00%,,,,0.00%,,,0.19%,0.25%,1.29%,0.01%,0.01%,0.01%
Shareholding Pattern (Yearly),Public,,49.42%,,,,49.23%,,,,49.59%,,,49.05%,48.99%,49.44%,49.46%,49.46%,49.36%
Shareholding Pattern (Yearly),No. of Shareholders,,19173,,,,19697,,,,17943,,,15529,18113,19611,17884,20520,20084
,,,,,,,,,,,,,,,,,,,
