Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Sep 2014,Mar 20156m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2015
Quarterly Results,Sales,0.00,0.22,3.81,24.94,50.70,45.83,81.05,110.39,89.12,71.71,62.07,65.59,39.67,,,,,,,,,
Quarterly Results,Expenses,0.25,0.42,5.52,21.09,52.65,40.75,68.29,94.91,81.24,64.42,55.83,67.95,40.04,,,,,,,,,
Quarterly Results,Operating Profit,-0.25,-0.20,-1.71,3.85,-1.95,5.08,12.76,15.48,7.88,7.29,6.24,-2.36,-0.37,,,,,,,,,
Quarterly Results,OPM %,,-90.91%,-44.88%,15.44%,-3.85%,11.08%,15.74%,14.02%,8.84%,10.17%,10.05%,-3.60%,-0.93%,,,,,,,,,
Quarterly Results,Other Income,4.53,16.47,0.84,3.17,3.55,1.49,0.17,0.14,0.04,0.68,0.83,1.41,1.08,,,,,,,,,
Quarterly Results,Interest,0.00,0.00,1.28,0.98,1.91,1.52,1.31,1.51,1.63,1.66,1.88,2.31,2.30,,,,,,,,,
Quarterly Results,Depreciation,0.00,0.00,0.01,0.11,0.08,0.08,0.19,0.20,0.26,0.36,0.55,0.56,0.55,,,,,,,,,
Quarterly Results,Profit before tax,4.28,16.27,-2.16,5.93,-0.39,4.97,11.43,13.91,6.03,5.95,4.64,-3.82,-2.14,,,,,,,,,
Quarterly Results,Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-175.95%,37.82%,16.59%,520.16%,-22.90%,,,,,,,,,
Quarterly Results,Net Profit,4.28,16.27,-2.16,5.92,-0.40,4.97,11.43,13.91,16.64,3.70,3.87,-23.69,-1.65,,,,,,,,,
Quarterly Results,EPS in Rs,1.63,5.27,-0.70,1.68,-0.10,1.11,2.43,2.96,3.31,0.61,0.61,-3.73,-0.24,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,0,,,,80,,,,326,,,,239,118,13,7,2,2,0,0,0,
Profit & Loss,Expenses,1,,,,79,,,,285,,,,228,160,30,30,22,1,220,57,7,
Profit & Loss,Operating Profit,-1,,,,0,,,,41,,,,11,-42,-16,-23,-20,2,-219,-57,-7,
Profit & Loss,OPM %,,,,,0%,,,,13%,,,,5%,-35%,-120%,-328%,-1014%,68%,-66503%,-26919%,,
Profit & Loss,Other Income,-55,,,,24,,,,2,,,,4,-1,1,-4,24,40,9,0,-2,
Profit & Loss,Interest,4,,,,4,,,,6,,,,8,48,25,5,4,-0,5,0,0,
Profit & Loss,Depreciation,0,,,,0,,,,1,,,,2,10,6,12,9,9,9,4,0,
Profit & Loss,Profit before tax,-59,,,,20,,,,36,,,,5,-101,-47,-44,-9,32,-224,-61,-8,
Profit & Loss,Tax %,0%,,,,0%,,,,-29%,,,,482%,-1%,-2%,1%,1%,0%,0%,0%,0%,
Profit & Loss,Net Profit,-59,,,,20,,,,47,,,,-18,-101,-46,-45,-9,32,-224,-61,-8,
Profit & Loss,EPS in Rs,-22.62,,,,4.70,,,,9.33,,,,-2.77,-47.90,-22.10,-20.62,-4.41,15.12,-85.38,-23.14,-3.19,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,26,,,,42,,,,50,,,,63,21,,21,21,21,26,26,26,21
Balance Sheet,Reserves,-49,,,,23,,,,87,,,,135,-85,,-183,-194,-161,-107,-111,-120,-140
Balance Sheet,Borrowings,87,,,,64,,,,74,,,,87,296,,330,306,306,497,114,128,331
Balance Sheet,Other Liabilities,17,,,,110,,,,138,,,,123,184,,187,168,91,59,45,38,181
Balance Sheet,Total Liabilities,82,,,,239,,,,349,,,,409,416,,355,302,257,476,73,73,393
Balance Sheet,Fixed Assets,0,,,,25,,,,151,,,,154,201,,170,93,84,426,0,0,186
Balance Sheet,CWIP,0,,,,0,,,,0,,,,3,1,,1,1,1,1,0,0,1
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,0,,0,0,0,0,0,0,0
Balance Sheet,Other Assets,82,,,,215,,,,198,,,,252,214,,184,208,172,49,73,73,206
Balance Sheet,Total Assets,82,,,,239,,,,349,,,,409,416,,355,302,257,476,73,73,393
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-16,,,,-105,,,,113,,,,-83,30,,-6,6,-15,-118,-12,-7,-24
Cash Flows,Cash from Investing Activity,142,,,,21,,,,-127,,,,-14,4,,1,3,0,-35,0,-7,-0
Cash Flows,Cash from Financing Activity,-103,,,,62,,,,50,,,,84,-25,,-4,-4,10,153,10,14,24
Cash Flows,Net Cash Flow,22,,,,-21,,,,36,,,,-12,9,,-10,5,-5,1,-2,-0,-0
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,386,,,,95,,,,113,147,,1863,5898,459,9368,14930,,1204
Ratios,Inventory Days,,,,,25,,,,41,,,,18,163,,12708,39,3229,,,,1567
Ratios,Days Payable,,,,,192,,,,100,,,,44,209,,14904,1216,79065,,,,1894
Ratios,Cash Conversion Cycle,,,,,219,,,,36,,,,87,101,,-333,4720,-75377,9368,14930,,877
Ratios,Working Capital Days,,,,,-50,,,,18,,,,96,-211,,-14054,-59894,-42699,-125505,-45190,,-3354
Ratios,ROCE %,-1%,,,,1%,,,,25%,,,,5%,-19%,,-16%,-3%,21%,-75%,-27%,-21%,-8%
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,0.96%,63.11%,55.31%,55.14%,57.45%,57.68%,57.60%,58.53%,62.89%,60.38%,60.38%,60.69%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,1.06%,1.07%,1.08%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.23%,0.23%,0.20%,0.17%,0.16%,0.15%,0.15%,0.14%,0.12%,0.11%,0.14%,0.14%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,98.81%,36.66%,44.49%,44.68%,42.38%,42.16%,42.24%,41.31%,37.00%,38.46%,38.43%,38.08%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,7449,7305,7276,7220,7796,8329,8717,13680,15890,20510,20844,20381,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,37.69%,,,,55.14%,,,,58.53%,,,,60.69%,,,46.82%,46.82%,46.82%,37.69%,37.69%,37.69%,
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.00%,,,,0.01%,,,,1.08%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
Shareholding Pattern (Yearly),DIIs,0.27%,,,,0.17%,,,,0.14%,,,,0.14%,,,1.98%,1.62%,1.61%,1.30%,1.30%,1.30%,
Shareholding Pattern (Yearly),Public,62.03%,,,,44.68%,,,,41.31%,,,,38.08%,,,51.20%,51.55%,51.56%,61.01%,61.01%,61.01%,
Shareholding Pattern (Yearly),No. of Shareholders,7517,,,,7220,,,,13680,,,,20381,,,9760,9636,8380,8378,8281,8062,
,,,,,,,,,,,,,,,,,,,,,,,
