Section,,Sep 2008,Jun 2009,Sep 2009,Mar 2024,Dec 2024,Mar 2025,Mar 2009,Mar 2010,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Jun 2024,Sep 2024,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,533,250,283,2047,2010,2243,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,500,234,267,1817,1796,2018,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,33,17,16,230,214,224,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,6%,7%,6%,11%,11%,10%,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,2,1,1,2,2,9,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,11,5,6,50,43,48,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,11,5,6,111,117,127,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,12,7,5,71,56,59,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,20%,37%,-4%,26%,26%,27%,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,10,5,5,52,41,43,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,2.34,1.84,1.93,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,7990,,8700,1013,1141,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,7091,,7690,953,1078,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,899,,1010,60,63,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,11%,,12%,6%,5%,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,23,,20,2,4,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,154,,182,21,28,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,409,,470,22,27,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,358,,377,20,12,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,25%,,26%,40%,76%,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,267,,279,12,3,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,12.00,,12.52,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,50%,,48%,17%,37%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,22,,22,7,7,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,1550,,1695,45,47,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,2698,,2570,235,314,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,464,,577,73,98,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,4735,,4865,359,466,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,2767,,3274,166,322,,,,,,,,,,,,,,,
