Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,542,124,183,705,166,99,282,694,401,749,828,520,,,
Quarterly Results,Expenses,496,194,196,672,176,129,289,674,402,761,814,477,,,
Quarterly Results,Operating Profit,46,-71,-13,33,-10,-30,-7,20,-1,-12,13,44,,,
Quarterly Results,OPM %,8%,-57%,-7%,5%,-6%,-31%,-2%,3%,-0%,-2%,2%,8%,,,
Quarterly Results,Other Income,17,12,9,5,13,23,20,28,27,28,34,50,,,
Quarterly Results,Interest,21,23,18,11,6,11,5,8,7,17,14,13,,,
Quarterly Results,Depreciation,5,6,6,5,5,5,6,6,5,7,8,8,,,
Quarterly Results,Profit before tax,37,-88,-28,22,-8,-24,2,35,13,-7,26,73,,,
Quarterly Results,Tax %,11%,-32%,61%,65%,-15%,-16%,-6%,-19%,49%,-158%,-11%,16%,,,
Quarterly Results,Net Profit,33,-59,-45,8,-7,-20,2,41,7,4,29,61,,,
Quarterly Results,EPS in Rs,2.88,-5.21,-3.60,0.61,-0.58,-1.42,0.15,2.93,0.48,0.29,2.07,4.35,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,1554,,,,1241,,,,2498,242,82,901
Profit & Loss,Expenses,,,,1547,,,,1257,,,,2454,278,163,986
Profit & Loss,Operating Profit,,,,6,,,,-17,,,,44,-37,-81,-84
Profit & Loss,OPM %,,,,0%,,,,-1%,,,,2%,-15%,-99%,-9%
Profit & Loss,Other Income,,,,32,,,,73,,,,140,22,67,38
Profit & Loss,Interest,,,,73,,,,30,,,,51,55,71,70
Profit & Loss,Depreciation,,,,22,,,,22,,,,27,5,12,21
Profit & Loss,Profit before tax,,,,-57,,,,4,,,,105,-74,-97,-136
Profit & Loss,Tax %,,,,12%,,,,-265%,,,,4%,-24%,-11%,-15%
Profit & Loss,Net Profit,,,,-64,,,,16,,,,101,-57,-86,-116
Profit & Loss,EPS in Rs,,,,-5.12,,,,1.15,,,,7.19,-101.43,-151.23,-10.23
Profit & Loss,Dividend Payout %,,,,0%,,,,0%,,,,0%,0%,0%,0%
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,12,,,,14,,,,14,6,6,11
Balance Sheet,Reserves,,,,35,,,,613,,,,713,-99,-213,-364
Balance Sheet,Borrowings,,,,1724,,,,1933,,,,849,981,1186,1170
Balance Sheet,Other Liabilities,,,,4250,,,,5914,,,,11291,2043,2784,3632
Balance Sheet,Total Liabilities,,,,6022,,,,8474,,,,12866,2931,3763,4449
Balance Sheet,Fixed Assets,,,,136,,,,104,,,,146,69,104,169
Balance Sheet,CWIP,,,,0,,,,15,,,,0,2,0,0
Balance Sheet,Investments,,,,0,,,,0,,,,0,109,57,5
Balance Sheet,Other Assets,,,,5885,,,,8356,,,,12720,2751,3603,4276
Balance Sheet,Total Assets,,,,6022,,,,8474,,,,12866,2931,3763,4449
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,-278,,,,92,,,,501,,36,205
Cash Flows,Cash from Investing Activity,,,,8,,,,-488,,,,46,,-26,54
Cash Flows,Cash from Financing Activity,,,,673,,,,368,,,,141,,97,-269
Cash Flows,Net Cash Flow,,,,403,,,,-28,,,,687,,107,-10
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,7,,,,10,,,,9,46,66,2
Ratios,Inventory Days,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,7,,,,10,,,,9,46,66,2
Ratios,Working Capital Days,,,,190,,,,417,,,,171,781,2003,109
Ratios,ROCE %,,,,1%,,,,2%,,,,8%,,-2%,-7%
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,69.63%,69.63%,69.63%,69.63%,69.63%,69.63%,69.63%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,5.42%,5.66%,6.09%,8.33%,12.21%,12.04%,10.36%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,5.90%,5.63%,5.08%,5.31%,4.70%,4.82%,5.16%,,,
Shareholding Pattern (Quarterly),Public,,,,,,19.04%,19.07%,19.19%,16.72%,13.46%,13.50%,14.86%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,22355,13279,13940,14540,17562,19098,21558,,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,69.63%,,,,69.63%,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,6.09%,,,,10.36%,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,5.08%,,,,5.16%,,,
Shareholding Pattern (Yearly),Public,,,,,,,,19.19%,,,,14.86%,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,13940,,,,21558,,,
,,,,,,,,,,,,,,,,
