Section,,Mar 2024,Dec 2024,Mar 2025,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Jun 2024,Sep 2024,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,172.27,172.92,200.05,,,,,,,,,,,,,,,
Quarterly Results,Expenses,159.47,161.86,193.96,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,12.80,11.06,6.09,,,,,,,,,,,,,,,
Quarterly Results,OPM %,7.43%,6.40%,3.04%,,,,,,,,,,,,,,,
Quarterly Results,Other Income,1.17,2.49,1.93,,,,,,,,,,,,,,,
Quarterly Results,Interest,0.46,0.15,0.18,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,1.26,1.38,1.40,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,12.25,12.02,6.44,,,,,,,,,,,,,,,
Quarterly Results,Tax %,28.57%,31.36%,23.14%,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,8.75,8.25,4.92,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,1.75,1.65,0.98,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,684,,734,,,,,,,,,,,,,,,
Profit & Loss,Expenses,622,,686,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,62,,48,,,,,,,,,,,,,,,
Profit & Loss,OPM %,9%,,7%,,,,,,,,,,,,,,,
Profit & Loss,Other Income,4,,8,,,,,,,,,,,,,,,
Profit & Loss,Interest,1,,1,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,5,,5,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,61,,50,,,,,,,,,,,,,,,
Profit & Loss,Tax %,25%,,26%,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,45,,37,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,9.04,,7.38,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,3%,,4%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,5,,5,,,,,,,,,,,,,,,
Balance Sheet,Reserves,171,,207,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,12,,3,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,20,,23,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,209,,238,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,58,,58,,,,,,,,,,,,,,,
Balance Sheet,CWIP,1,,0,,,,,,,,,,,,,,,
Balance Sheet,Investments,12,,45,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,139,,135,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,209,,238,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,50,,32,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-29,,-29,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-30,,-11,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,-10,,-8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,11,,4,,,,,,,,,,,,,,,
Ratios,Inventory Days,30,,22,,,,,,,,,,,,,,,
Ratios,Days Payable,3,,3,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,38,,24,,,,,,,,,,,,,,,
Ratios,Working Capital Days,40,,31,,,,,,,,,,,,,,,
Ratios,ROCE %,,,25%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,66.69%,66.69%,66.69%,66.37%,66.37%,66.37%,66.37%,66.67%,66.67%,66.69%,66.69%,66.69%,,,,,,
Shareholding Pattern (Quarterly),FIIs,0.00%,0.04%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.03%,,,,,,
Shareholding Pattern (Quarterly),Public,33.32%,33.27%,33.28%,33.63%,33.63%,33.63%,33.62%,33.34%,33.33%,33.31%,33.30%,33.29%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,19664,22210,22382,21563,20714,20358,19985,19736,19592,19139,20121,22246,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,66.69%,,66.69%,,,,66.37%,,,,,,66.06%,66.06%,66.09%,66.35%,66.35%,66.37%
Shareholding Pattern (Yearly),FIIs,0.00%,,0.03%,,,,0.00%,,,,,,0.00%,0.22%,0.18%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,0.00%,,0.00%,,,,0.00%,,,,,,0.00%,0.01%,0.01%,0.01%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,33.32%,,33.28%,,,,33.62%,,,,,,33.94%,33.71%,33.73%,33.65%,33.65%,33.63%
Shareholding Pattern (Yearly),No. of Shareholders,19664,,22382,,,,19985,,,,,,6360,7931,8177,7878,18083,21124
,,,,,,,,,,,,,,,,,,,
