Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Dec 2013,Dec 2014,Mar 201615m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2016
Quarterly Results,Sales,3193,3397,3519,3721,3804,3986,4115,4179,4256,4393,4263,4973,5241,,,,,,,,,
Quarterly Results,Expenses,2436,2566,2698,2864,2871,2966,3027,3089,3127,3228,3175,3772,3983,,,,,,,,,
Quarterly Results,Operating Profit,757,831,822,857,934,1021,1087,1090,1129,1165,1088,1201,1258,,,,,,,,,
Quarterly Results,OPM %,24%,24%,23%,23%,25%,26%,26%,26%,27%,27%,26%,24%,24%,,,,,,,,,
Quarterly Results,Other Income,172,82,193,256,379,344,375,368,437,457,468,452,628,,,,,,,,,
Quarterly Results,Interest,3,5,7,8,8,10,13,12,15,12,13,13,16,,,,,,,,,
Quarterly Results,Depreciation,119,116,127,135,148,142,143,148,165,169,180,179,201,,,,,,,,,
Quarterly Results,Profit before tax,806,792,880,971,1156,1212,1307,1298,1385,1441,1362,1461,1669,,,,,,,,,
Quarterly Results,Tax %,24%,23%,25%,24%,22%,24%,22%,23%,23%,24%,19%,20%,18%,,,,,,,,,
Quarterly Results,Net Profit,610,611,657,741,906,918,1016,996,1070,1101,1100,1170,1362,,,,,,,,,
Quarterly Results,EPS in Rs,22.31,22.33,24.02,27.09,33.11,33.58,37.12,36.38,39.10,40.20,40.15,42.70,49.68,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,10298,,,,14442,,,,16536,,,,18870,6810,8738,6173,7033,8965,9797,9154,8720,
Profit & Loss,Expenses,8120,,,,10996,,,,12206,,,,14158,6094,7621,4484,4859,6156,6893,6971,6937,
Profit & Loss,Operating Profit,2178,,,,3446,,,,4329,,,,4712,715,1118,1690,2174,2809,2904,2183,1783,
Profit & Loss,OPM %,21%,,,,24%,,,,26%,,,,25%,11%,13%,27%,31%,31%,30%,24%,20%,
Profit & Loss,Other Income,496,,,,908,,,,1521,,,,2005,93,105,326,416,536,701,572,482,
Profit & Loss,Interest,19,,,,28,,,,51,,,,54,8,10,2,4,5,7,19,16,
Profit & Loss,Depreciation,452,,,,526,,,,598,,,,729,130,220,137,154,223,300,382,451,
Profit & Loss,Profit before tax,2203,,,,3800,,,,5202,,,,5933,671,993,1877,2433,3116,3297,2355,1798,
Profit & Loss,Tax %,24%,,,,23%,,,,23%,,,,20%,22%,29%,29%,30%,30%,33%,22%,25%,
Profit & Loss,Net Profit,1677,,,,2914,,,,4001,,,,4734,525,702,1338,1667,1960,2203,1827,1347,
Profit & Loss,EPS in Rs,61.32,,,,106.55,,,,146.13,,,,172.69,14.57,22.71,49.27,61.27,71.89,80.75,66.91,49.28,
Profit & Loss,Dividend Payout %,34%,,,,35%,,,,35%,,,,41%,21%,22%,20%,16%,15%,15%,19%,34%,
,,,,,,,,,,,,,,,,,,,,,,,
