Section,,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,128.39,137.06,141.47,153.51,168.11,182.55,185.27,,,,,,,,,,
Quarterly Results,Expenses,123.53,131.59,134.23,147.00,160.85,174.54,175.88,,,,,,,,,,
Quarterly Results,Operating Profit,4.86,5.47,7.24,6.51,7.26,8.01,9.39,,,,,,,,,,
Quarterly Results,OPM %,3.79%,3.99%,5.12%,4.24%,4.32%,4.39%,5.07%,,,,,,,,,,
Quarterly Results,Other Income,0.60,0.41,0.14,0.14,0.23,0.22,0.21,,,,,,,,,,
Quarterly Results,Interest,2.67,2.70,2.70,2.80,3.06,3.23,3.34,,,,,,,,,,
Quarterly Results,Depreciation,0.76,0.89,1.16,0.94,1.09,1.32,1.14,,,,,,,,,,
Quarterly Results,Profit before tax,2.03,2.29,3.52,2.91,3.34,3.68,5.12,,,,,,,,,,
Quarterly Results,Tax %,-113.30%,-17.47%,21.59%,-14.43%,-17.96%,-23.10%,-18.16%,,,,,,,,,,
Quarterly Results,Net Profit,4.33,2.69,2.76,3.32,3.93,4.53,6.05,,,,,,,,,,
Quarterly Results,EPS in Rs,2.13,1.33,1.36,1.64,1.94,2.23,2.98,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,520,,,,689,,,,,,,,,,
Profit & Loss,Expenses,,,497,,,,658,,,,,,,,,,
Profit & Loss,Operating Profit,,,23,,,,31,,,,,,,,,,
Profit & Loss,OPM %,,,4%,,,,4%,,,,,,,,,,
Profit & Loss,Other Income,,,1,,,,1,,,,,,,,,,
Profit & Loss,Interest,,,11,,,,12,,,,,,,,,,
Profit & Loss,Depreciation,,,4,,,,4,,,,,,,,,,
Profit & Loss,Profit before tax,,,10,,,,15,,,,,,,,,,
Profit & Loss,Tax %,,,-27%,,,,-19%,,,,,,,,,,
Profit & Loss,Net Profit,,,13,,,,18,,,,,,,,,,
Profit & Loss,EPS in Rs,,,6.19,,,,8.79,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,0%,,,,0%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,10,,,,10,,,,,,,,,,
Balance Sheet,Reserves,,,61,,,,79,,,,,,,,,,
Balance Sheet,Borrowings,,,102,,,,169,,,,,,,,,,
Balance Sheet,Other Liabilities,,,33,,,,41,,,,,,,,,,
Balance Sheet,Total Liabilities,,,207,,,,299,,,,,,,,,,
Balance Sheet,Fixed Assets,,,18,,,,60,,,,,,,,,,
Balance Sheet,CWIP,,,0,,,,0,,,,,,,,,,
Balance Sheet,Investments,,,0,,,,0,,,,,,,,,,
Balance Sheet,Other Assets,,,189,,,,239,,,,,,,,,,
Balance Sheet,Total Assets,,,207,,,,299,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,4,,,,-8,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,-2,,,,-39,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,-2,,,,47,,,,,,,,,,
Cash Flows,Net Cash Flow,,,0,,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,89,,,,87,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,89,,,,87,,,,,,,,,,
Ratios,Working Capital Days,,,99,,,,94,,,,,,,,,,
Ratios,ROCE %,,,,,,,13%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,72.87%,72.87%,72.87%,72.87%,72.87%,72.87%,72.87%,72.87%,72.87%,72.87%,72.87%,72.87%,,,,,
Shareholding Pattern (Quarterly),Public,27.13%,27.13%,27.13%,27.13%,27.13%,27.13%,27.13%,27.13%,27.13%,27.14%,27.13%,27.13%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,2703,2914,2710,3220,3370,4006,3929,2275,2257,2167,2310,2650,,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,72.87%,,,,72.87%,,,,72.87%,,72.86%,72.86%,72.86%,72.86%,72.87%
Shareholding Pattern (Yearly),Public,,,27.13%,,,,27.13%,,,,27.13%,,27.13%,27.13%,27.13%,27.13%,27.13%
Shareholding Pattern (Yearly),No. of Shareholders,,,2710,,,,3929,,,,2310,,995,205,174,479,1391
,,,,,,,,,,,,,,,,,,
