Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,73,78,82,69,72,85,99,111,104,96,125,139,128,,,,
Quarterly Results,Expenses,58,62,66,55,60,68,78,88,88,75,108,106,100,,,,
Quarterly Results,Operating Profit,15,16,16,14,12,16,21,23,16,21,17,33,29,,,,
Quarterly Results,OPM %,20%,21%,20%,20%,17%,19%,22%,20%,16%,22%,14%,24%,22%,,,,
Quarterly Results,Other Income,2,2,2,1,2,2,1,2,7,2,15,2,2,,,,
Quarterly Results,Interest,0,0,1,1,1,1,2,2,3,3,2,4,3,,,,
Quarterly Results,Depreciation,1,1,2,2,2,2,3,3,3,3,3,5,5,,,,
Quarterly Results,Profit before tax,15,17,15,12,10,15,18,20,17,16,27,27,23,,,,
Quarterly Results,Tax %,23%,23%,11%,20%,29%,26%,17%,18%,12%,22%,21%,23%,29%,,,,
Quarterly Results,Net Profit,12,13,14,10,7,11,15,16,15,13,21,21,16,,,,
Quarterly Results,EPS in Rs,0.38,0.42,0.44,0.32,0.24,0.35,0.49,0.50,0.46,0.40,0.65,0.64,0.35,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,250,,,,302,,,,399,,,,488,101,129,139,193
Profit & Loss,Expenses,197,,,,243,,,,322,,,,388,89,103,114,154
Profit & Loss,Operating Profit,53,,,,59,,,,77,,,,100,12,26,25,39
Profit & Loss,OPM %,21%,,,,19%,,,,19%,,,,20%,12%,20%,18%,20%
Profit & Loss,Other Income,3,,,,7,,,,12,,,,21,3,4,5,3
Profit & Loss,Interest,1,,,,4,,,,8,,,,12,4,3,2,1
Profit & Loss,Depreciation,3,,,,7,,,,11,,,,16,1,2,2,2
Profit & Loss,Profit before tax,52,,,,54,,,,70,,,,92,10,25,25,38
Profit & Loss,Tax %,22%,,,,20%,,,,18%,,,,24%,28%,23%,20%,21%
Profit & Loss,Net Profit,40,,,,44,,,,57,,,,70,7,19,20,30
Profit & Loss,EPS in Rs,1.30,,,,0.00,,,,1.74,,,,1.82,2.25,6.19,2.65,3.94
Profit & Loss,Dividend Payout %,8%,,,,,,,,6%,,,,0%,4%,2%,4%,0%
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,31,,,,31,,,,33,,,,38,3,3,8,8
Balance Sheet,Reserves,197,,,,238,,,,397,,,,563,23,42,57,87
Balance Sheet,Borrowings,35,,,,68,,,,151,,,,121,30,25,30,21
Balance Sheet,Other Liabilities,24,,,,37,,,,113,,,,125,16,21,14,18
Balance Sheet,Total Liabilities,287,,,,374,,,,694,,,,846,72,91,109,133
Balance Sheet,Fixed Assets,53,,,,122,,,,254,,,,370,26,29,32,38
Balance Sheet,CWIP,10,,,,35,,,,97,,,,9,1,2,3,4
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,0,0,0,0
Balance Sheet,Other Assets,224,,,,216,,,,342,,,,467,46,61,74,92
Balance Sheet,Total Assets,287,,,,374,,,,694,,,,846,72,91,109,133
,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,6,,,,29,,,,13,,,,27,8,14,12,30
Cash Flows,Cash from Investing Activity,-63,,,,-92,,,,-161,,,,-93,-4,-6,-7,-11
Cash Flows,Cash from Financing Activity,108,,,,26,,,,172,,,,81,-5,-9,3,-11
Cash Flows,Net Cash Flow,51,,,,-37,,,,24,,,,15,-1,-0,8,7
,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,88,,,,97,,,,137,,,,137,77,70,72,68
Ratios,Inventory Days,94,,,,123,,,,132,,,,155,99,123,141,77
Ratios,Days Payable,33,,,,55,,,,90,,,,59,52,48,37,29
Ratios,Cash Conversion Cycle,149,,,,165,,,,180,,,,234,124,145,177,116
Ratios,Working Capital Days,134,,,,137,,,,150,,,,193,97,105,130,105
Ratios,ROCE %,28%,,,,20%,,,,17%,,,,16%,,44%,34%,38%
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,48.48%,48.48%,48.49%,48.49%,48.49%,48.49%,46.08%,45.43%,45.43%,44.71%,44.71%,44.14%,,,,
Shareholding Pattern (Quarterly),FIIs,,2.69%,0.08%,0.05%,0.09%,0.05%,0.95%,1.76%,2.06%,1.55%,1.58%,0.16%,0.08%,,,,
Shareholding Pattern (Quarterly),DIIs,,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
Shareholding Pattern (Quarterly),Public,,48.82%,51.43%,51.46%,51.43%,51.45%,50.56%,52.17%,52.51%,53.01%,53.69%,55.12%,55.77%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,95915,97257,93810,86576,84574,79862,97053,137506,137193,152046,156398,160558,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,48.48%,,,,48.49%,,,,45.43%,,,,44.14%,,,,
Shareholding Pattern (Yearly),FIIs,0.23%,,,,0.09%,,,,2.06%,,,,0.08%,,,,
Shareholding Pattern (Yearly),DIIs,2.92%,,,,0.00%,,,,0.00%,,,,0.00%,,,,
Shareholding Pattern (Yearly),Public,48.37%,,,,51.43%,,,,52.51%,,,,55.77%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,98638,,,,86576,,,,137506,,,,160558,,,,
,,,,,,,,,,,,,,,,,,
