Section,,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Quarterly Results,Sales,102,103,106,100,134,109,170,136,,,,,
Quarterly Results,Expenses,56,40,36,47,70,46,124,106,,,,,
Quarterly Results,Operating Profit,47,63,70,53,63,63,46,30,,,,,
Quarterly Results,OPM %,46%,61%,66%,53%,47%,58%,27%,22%,,,,,
Quarterly Results,Other Income,0,0,0,3,1,1,2,1,,,,,
Quarterly Results,Interest,27,40,47,25,22,19,20,4,,,,,
Quarterly Results,Depreciation,1,1,1,2,2,1,1,1,,,,,
Quarterly Results,Profit before tax,19,23,22,30,40,44,26,26,,,,,
Quarterly Results,Tax %,25%,26%,25%,34%,25%,27%,23%,30%,,,,,
Quarterly Results,Net Profit,15,17,17,19,30,32,20,18,,,,,
Quarterly Results,EPS in Rs,4.42,5.10,3.74,4.34,6.79,7.18,4.18,3.83,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,412,,,,549,35,87,240,273,306
Profit & Loss,Expenses,,,,179,,,,346,-20,20,153,141,155
Profit & Loss,Operating Profit,,,,233,,,,203,54,67,87,132,151
Profit & Loss,OPM %,,,,57%,,,,37%,157%,77%,36%,48%,49%
Profit & Loss,Other Income,,,,3,,,,4,1,2,4,1,2
Profit & Loss,Interest,,,,139,,,,66,53,64,79,93,107
Profit & Loss,Depreciation,,,,4,,,,5,1,2,2,4,3
Profit & Loss,Profit before tax,,,,94,,,,136,2,2,9,36,43
Profit & Loss,Tax %,,,,28%,,,,26%,25%,35%,31%,27%,26%
Profit & Loss,Net Profit,,,,67,,,,100,2,2,6,27,32
Profit & Loss,EPS in Rs,,,,15.22,,,,20.97,2.36,2.18,9.44,7.93,9.67
Profit & Loss,Dividend Payout %,,,,6%,,,,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,21,,,,23,6,6,6,16,16
Balance Sheet,Reserves,,,,495,,,,880,15,17,23,23,56
Balance Sheet,Borrowings,,,,441,,,,461,375,500,600,649,593
Balance Sheet,Other Liabilities,,,,333,,,,383,201,186,162,175,339
Balance Sheet,Total Liabilities,,,,1290,,,,1747,597,710,792,864,1004
Balance Sheet,Fixed Assets,,,,38,,,,37,6,22,19,18,16
Balance Sheet,CWIP,,,,0,,,,0,0,0,2,0,0
Balance Sheet,Investments,,,,1,,,,3,0,0,1,0,9
Balance Sheet,Other Assets,,,,1251,,,,1707,591,688,770,846,980
Balance Sheet,Total Assets,,,,1290,,,,1747,597,710,792,864,1004
,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,9,,,,-326,-53,-32,-15,70,190
Cash Flows,Cash from Investing Activity,,,,-90,,,,79,-4,-15,-7,-21,-27
Cash Flows,Cash from Financing Activity,,,,70,,,,238,59,45,27,-45,-157
Cash Flows,Net Cash Flow,,,,-11,,,,-10,2,-2,5,4,6
,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,94,,,,38,310,177,123,125,92
Ratios,Inventory Days,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,94,,,,38,310,177,123,125,92
Ratios,Working Capital Days,,,,697,,,,854,3992,2073,895,853,707
Ratios,ROCE %,,,,29%,,,,17%,,15%,15%,20%,22%
,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,74.95%,74.95%,74.95%,74.95%,69.60%,69.60%,,,,,
Shareholding Pattern (Quarterly),FIIs,,,7.13%,5.66%,2.51%,3.14%,1.94%,2.32%,,,,,
Shareholding Pattern (Quarterly),DIIs,,,4.02%,3.11%,1.42%,2.51%,2.49%,1.99%,,,,,
Shareholding Pattern (Quarterly),Public,,,13.91%,16.28%,21.12%,19.40%,25.96%,26.09%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,82282,59301,33898,31731,32369,34069,,,,,
,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,74.95%,,,,69.60%,,,,,
Shareholding Pattern (Yearly),FIIs,,,,5.66%,,,,2.32%,,,,,
Shareholding Pattern (Yearly),DIIs,,,,3.11%,,,,1.99%,,,,,
Shareholding Pattern (Yearly),Public,,,,16.28%,,,,26.09%,,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,59301,,,,34069,,,,,
,,,,,,,,,,,,,,
