Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Revenue,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,
Quarterly Results,Financing Profit,,,,,,,,,,,,,,,
Quarterly Results,Financing Margin %,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,
Quarterly Results,Gross NPA %,,,,,,,,,,,,,,,
Quarterly Results,Net NPA %,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Revenue,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,,
Profit & Loss,Financing Profit,,,,,,,,,,,,,,,
Profit & Loss,Financing Margin %,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,,
Balance Sheet,Borrowing,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Ratios,ROE %,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,49.72%,49.72%,49.72%,49.72%,49.72%,49.72%,49.72%,49.72%,40.00%,40.00%,40.00%,40.00%,,,
Shareholding Pattern (Quarterly),FIIs,5.06%,5.16%,5.37%,5.73%,5.89%,4.65%,4.62%,4.93%,12.42%,12.71%,12.80%,13.07%,,,
Shareholding Pattern (Quarterly),DIIs,11.22%,10.49%,11.92%,11.61%,12.19%,14.35%,16.07%,15.94%,18.71%,17.59%,17.06%,16.89%,,,
Shareholding Pattern (Quarterly),Public,31.12%,31.75%,30.10%,30.07%,29.32%,28.43%,26.74%,26.80%,26.34%,27.18%,27.63%,27.65%,,,
Shareholding Pattern (Quarterly),Others,2.88%,2.88%,2.88%,2.88%,2.88%,2.88%,2.86%,2.62%,2.54%,2.53%,2.52%,2.40%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,57613,56842,56801,56752,57087,55529,62958,63497,67004,76579,78654,78236,,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,49.72%,,,,49.72%,,,,40.00%,49.73%,49.72%,49.72%
Shareholding Pattern (Yearly),FIIs,,,,5.73%,,,,4.93%,,,,13.07%,2.87%,5.30%,5.02%
Shareholding Pattern (Yearly),DIIs,,,,11.61%,,,,15.94%,,,,16.89%,8.47%,9.28%,12.37%
Shareholding Pattern (Yearly),Public,,,,30.07%,,,,26.80%,,,,27.65%,36.04%,32.81%,30.01%
Shareholding Pattern (Yearly),Others,,,,2.88%,,,,2.62%,,,,2.40%,2.88%,2.88%,2.88%
Shareholding Pattern (Yearly),No. of Shareholders,,,,56752,,,,63497,,,,78236,52014,47513,54235
,,,,,,,,,,,,,,,,
