Section,,Sep 200718m,Mar 200918m,Sep 2007,Mar 2009,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,317,360,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,279,323,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,38,37,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,12%,10%,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,-4,13,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,12,10,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,16,18,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,6,22,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,109%,28%,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,-1,16,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,-0.38,10.03,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,-463%,15%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,16,16,,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,87,100,,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,55,35,,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,78,86,,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,236,236,,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,153,140,,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,2,2,,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,21,21,,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,61,73,,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,236,236,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,52,37,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,-28,-2,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,-23,-36,,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,1,-1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,9,10,,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,148,174,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,152,172,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,5,12,,,,,,,,,,,,,,,,,,,
