Section,,Mar 2020,Mar 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019
Quarterly Results,Sales,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,39.76,39.39,49.39,,,,,,,,,,,,,
Profit & Loss,Expenses,35.78,34.04,42.60,,,,,,,,,,,,,
Profit & Loss,Operating Profit,3.98,5.35,6.79,,,,,,,,,,,,,
Profit & Loss,OPM %,10.01%,13.58%,13.75%,,,,,,,,,,,,,
Profit & Loss,Other Income,-0.01,0.03,0.18,,,,,,,,,,,,,
Profit & Loss,Interest,0.88,1.18,1.20,,,,,,,,,,,,,
Profit & Loss,Depreciation,0.23,0.27,0.46,,,,,,,,,,,,,
Profit & Loss,Profit before tax,2.86,3.93,5.31,,,,,,,,,,,,,
Profit & Loss,Tax %,11.54%,-24.68%,4.71%,,,,,,,,,,,,,
Profit & Loss,Net Profit,2.53,4.90,5.06,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,1.74,3.38,2.77,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,0.00%,0.00%,0.00%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,6.07,6.07,9.17,,,,,,,,,,,,,
Balance Sheet,Reserves,10.37,15.27,29.34,,,,,,,,,,,,,
Balance Sheet,Borrowings,8.58,11.57,12.84,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,9.68,10.80,4.27,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,34.70,43.71,55.62,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,1.41,2.37,5.55,,,,,,,,,,,,,
Balance Sheet,CWIP,1.28,1.99,2.32,,,,,,,,,,,,,
Balance Sheet,Investments,0.00,0.00,0.00,,,,,,,,,,,,,
Balance Sheet,Other Assets,32.01,39.35,47.75,,,,,,,,,,,,,
Balance Sheet,Total Assets,34.70,43.71,55.62,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-0.84,0.16,2.70,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-0.57,-1.78,-5.44,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,1.53,1.55,2.65,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,0.12,-0.07,-0.09,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,192.60,228.97,151.87,,,,,,,,,,,,,
Ratios,Inventory Days,750.51,,,,,,,,,,,,,,,
Ratios,Days Payable,666.84,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,276.26,228.97,151.87,,,,,,,,,,,,,
Ratios,Working Capital Days,202.33,259.73,322.36,,,,,,,,,,,,,
Ratios,ROCE %,,17.68%,15.45%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,73.01%,74.02%,70.17%,70.17%,70.17%,70.17%,70.17%,70.18%,70.18%,70.18%,70.18%,70.18%,
Shareholding Pattern (Quarterly),Public,,,,26.98%,25.98%,29.83%,29.83%,29.83%,29.83%,29.83%,29.83%,29.82%,29.83%,29.82%,29.83%,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,255,233,259,235,251,318,1227,1166,1133,971,2828,2780,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,70.54%,73.01%,73.01%,,,,70.17%,,,,70.18%,,,,70.18%,70.54%
Shareholding Pattern (Yearly),Public,29.46%,26.99%,26.98%,,,,29.83%,,,,29.83%,,,,29.83%,29.46%
Shareholding Pattern (Yearly),No. of Shareholders,191,189,254,,,,235,,,,1166,,,,2780,177
,,,,,,,,,,,,,,,,,
