Section,,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2024,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Quarterly Results,Sales,79,109,97,109,122,127,146,140,167,151,156,208,267,,,,,,
Quarterly Results,Expenses,44,74,49,52,47,50,58,54,52,76,83,132,161,,,,,,
Quarterly Results,Operating Profit,36,36,48,57,75,77,88,86,115,74,73,76,107,,,,,,
Quarterly Results,OPM %,45%,33%,49%,52%,61%,60%,60%,62%,69%,49%,47%,37%,40%,,,,,,
Quarterly Results,Other Income,8,22,4,15,6,5,6,5,6,20,8,6,7,,,,,,
Quarterly Results,Interest,5,4,3,4,4,5,5,7,7,6,6,6,7,,,,,,
Quarterly Results,Depreciation,29,29,29,31,31,31,33,34,32,33,33,31,31,,,,,,
Quarterly Results,Profit before tax,10,25,19,38,46,46,56,50,82,56,42,45,75,,,,,,
Quarterly Results,Tax %,11%,25%,25%,23%,25%,26%,26%,26%,25%,27%,30%,26%,28%,,,,,,
Quarterly Results,Net Profit,9,19,14,29,35,34,42,37,61,40,29,33,54,,,,,,
Quarterly Results,EPS in Rs,1.02,2.15,1.67,3.34,4.01,3.92,4.83,4.30,7.08,4.68,3.36,3.82,6.22,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,335,,,,456,,,,,,,782,224,,,,,
Profit & Loss,Expenses,,197,,,,199,,,,,,,452,137,,,,,
Profit & Loss,Operating Profit,,138,,,,257,,,,,,,330,87,,,,,
Profit & Loss,OPM %,,41%,,,,56%,,,,,,,42%,39%,,,,,
Profit & Loss,Other Income,,37,,,,30,,,,,,,41,29,,,,,
Profit & Loss,Interest,,17,,,,17,,,,,,,26,26,,,,,
Profit & Loss,Depreciation,,118,,,,121,,,,,,,129,122,,,,,
Profit & Loss,Profit before tax,,39,,,,149,,,,,,,217,-32,,,,,
