Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,70.37%,70.37%,70.37%,70.37%,70.37%,70.37%,70.37%,70.37%,70.37%,70.37%,67.04%,54.07%,,,
Shareholding Pattern (Quarterly),FIIs,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.03%,0.00%,6.11%,,,
Shareholding Pattern (Quarterly),DIIs,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.20%,,,
Shareholding Pattern (Quarterly),Public,29.63%,29.63%,29.62%,29.62%,29.62%,29.64%,29.63%,29.60%,29.63%,29.60%,32.95%,39.63%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,748,1187,1986,4544,5846,7079,8356,8843,9576,8171,7076,6770,,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,70.37%,,,,70.37%,,,,54.07%,68.22%,69.64%,70.37%
Shareholding Pattern (Yearly),FIIs,,,,0.00%,,,,0.02%,,,,6.11%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,,,,0.00%,,,,0.00%,,,,0.20%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,29.62%,,,,29.60%,,,,39.63%,31.77%,30.36%,29.63%
Shareholding Pattern (Yearly),No. of Shareholders,,,,4544,,,,8843,,,,6770,103,81,81
,,,,,,,,,,,,,,,,
