Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017
Quarterly Results,Sales,108,113,123,118,133,140,155,158,166,170,186,175,186,,
Quarterly Results,Expenses,80,85,92,89,99,108,124,121,123,128,137,129,133,,
Quarterly Results,Operating Profit,28,28,31,29,34,31,32,37,44,43,49,45,53,,
Quarterly Results,OPM %,26%,25%,25%,25%,26%,22%,20%,24%,26%,25%,27%,26%,28%,,
Quarterly Results,Other Income,4,5,4,5,6,4,4,4,4,7,5,9,4,,
Quarterly Results,Interest,2,1,2,2,2,2,3,4,7,5,6,6,7,,
Quarterly Results,Depreciation,10,12,13,14,15,16,19,21,18,21,22,23,22,,
Quarterly Results,Profit before tax,20,19,20,18,24,18,13,16,23,23,25,25,29,,
Quarterly Results,Tax %,10%,24%,24%,23%,20%,18%,22%,19%,17%,23%,23%,24%,28%,,
Quarterly Results,Net Profit,18,14,15,14,19,15,10,13,19,18,20,19,21,,
Quarterly Results,EPS in Rs,5.71,4.53,4.89,4.34,6.03,4.66,3.34,4.02,5.80,5.55,6.07,6.01,6.40,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,455,,,,487,,,,620,,,,717,39,61
Profit & Loss,Expenses,324,,,,365,,,,475,,,,527,30,42
Profit & Loss,Operating Profit,132,,,,122,,,,144,,,,190,9,19
Profit & Loss,OPM %,29%,,,,25%,,,,23%,,,,27%,23%,31%
Profit & Loss,Other Income,15,,,,19,,,,17,,,,26,3,2
Profit & Loss,Interest,18,,,,8,,,,16,,,,25,9,9
Profit & Loss,Depreciation,41,,,,54,,,,75,,,,88,6,12
Profit & Loss,Profit before tax,87,,,,80,,,,70,,,,103,-3,0
Profit & Loss,Tax %,21%,,,,23%,,,,19%,,,,24%,49%,180%
Profit & Loss,Net Profit,68,,,,62,,,,57,,,,78,-5,-0
Profit & Loss,EPS in Rs,21.78,,,,19.78,,,,17.60,,,,24.04,-9.53,-0.14
Profit & Loss,Dividend Payout %,11%,,,,14%,,,,14%,,,,11%,0%,0%
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,16,,,,16,,,,16,,,,16,5,5
Balance Sheet,Reserves,669,,,,723,,,,794,,,,867,6,6
Balance Sheet,Borrowings,41,,,,32,,,,160,,,,204,131,102
Balance Sheet,Other Liabilities,150,,,,137,,,,201,,,,195,44,80
Balance Sheet,Total Liabilities,875,,,,908,,,,1170,,,,1282,186,192
Balance Sheet,Fixed Assets,386,,,,471,,,,647,,,,670,74,131
Balance Sheet,CWIP,28,,,,25,,,,10,,,,3,20,6
Balance Sheet,Investments,0,,,,0,,,,0,,,,32,1,1
Balance Sheet,Other Assets,461,,,,412,,,,513,,,,577,91,55
Balance Sheet,Total Assets,875,,,,908,,,,1170,,,,1282,186,192
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,128,,,,76,,,,24,,,,87,-23,64
Cash Flows,Cash from Investing Activity,-241,,,,-109,,,,-129,,,,-100,-47,-54
Cash Flows,Cash from Financing Activity,176,,,,-33,,,,84,,,,14,105,-41
Cash Flows,Net Cash Flow,64,,,,-66,,,,-20,,,,1,36,-31
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,46,,,,55,,,,104,,,,141,79,84
Ratios,Inventory Days,,,,,,,,,,,,,64,21,24
Ratios,Days Payable,,,,,,,,,,,,,209,76,100
Ratios,Cash Conversion Cycle,46,,,,55,,,,104,,,,-5,24,8
Ratios,Working Capital Days,-17,,,,17,,,,120,,,,100,-69,-113
Ratios,ROCE %,,,,,12%,,,,10%,,,,12%,,7%
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,27.38%,27.79%,27.79%,27.79%,27.79%,27.79%,27.03%,27.03%,27.17%,27.17%,27.24%,27.24%,,
Shareholding Pattern (Quarterly),FIIs,,4.27%,4.06%,4.14%,3.39%,5.69%,3.68%,3.44%,3.34%,3.33%,3.63%,4.04%,3.55%,,
Shareholding Pattern (Quarterly),DIIs,,27.36%,20.43%,19.41%,18.49%,19.77%,18.73%,16.59%,15.37%,15.26%,15.86%,14.46%,14.26%,,
Shareholding Pattern (Quarterly),Public,,40.98%,47.71%,48.65%,50.33%,46.74%,49.79%,52.94%,54.27%,54.23%,53.34%,54.27%,54.94%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,70268,70033,68688,67116,62257,60665,57232,56458,55914,53519,52799,53559,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,27.38%,,,,27.79%,,,,27.03%,,,,27.24%,,
Shareholding Pattern (Yearly),FIIs,4.49%,,,,3.39%,,,,3.34%,,,,3.55%,,
Shareholding Pattern (Yearly),DIIs,28.64%,,,,18.49%,,,,15.37%,,,,14.26%,,
Shareholding Pattern (Yearly),Public,39.49%,,,,50.33%,,,,54.27%,,,,54.94%,,
Shareholding Pattern (Yearly),No. of Shareholders,71445,,,,67116,,,,56458,,,,53559,,
,,,,,,,,,,,,,,,,
