Section,,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Dec 2012,TTM,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,281,292,309,314,310,442,545,522,528,526,572,557,523,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,254,260,278,287,281,388,482,472,463,446,513,502,469,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,27,32,32,27,29,54,63,50,65,79,59,56,53,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,10%,11%,10%,9%,9%,12%,12%,10%,12%,15%,10%,10%,10%,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,8,3,5,2,6,3,3,5,3,4,4,4,5,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,1,1,1,1,1,9,11,11,10,10,8,8,8,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,11,11,11,11,11,20,24,24,23,23,23,23,22,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,23,22,25,18,23,29,31,21,35,50,33,29,28,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,26%,23%,22%,23%,20%,26%,33%,22%,41%,30%,39%,40%,43%,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,17,17,19,14,18,21,21,16,20,35,20,18,16,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,2.66,2.70,2.98,1.82,2.45,2.82,2.74,2.20,2.83,4.71,2.51,2.31,2.10,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1086,,,,1225,,,,2037,,,,,901,2178,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,970,,,,1106,,,,1802,,,,,810,1931,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,115,,,,120,,,,235,,,,,90,247,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,11%,,,,10%,,,,12%,,,,,10%,11%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,12,,,,16,,,,14,,,,,8,17,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,4,,,,4,,,,43,,,,,1,33,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,42,,,,44,,,,91,,,,,36,91,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,81,,,,88,,,,116,,,,,62,140,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,28%,,,,22%,,,,32%,,,,,27%,,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,58,,,,68,,,,79,,,,,45,89,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,8.96,,,,9.16,,,,10.58,,,,,7.19,11.63,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,31%,,,,31%,,,,26%,,,,,36%,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,13,,,,15,,,,15,,,,15,13,,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,378,,,,553,,,,604,,,,662,342,,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,46,,,,42,,,,529,,,,408,52,,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,225,,,,271,,,,502,,,,569,197,,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,662,,,,880,,,,1649,,,,1654,604,,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,232,,,,275,,,,755,,,,459,243,,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,11,,,,6,,,,4,,,,-0,4,,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,55,,,,186,,,,207,,,,195,60,,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,365,,,,413,,,,684,,,,1000,296,,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,662,,,,880,,,,1649,,,,1654,604,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,51,,,,94,,,,,,,,,63,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-21,,,,-204,,,,,,,,,-54,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-28,,,,106,,,,,,,,,-16,,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,1,,,,-4,,,,,,,,,-8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,70,,,,73,,,,75,,,,,64,,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,45,,,,41,,,,42,,,,,52,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,72,,,,73,,,,77,,,,,75,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,43,,,,42,,,,40,,,,,41,,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,40,,,,39,,,,28,,,,,35,,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,18%,,,,16%,,,,18%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,,,,,67.73%,67.73%,67.73%,67.73%,67.73%,67.73%,67.73%,67.73%,67.73%,67.73%,67.73%,67.73%,,,,,,
