Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Dec 2015
Quarterly Results,Sales,2.14,4.49,13.68,7.86,5.18,5.84,14.61,9.05,12.93,7.72,18.58,9.26,26.47,,,,,,,
Quarterly Results,Expenses,2.12,0.54,0.84,0.83,3.43,0.84,1.03,0.64,3.78,0.60,1.19,0.46,31.94,,,,,,,
Quarterly Results,Operating Profit,0.02,3.95,12.84,7.03,1.75,5.00,13.58,8.41,9.15,7.12,17.39,8.80,-5.47,,,,,,,
Quarterly Results,OPM %,0.93%,87.97%,93.86%,89.44%,33.78%,85.62%,92.95%,92.93%,70.77%,92.23%,93.60%,95.03%,-20.66%,,,,,,,
Quarterly Results,Other Income,115.02,42.78,55.62,70.53,149.89,70.24,78.97,68.92,325.08,235.64,38.04,1.23,0.00,,,,,,,
Quarterly Results,Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
Quarterly Results,Depreciation,0.18,0.15,0.15,0.15,0.14,0.12,0.13,0.13,0.13,0.11,0.11,0.11,0.11,,,,,,,
Quarterly Results,Profit before tax,114.86,46.58,68.31,77.41,151.50,75.12,92.42,77.20,334.10,242.65,55.32,9.92,-5.58,,,,,,,
Quarterly Results,Tax %,25.17%,25.25%,24.89%,23.68%,24.69%,25.04%,25.05%,24.97%,25.10%,24.74%,34.91%,29.54%,-40.32%,,,,,,,
Quarterly Results,Net Profit,85.95,34.83,51.32,59.07,114.09,56.30,69.28,57.92,250.24,182.61,36.02,6.99,-3.33,,,,,,,
Quarterly Results,EPS in Rs,22.82,9.25,13.62,15.68,30.29,14.95,18.39,15.38,66.43,48.48,9.56,1.86,-0.88,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,20,,,,31,,,,43,,,,62,983,1074,11,19,22,16,
Profit & Loss,Expenses,4,,,,6,,,,6,,,,7,909,998,3,4,6,6,
Profit & Loss,Operating Profit,16,,,,26,,,,36,,,,55,74,77,8,14,16,11,
Profit & Loss,OPM %,78%,,,,82%,,,,85%,,,,88%,8%,7%,71%,76%,73%,65%,
Profit & Loss,Other Income,248,,,,319,,,,543,,,,248,4,2,184,134,214,347,
Profit & Loss,Interest,0,,,,0,,,,0,,,,0,2,0,0,0,0,0,
Profit & Loss,Depreciation,1,,,,1,,,,0,,,,0,16,15,0,0,1,1,
Profit & Loss,Profit before tax,264,,,,344,,,,579,,,,302,59,63,192,148,230,357,
