Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Revenue,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,
Quarterly Results,Financing Profit,,,,,,,,,,,,,,,,,,,
Quarterly Results,Financing Margin %,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,
Quarterly Results,Gross NPA %,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net NPA %,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Revenue,,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,,,,,,
Profit & Loss,Financing Profit,,,,,,,,,,,,,,,,,,,
Profit & Loss,Financing Margin %,,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowing,,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Ratios,ROE %,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,2.28%,2.26%,2.25%,2.24%,2.24%,2.24%,2.22%,2.20%,2.15%,2.13%,2.13%,2.11%,,,,,,,
Shareholding Pattern (Quarterly),FIIs,15.43%,16.49%,17.03%,17.93%,17.90%,18.09%,15.61%,15.38%,15.11%,15.10%,14.80%,15.12%,,,,,,,
Shareholding Pattern (Quarterly),DIIs,22.75%,25.17%,30.73%,30.80%,32.10%,32.29%,35.16%,36.22%,35.68%,37.01%,38.47%,38.87%,,,,,,,
Shareholding Pattern (Quarterly),Government,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.02%,0.02%,0.00%,0.00%,0.00%,0.02%,,,,,,,
Shareholding Pattern (Quarterly),Public,59.54%,56.08%,49.98%,49.02%,47.77%,47.38%,47.00%,46.19%,47.07%,45.76%,44.60%,43.88%,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,200256,203830,207878,209188,207639,222316,232052,245953,258964,257300,260387,260949,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,2.24%,,,,2.20%,,,,2.11%,2.16%,2.07%,2.08%,2.08%,2.11%,2.13%,2.28%
Shareholding Pattern (Yearly),FIIs,,,,17.93%,,,,15.38%,,,,15.12%,15.03%,0.00%,0.00%,18.12%,0.00%,0.00%,15.35%
Shareholding Pattern (Yearly),DIIs,,,,30.80%,,,,36.22%,,,,38.87%,28.97%,41.76%,40.19%,23.68%,44.39%,41.74%,21.88%
Shareholding Pattern (Yearly),Government,,,,0.00%,,,,0.02%,,,,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,49.02%,,,,46.19%,,,,43.88%,53.84%,56.17%,57.73%,56.11%,53.50%,56.14%,60.49%
Shareholding Pattern (Yearly),No. of Shareholders,,,,209188,,,,245953,,,,260949,78625,96146,137837,143538,143455,174149,202252
,,,,,,,,,,,,,,,,,,,,
