Section,,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2023
Quarterly Results,Sales,227.69,188.45,333.23,223.52,275.79,310.95,411.60,345.37,
Quarterly Results,Expenses,193.56,179.86,257.38,199.93,233.80,286.58,328.28,305.45,
Quarterly Results,Operating Profit,34.13,8.59,75.85,23.59,41.99,24.37,83.32,39.92,
Quarterly Results,OPM %,14.99%,4.56%,22.76%,10.55%,15.23%,7.84%,20.24%,11.56%,
Quarterly Results,Other Income,1.54,1.15,5.93,1.32,-7.62,2.17,1.89,1.77,
Quarterly Results,Interest,11.03,13.10,11.37,13.93,14.08,15.92,17.34,21.69,
Quarterly Results,Depreciation,17.02,17.54,19.15,19.75,20.93,22.49,27.09,29.38,
Quarterly Results,Profit before tax,7.62,-20.90,51.26,-8.77,-0.64,-11.87,40.78,-9.38,
Quarterly Results,Tax %,27.56%,-25.98%,25.24%,-26.57%,-34.38%,-24.68%,25.38%,-31.88%,
Quarterly Results,Net Profit,5.52,-15.48,38.32,-6.43,-0.42,-8.94,30.42,-6.39,
Quarterly Results,EPS in Rs,1.58,-2.22,5.49,-0.92,-0.06,-1.20,4.08,-0.86,
Quarterly Results,Raw PDF,,,,,,,,,
,,,,,,,,,,
Profit & Loss,Sales,,,,973,,,,1344,788
Profit & Loss,Expenses,,,,829,,,,1154,685
Profit & Loss,Operating Profit,,,,143,,,,190,103
Profit & Loss,OPM %,,,,15%,,,,14%,13%
Profit & Loss,Other Income,,,,9,,,,-2,5
Profit & Loss,Interest,,,,49,,,,69,41
Profit & Loss,Depreciation,,,,73,,,,100,61
Profit & Loss,Profit before tax,,,,29,,,,19,5
Profit & Loss,Tax %,,,,25%,,,,22%,6%
Profit & Loss,Net Profit,,,,22,,,,15,5
Profit & Loss,EPS in Rs,,,,3.14,,,,1.96,1.46
Profit & Loss,Dividend Payout %,,,,0%,,,,0%,0%
,,,,,,,,,,
Balance Sheet,Equity Capital,,,,35,,,,37,35
Balance Sheet,Reserves,,,,180,,,,366,159
Balance Sheet,Borrowings,,,,657,,,,996,490
Balance Sheet,Other Liabilities,,,,293,,,,354,183
Balance Sheet,Total Liabilities,,,,1166,,,,1754,867
Balance Sheet,Fixed Assets,,,,620,,,,1022,468
Balance Sheet,CWIP,,,,7,,,,12,2
Balance Sheet,Investments,,,,0,,,,0,0
Balance Sheet,Other Assets,,,,539,,,,720,397
Balance Sheet,Total Assets,,,,1166,,,,1754,867
,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,112,,,,53,33
Cash Flows,Cash from Investing Activity,,,,-85,,,,-103,-43
Cash Flows,Cash from Financing Activity,,,,-18,,,,54,-8
Cash Flows,Net Cash Flow,,,,9,,,,4,-18
,,,,,,,,,,
Ratios,Debtor Days,,,,0,,,,0,0
Ratios,Inventory Days,,,,244,,,,214,217
Ratios,Days Payable,,,,148,,,,127,113
Ratios,Cash Conversion Cycle,,,,97,,,,86,103
Ratios,Working Capital Days,,,,74,,,,80,83
Ratios,ROCE %,,,,10%,,,,9%,
,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,45.56%,45.56%,45.57%,
Shareholding Pattern (Quarterly),FIIs,,,,,,6.53%,5.98%,2.53%,
Shareholding Pattern (Quarterly),DIIs,,,,,,9.96%,10.44%,11.15%,
Shareholding Pattern (Quarterly),Public,,,,,,37.96%,38.02%,40.75%,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,112775,89598,87273,
,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,45.57%,
Shareholding Pattern (Yearly),FIIs,,,,,,,,2.53%,
Shareholding Pattern (Yearly),DIIs,,,,,,,,11.15%,
Shareholding Pattern (Yearly),Public,,,,,,,,40.75%,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,87273,
,,,,,,,,,,
