Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,1211,1190,1233,1169,982,894,863,1070,814,1149,1128,204,395,,,,,
Quarterly Results,Expenses,1085,1051,1054,1082,835,759,814,879,615,1051,1040,222,425,,,,,
Quarterly Results,Operating Profit,125,139,179,87,147,136,49,191,199,99,88,-18,-31,,,,,
Quarterly Results,OPM %,10%,12%,14%,7%,15%,15%,6%,18%,24%,9%,8%,-9%,-8%,,,,,
Quarterly Results,Other Income,8,4,10,4,118,-54,-12,3,-114,8,1,-8,-119,,,,,
Quarterly Results,Interest,15,11,15,13,8,6,10,8,10,12,17,8,12,,,,,
Quarterly Results,Depreciation,57,56,57,57,49,50,51,53,15,55,55,16,16,,,,,
Quarterly Results,Profit before tax,62,76,116,21,207,26,-24,133,60,40,17,-50,-177,,,,,
Quarterly Results,Tax %,-37%,40%,40%,68%,31%,128%,36%,40%,66%,56%,83%,-15%,-24%,,,,,
Quarterly Results,Net Profit,84,45,70,7,142,-7,-33,80,21,17,3,-42,-135,,,,,
Quarterly Results,EPS in Rs,7.71,4.15,6.41,0.78,13.01,-0.53,-2.73,7.46,0.34,0.70,0.23,-3.63,-11.73,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,4131,,,,3832,,,,4514,,,,1219,7645,3898,3944,3423,2617
Profit & Loss,Expenses,3687,,,,3265,,,,3874,,,,1203,6721,3092,2992,2873,2411
Profit & Loss,Operating Profit,444,,,,567,,,,639,,,,16,924,805,951,550,205
Profit & Loss,OPM %,11%,,,,15%,,,,14%,,,,1%,12%,21%,24%,16%,8%
Profit & Loss,Other Income,51,,,,101,,,,-188,,,,-94,62,138,5673,32,62
Profit & Loss,Interest,52,,,,34,,,,36,,,,46,551,212,102,87,71
Profit & Loss,Depreciation,231,,,,196,,,,210,,,,64,313,199,193,229,231
Profit & Loss,Profit before tax,212,,,,437,,,,205,,,,-188,122,532,6330,267,-35
Profit & Loss,Tax %,24%,,,,40%,,,,71%,,,,-16%,14%,30%,4%,-35%,-4%
Profit & Loss,Net Profit,162,,,,265,,,,60,,,,-157,105,372,6063,360,-34
Profit & Loss,EPS in Rs,14.91,,,,24.34,,,,4.52,,,,-14.44,9.40,33.27,542.81,32.70,-2.73
Profit & Loss,Dividend Payout %,27%,,,,21%,,,,111%,,,,-14%,59%,20%,1%,9%,-37%
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,112,,,,112,,,,112,,,,112,112,112,112,112,112
Balance Sheet,Reserves,3607,,,,3775,,,,3867,,,,3729,2370,2636,3182,3368,3393
Balance Sheet,Borrowings,1336,,,,1059,,,,2502,,,,4997,5700,4369,1020,1400,1049
Balance Sheet,Other Liabilities,2684,,,,3465,,,,4018,,,,7696,2154,3214,1861,1868,2141
Balance Sheet,Total Liabilities,7739,,,,8411,,,,10499,,,,16533,10336,10331,6175,6747,6693
Balance Sheet,Fixed Assets,4059,,,,3952,,,,3734,,,,1440,7309,7256,4430,4293,4139
Balance Sheet,CWIP,211,,,,190,,,,58,,,,24,34,35,275,176,210
Balance Sheet,Investments,409,,,,228,,,,692,,,,1085,258,223,183,107,238
Balance Sheet,Other Assets,3060,,,,4041,,,,6015,,,,13985,2734,2817,1287,2171,2106
Balance Sheet,Total Assets,7739,,,,8411,,,,10499,,,,16533,10336,10331,6175,6747,6693
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-51,,,,271,,,,-315,,,,-1293,940,2209,548,-23,566
Cash Flows,Cash from Investing Activity,-176,,,,138,,,,-524,,,,-438,-247,-195,-123,-241,-92
Cash Flows,Cash from Financing Activity,207,,,,-553,,,,1272,,,,2218,-175,-1795,-677,392,-471
Cash Flows,Net Cash Flow,-21,,,,-144,,,,433,,,,487,518,219,-253,128,4
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,19,,,,15,,,,13,,,,31,24,39,19,19,22
Ratios,Inventory Days,429,,,,716,,,,979,,,,4399,232,328,174,362,486
Ratios,Days Payable,158,,,,173,,,,155,,,,407,129,190,130,133,200
Ratios,Cash Conversion Cycle,290,,,,558,,,,838,,,,4024,126,178,64,248,308
Ratios,Working Capital Days,78,,,,99,,,,155,,,,1917,-33,-45,-0,-12,55
Ratios,ROCE %,5%,,,,8%,,,,8%,,,,-0%,,10%,112%,8%,1%
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,50.21%,50.21%,50.21%,50.21%,50.21%,50.21%,50.21%,50.21%,50.21%,50.21%,50.21%,50.21%,,,,,
Shareholding Pattern (Quarterly),FIIs,,7.87%,7.91%,7.72%,7.92%,8.07%,6.64%,6.42%,7.46%,8.52%,9.41%,9.53%,9.28%,,,,,
Shareholding Pattern (Quarterly),DIIs,,15.54%,15.98%,16.06%,16.07%,15.24%,16.10%,17.39%,16.54%,15.76%,15.90%,15.33%,15.86%,,,,,
Shareholding Pattern (Quarterly),Government,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,,,,,
Shareholding Pattern (Quarterly),Public,,26.38%,25.89%,26.00%,25.82%,25.36%,25.93%,24.86%,24.68%,24.41%,23.43%,23.89%,23.60%,,,,,
Shareholding Pattern (Quarterly),Others,,0.00%,0.00%,0.00%,0.00%,1.12%,1.12%,1.12%,1.12%,1.12%,1.05%,1.05%,1.05%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,74484,72587,73368,72938,73789,72014,68301,69463,91178,98994,107955,106615,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,50.21%,,,,50.21%,,,,50.21%,,,,50.21%,47.75%,50.21%,50.21%,50.21%,50.21%
Shareholding Pattern (Yearly),FIIs,7.32%,,,,7.92%,,,,7.46%,,,,9.28%,9.10%,8.62%,9.60%,12.26%,9.74%
Shareholding Pattern (Yearly),DIIs,15.46%,,,,16.07%,,,,16.54%,,,,15.86%,15.14%,17.24%,17.19%,14.65%,11.89%
Shareholding Pattern (Yearly),Government,0.00%,,,,0.00%,,,,0.00%,,,,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,27.01%,,,,25.82%,,,,24.68%,,,,23.60%,28.00%,23.93%,23.00%,22.89%,28.16%
Shareholding Pattern (Yearly),Others,0.00%,,,,0.00%,,,,1.12%,,,,1.05%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),No. of Shareholders,75614,,,,72938,,,,69463,,,,106615,65814,62393,64933,66236,75313
,,,,,,,,,,,,,,,,,,,
