Section,,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM,Mar 2025
Quarterly Results,Sales,298,528,54,42,64,280,54,113,208,87,88,47,58,,,,,,,,,,,
Quarterly Results,Expenses,235,652,68,34,70,375,86,109,155,190,75,57,51,,,,,,,,,,,
Quarterly Results,Operating Profit,64,-124,-15,9,-6,-95,-33,4,52,-103,13,-10,7,,,,,,,,,,,
Quarterly Results,OPM %,21%,-23%,-28%,21%,-9%,-34%,-60%,4%,25%,-118%,14%,-22%,12%,,,,,,,,,,,
Quarterly Results,Other Income,3,4,3,2,4,-95,2,5,2,85,2,1,63,,,,,,,,,,,
Quarterly Results,Interest,118,120,94,96,96,106,115,69,56,223,101,106,89,,,,,,,,,,,
Quarterly Results,Depreciation,17,21,14,14,14,25,14,14,15,14,13,13,13,,,,,,,,,,,
Quarterly Results,Profit before tax,-69,-259,-120,-99,-112,-321,-161,-75,-16,-255,-99,-128,-31,,,,,,,,,,,
Quarterly Results,Tax %,-0%,0%,0%,0%,44%,30%,22%,0%,0%,20%,2%,0%,0%,,,,,,,,,,,
Quarterly Results,Net Profit,-69,-259,-120,-99,-161,-421,-195,-75,-16,-307,-101,-128,-31,,,,,,,,,,,
Quarterly Results,EPS in Rs,-1.58,-5.96,-2.76,-2.29,-3.70,-9.63,-4.49,-1.72,-0.38,-7.05,-2.32,-2.94,-0.72,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,897,,,,438,,,,460,,,,633,555,758,399,275,192,910,1189,357,280,
Profit & Loss,Expenses,,951,,,,546,,,,539,,,,373,346,434,310,202,213,962,1133,373,374,
Profit & Loss,Operating Profit,,-55,,,,-107,,,,-79,,,,260,209,325,89,73,-22,-52,56,-16,-94,
Profit & Loss,OPM %,,-6%,,,,-25%,,,,-17%,,,,41%,38%,43%,22%,26%,-11%,-6%,5%,-5%,-33%,
Profit & Loss,Other Income,,19,,,,-86,,,,93,,,,27,18,-452,36,28,16,14,77,71,152,
Profit & Loss,Interest,,395,,,,393,,,,464,,,,143,175,180,186,234,324,335,481,433,518,
Profit & Loss,Depreciation,,59,,,,66,,,,57,,,,13,13,5,29,28,30,29,27,37,54,
Profit & Loss,Profit before tax,,-490,,,,-652,,,,-507,,,,132,39,-313,-90,-161,-360,-402,-375,-415,-514,
Profit & Loss,Tax %,,1%,,,,23%,,,,17%,,,,45%,58%,-64%,-45%,-8%,-10%,-9%,-3%,3%,,
Profit & Loss,Net Profit,,-494,,,,-801,,,,-594,,,,73,16,-113,-49,-149,-324,-367,-363,-428,-568,
Profit & Loss,EPS in Rs,,-11.31,,,,-18.41,,,,-13.65,,,,1.64,0.37,-2.47,-0.85,-3.32,-7.29,-8.35,-7.96,-9.82,-13.03,
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,218,,,,218,,,,218,,218,,218,218,218,218,218,218,218,218,218,,
Balance Sheet,Reserves,,-521,,,,-1320,,,,-1914,,-2142,,2507,2562,2454,2413,2265,1947,725,390,-37,,
Balance Sheet,Borrowings,,3537,,,,3427,,,,3240,,3050,,2540,3139,3092,3126,3911,4400,4215,3143,3519,,
Balance Sheet,Other Liabilities,,3691,,,,4059,,,,4404,,4430,,2158,2213,1531,1712,1563,1825,4530,4339,4159,,
Balance Sheet,Total Liabilities,,6925,,,,6383,,,,5948,,5555,,7423,8132,7294,7469,7956,8390,9688,8089,7859,,
Balance Sheet,Fixed Assets,,919,,,,1028,,,,898,,1684,,214,163,516,480,575,548,564,860,900,,
Balance Sheet,CWIP,,835,,,,902,,,,792,,20,,789,848,625,678,647,747,814,915,927,,
Balance Sheet,Investments,,390,,,,175,,,,388,,13,,28,15,15,79,15,15,303,344,390,,
Balance Sheet,Other Assets,,4781,,,,4278,,,,3870,,3838,,6392,7106,6139,6232,6720,7081,8007,5971,5642,,
Balance Sheet,Total Assets,,6925,,,,6383,,,,5948,,5555,,7423,8132,7294,7469,7956,8390,9688,8089,7859,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,550,,,,374,,,,261,,,,93,-264,562,-32,-332,85,1310,1563,259,,
Cash Flows,Cash from Investing Activity,,39,,,,-59,,,,-31,,,,-125,-112,-7,-48,-152,-90,-470,-11,-47,,
Cash Flows,Cash from Financing Activity,,-608,,,,-325,,,,-214,,,,14,425,-463,-69,460,0,-815,-1576,-179,,
Cash Flows,Net Cash Flow,,-18,,,,-10,,,,17,,,,-18,48,93,-149,-23,-6,26,-25,33,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,117,,,,217,,,,161,,,,413,431,319,602,836,1210,117,86,339,,
Ratios,Inventory Days,,1632,,,,3142,,,,3213,,,,,18696,,25828,,,2649,1970,5862,,
Ratios,Days Payable,,319,,,,677,,,,776,,,,,5195,,5891,,,397,365,962,,
Ratios,Cash Conversion Cycle,,1430,,,,2681,,,,2598,,,,413,13932,319,20539,836,1210,2368,1691,5239,,
Ratios,Working Capital Days,,324,,,,478,,,,23,,,,2143,2652,1698,2407,4314,5445,404,195,1259,,
Ratios,ROCE %,,-3%,,,,-5%,,,,-5%,,,,5%,4%,6%,2%,1%,-1%,-1%,2%,0%,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,68.56%,66.26%,66.30%,66.30%,66.30%,66.30%,66.30%,66.30%,66.30%,66.07%,50.09%,,,,,,,,,,,50.09%
Shareholding Pattern (Quarterly),FIIs,,,0.36%,0.16%,0.16%,0.16%,0.16%,0.17%,0.16%,0.16%,0.17%,0.18%,4.21%,,,,,,,,,,,4.51%
Shareholding Pattern (Quarterly),DIIs,,,0.08%,0.09%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.22%,,,,,,,,,,,0.27%
Shareholding Pattern (Quarterly),Public,,,30.99%,33.49%,33.53%,33.53%,33.53%,33.52%,33.53%,33.54%,33.51%,33.74%,45.47%,,,,,,,,,,,45.11%
Shareholding Pattern (Quarterly),No. of Shareholders,,,131726,132002,131449,129932,128103,128311,126599,123915,123700,120353,119088,,,,,,,,,,,117148
