Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Jun 2025,Mar 2017,Mar 2018
Quarterly Results,Sales,553,416,462,445,657,555,772,802,1154,1092,1110,1135,1288,,,,,,
Quarterly Results,Expenses,492,381,424,400,586,494,699,725,1045,987,998,1024,1164,,,,,,
Quarterly Results,Operating Profit,61,35,38,45,72,60,74,77,109,105,111,111,124,,,,,,
Quarterly Results,OPM %,11%,8%,8%,10%,11%,11%,10%,10%,9%,10%,10%,10%,10%,,,,,,
Quarterly Results,Other Income,1,1,1,4,5,4,3,5,4,4,3,4,13,,,,,,
Quarterly Results,Interest,25,24,23,26,32,28,35,39,52,51,55,50,56,,,,,,
Quarterly Results,Depreciation,12,13,11,11,11,12,13,13,14,15,15,17,17,,,,,,
Quarterly Results,Profit before tax,25,-1,6,12,33,23,29,29,48,43,44,48,63,,,,,,
Quarterly Results,Tax %,-0%,23%,46%,20%,28%,30%,31%,30%,47%,25%,26%,25%,24%,,,,,,
Quarterly Results,Net Profit,25,-1,3,10,24,16,20,20,25,32,33,36,48,,,,,,
Quarterly Results,EPS in Rs,2.18,-0.06,0.26,0.84,2.10,1.44,1.75,1.81,2.23,2.87,2.92,3.21,4.25,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1707,,,,1980,,,,3282,,,,4624,1871,1391,1582,,,
Profit & Loss,Expenses,1542,,,,1787,,,,2961,,,,4173,1689,1251,1436,,,
Profit & Loss,Operating Profit,165,,,,193,,,,321,,,,452,182,140,145,,,
Profit & Loss,OPM %,10%,,,,10%,,,,10%,,,,10%,10%,10%,9%,,,
Profit & Loss,Other Income,4,,,,8,,,,15,,,,23,1,2,4,,,
Profit & Loss,Interest,94,,,,105,,,,155,,,,213,102,85,74,,,
Profit & Loss,Depreciation,48,,,,47,,,,53,,,,63,38,38,45,,,
Profit & Loss,Profit before tax,27,,,,50,,,,128,,,,199,43,18,30,,,
Profit & Loss,Tax %,6%,,,,29%,,,,36%,,,,25%,27%,-129%,30%,,,
Profit & Loss,Net Profit,25,,,,36,,,,82,,,,149,31,41,21,,,
Profit & Loss,EPS in Rs,2.23,,,,3.15,,,,7.23,,,,13.24,2.76,3.65,1.90,,,
Profit & Loss,Dividend Payout %,4%,,,,3%,,,,1%,,,,1%,8%,2%,5%,,,
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,10,,,,10,,,,11,,,,11,10,10,10,,,
Balance Sheet,Reserves,722,,,,757,,,,887,,,,1182,638,677,698,,,
Balance Sheet,Borrowings,575,,,,494,,,,592,,,,740,523,454,448,,,
Balance Sheet,Other Liabilities,777,,,,961,,,,1655,,,,1465,481,572,763,,,
Balance Sheet,Total Liabilities,2084,,,,2223,,,,3145,,,,3397,1653,1713,1919,,,
Balance Sheet,Fixed Assets,657,,,,697,,,,749,,,,901,514,579,657,,,
Balance Sheet,CWIP,14,,,,7,,,,16,,,,133,8,11,12,,,
Balance Sheet,Investments,7,,,,10,,,,17,,,,20,9,9,10,,,
Balance Sheet,Other Assets,1406,,,,1508,,,,2362,,,,2342,1121,1114,1241,,,
Balance Sheet,Total Assets,2084,,,,2223,,,,3145,,,,3397,1653,1713,1919,,,
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,17,,,,284,,,,199,,,,153,134,214,180,,,
Cash Flows,Cash from Investing Activity,-48,,,,-98,,,,-187,,,,-201,-41,-51,-100,,,
Cash Flows,Cash from Financing Activity,31,,,,-185,,,,-12,,,,51,-93,-163,-81,,,
Cash Flows,Net Cash Flow,0,,,,1,,,,-0,,,,4,-0,0,0,,,
,,,,,,,,,,,,,,,,,,,,
