Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 20149m,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2014
Quarterly Results,Sales,6.65,5.08,3.76,4.40,4.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
Quarterly Results,Expenses,36.96,58.40,66.48,-26.01,-9.66,2.05,2.49,2.25,2.54,2.77,2.23,3.16,2.00,,,,,,,,,
Quarterly Results,Operating Profit,-30.31,-53.32,-62.72,30.41,13.90,-2.05,-2.49,-2.25,-2.54,-2.77,-2.23,-3.16,-2.00,,,,,,,,,
Quarterly Results,OPM %,-455.79%,-1049.61%,-1668.09%,691.14%,327.83%,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,16.30,-81.79,0.04,0.01,0.63,2.90,3.34,3.43,8.98,3.40,3.50,3.64,3.86,,,,,,,,,
Quarterly Results,Interest,214.38,208.24,214.55,223.01,49.17,0.46,0.19,0.20,0.16,0.13,0.18,0.18,0.18,,,,,,,,,
Quarterly Results,Depreciation,11.06,11.06,10.73,10.75,10.70,9.25,7.93,7.90,7.75,7.46,7.46,7.44,7.28,,,,,,,,,
Quarterly Results,Profit before tax,-239.45,-354.41,-287.96,-203.34,-45.34,-8.86,-7.27,-6.92,-1.47,-6.96,-6.37,-7.14,-5.60,,,,,,,,,
Quarterly Results,Tax %,17.39%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,67638.10%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
Quarterly Results,Net Profit,-281.09,-354.41,-287.96,-203.34,-45.34,-8.86,-7.27,-6.92,-995.75,-6.96,-6.37,-7.14,-5.60,,,,,,,,,
Quarterly Results,EPS in Rs,-16.94,-21.36,-17.36,-12.26,-2.73,-0.53,-0.44,-0.42,-60.02,-0.42,-0.38,-0.43,-0.34,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,29,,,,17,,,,0,,,,0,2502,3679,3800,3180,2861,2161,1493,944,
Profit & Loss,Expenses,99,,,,89,,,,9,,,,10,1682,2385,2652,2212,2034,2072,1604,998,
Profit & Loss,Operating Profit,-70,,,,-71,,,,-9,,,,-10,820,1294,1148,968,826,89,-111,-54,
Profit & Loss,OPM %,-240%,,,,-409%,,,,,,,,,33%,35%,30%,30%,29%,4%,-7%,-6%,
Profit & Loss,Other Income,195,,,,-81,,,,19,,,,14,5,28,38,-493,27,-3826,56,-2523,
Profit & Loss,Interest,760,,,,695,,,,1,,,,1,261,416,498,570,629,854,788,967,
Profit & Loss,Depreciation,49,,,,43,,,,33,,,,30,364,622,543,263,268,253,248,125,
Profit & Loss,Profit before tax,-683,,,,-891,,,,-25,,,,-26,200,284,146,-358,-44,-4844,-1091,-3669,
Profit & Loss,Tax %,4%,,,,0%,,,,4055%,,,,0%,-42%,14%,-26%,-147%,141%,-24%,-16%,-11%,
Profit & Loss,Net Profit,-713,,,,-891,,,,-1019,,,,-26,284,245,184,167,-106,-3657,-915,-3264,
Profit & Loss,EPS in Rs,-42.95,,,,-53.72,,,,-61.41,,,,-1.57,17.58,15.20,11.30,10.15,-6.40,-220.47,-55.15,-196.77,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,13%,20%,0%,0%,0%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,166,,,,166,,,,166,,,,166,,161,163,164,165,166,166,166,161
Balance Sheet,Reserves,-7980,,,,-9242,,,,-10321,,,,-10482,,2140,2144,2420,2323,-1464,-2791,-6979,2056
Balance Sheet,Borrowings,9731,,,,10696,,,,10747,,,,10846,,5097,6022,6265,6646,7736,8655,8844,4056
Balance Sheet,Other Liabilities,1901,,,,2111,,,,2153,,,,2209,,669,1041,988,1531,1642,2016,2346,686
Balance Sheet,Total Liabilities,3818,,,,3731,,,,2745,,,,2738,,8068,9370,9838,10665,8080,8046,4377,6959
Balance Sheet,Fixed Assets,1370,,,,1312,,,,1279,,,,1250,,5378,6465,6323,6050,5836,5672,1621,5396
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,,97,1,1,2,0,0,0,154
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,,0,0,0,0,3,4,6,11
Balance Sheet,Other Assets,2449,,,,2419,,,,1466,,,,1489,,2593,2905,3514,4612,2241,2369,2750,1398
Balance Sheet,Total Assets,3818,,,,3731,,,,2745,,,,2738,,8068,9370,9838,10665,8080,8046,4377,6959
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-18,,,,15,,,,10,,,,-5,,437,239,-46,82,90,542,-1,593
Cash Flows,Cash from Investing Activity,41,,,,-0,,,,208,,,,14,,-499,-840,-86,76,125,-32,-7,-840
Cash Flows,Cash from Financing Activity,-35,,,,-16,,,,0,,,,0,,475,199,122,-180,-221,-496,-0,133
Cash Flows,Net Cash Flow,-12,,,,-1,,,,218,,,,10,,413,-403,-10,-21,-5,14,-8,-114
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,865,,,,1441,,,,,,,,,,126,188,155,188,53,76,142,126
Ratios,Inventory Days,0,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,865,,,,1441,,,,,,,,,,126,188,155,188,53,76,142,126
Ratios,Working Capital Days,-19337,,,,-41971,,,,,,,,,,101,127,160,192,-140,-317,-630,38
Ratios,ROCE %,-6%,,,,-6%,,,,-2%,,,,-5%,,10%,8%,9%,6%,-2%,-6%,4%,9%
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,2.31%,2.31%,2.31%,2.31%,2.31%,2.31%,2.31%,2.31%,2.31%,2.31%,2.31%,2.31%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,1.04%,1.04%,1.04%,1.04%,1.04%,1.05%,1.05%,1.05%,1.05%,0.00%,0.00%,0.00%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,1.88%,1.88%,1.88%,1.88%,1.88%,1.88%,1.88%,1.88%,1.88%,1.88%,1.88%,1.88%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,94.77%,94.77%,94.77%,94.77%,94.78%,94.76%,94.76%,94.77%,94.78%,95.82%,95.81%,95.81%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,145554,145513,143837,141849,140818,139828,138380,136509,135842,135499,134893,134061,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,2.31%,,,,2.31%,,,,2.31%,,,,2.31%,,,,50.81%,50.40%,13.35%,13.41%,2.31%,
Shareholding Pattern (Yearly),FIIs,0.93%,,,,1.04%,,,,1.05%,,,,0.00%,,,,9.17%,7.02%,0.30%,0.61%,0.95%,
Shareholding Pattern (Yearly),DIIs,3.20%,,,,1.88%,,,,1.88%,,,,1.88%,,,,2.71%,2.65%,9.83%,9.80%,13.95%,
Shareholding Pattern (Yearly),Public,93.56%,,,,94.77%,,,,94.77%,,,,95.81%,,,,37.31%,39.92%,76.52%,76.18%,82.78%,
Shareholding Pattern (Yearly),No. of Shareholders,145185,,,,141849,,,,136509,,,,134061,,,,142221,130052,146093,139297,137368,
,,,,,,,,,,,,,,,,,,,,,,,
