Section,,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,TTM,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,5.21,2.02,4.61,4.35,3.84,7.45,-1.65,10.07,35.04,15.92,22.64,9.57,15.27,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,3.32,2.88,12.96,0.49,0.48,-1.32,2.70,1.94,31.47,49.11,-2.85,7.53,11.59,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,1.89,-0.86,-8.35,3.86,3.36,8.77,-4.35,8.13,3.57,-33.19,25.49,2.04,3.68,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,36.28%,-42.57%,-181.13%,88.74%,87.50%,117.72%,,80.73%,10.19%,-208.48%,112.59%,21.32%,24.10%,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.39,0.00,0.41,1.25,1.10,0.35,0.27,3.77,1.86,0.56,0.33,-1.87,2.57,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,0.16,0.23,0.21,0.19,0.17,0.20,0.21,0.28,0.28,0.28,0.28,0.19,0.10,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,2.09,-1.12,-8.19,4.89,4.26,8.89,-4.32,11.58,5.11,-32.95,25.49,-0.07,6.10,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,68.90%,-16.96%,-10.87%,21.68%,22.30%,26.55%,-30.79%,17.79%,21.33%,-26.37%,25.85%,685.71%,14.10%,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,0.64,-0.94,-7.30,3.83,3.31,6.54,-2.98,9.53,4.02,-24.26,18.90,-0.55,5.25,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.03,-0.05,-0.38,0.20,0.17,0.34,-0.16,0.50,0.21,-1.28,0.99,-0.03,0.28,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,18.02,,,,15.02,,,,84.90,,,96.04,77.18,16.96,185.01,32.53,40.80,39.98,20.01,63.40,,,,,,,,,,
Profit & Loss,Expenses,,,20.93,,,,1.60,,,,79.37,,,92.91,66.52,12.19,174.01,16.59,22.33,23.21,3.72,65.38,,,,,,,,,,
Profit & Loss,Operating Profit,,,-2.91,,,,13.42,,,,5.53,,,3.13,10.66,4.77,11.00,15.94,18.47,16.77,16.29,-1.98,,,,,,,,,,
Profit & Loss,OPM %,,,-16.15%,,,,89.35%,,,,6.51%,,,3.26%,13.81%,28.12%,5.95%,49.00%,45.27%,41.95%,81.41%,-3.12%,,,,,,,,,,
Profit & Loss,Other Income,,,0.00,,,,1.20,,,,4.98,,,0.00,0.00,0.48,0.00,-2.69,0.00,0.00,-9.72,1.59,,,,,,,,,,
Profit & Loss,Interest,,,0.71,,,,0.77,,,,1.12,,,1.91,7.92,6.57,2.69,0.01,0.00,0.01,0.00,0.85,,,,,,,,,,
Profit & Loss,Depreciation,,,0.14,,,,0.11,,,,0.16,,,0.02,0.04,0.21,0.24,0.20,0.15,0.19,0.18,0.19,,,,,,,,,,
Profit & Loss,Profit before tax,,,-3.76,,,,13.74,,,,9.23,,,1.20,2.70,-1.53,8.07,13.04,18.32,16.57,6.39,-1.43,,,,,,,,,,
Profit & Loss,Tax %,,,48.67%,,,,22.20%,,,,11.27%,,,22.50%,25.19%,7.84%,34.94%,42.94%,36.95%,29.99%,30.99%,,,,,,,,,,,
Profit & Loss,Net Profit,,,-5.59,,,,10.69,,,,8.19,,,1.18,2.04,-1.65,5.24,7.45,11.56,11.60,4.40,-0.66,,,,,,,,,,
Profit & Loss,EPS in Rs,,,-0.29,,,,0.56,,,,0.43,,,0.12,0.11,-0.09,0.28,0.39,0.61,0.61,0.23,-0.04,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,0.00%,,,,0.00%,,,,0.00%,,,57.63%,64.22%,0.00%,0.00%,0.00%,0.00%,8.20%,0.00%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,95.12,,,,95.12,,,,95.12,,95.12,17.00,32.75,34.50,95.12,95.12,95.12,95.12,95.12,,,,,,,,,,,
Balance Sheet,Reserves,,,128.86,,,,140.99,,,,149.17,,153.86,11.83,59.83,65.97,119.69,127.14,138.70,150.29,150.62,,,,,,,,,,,
Balance Sheet,Borrowings,,,8.50,,,,14.00,,,,14.00,,1.00,56.50,68.05,56.39,0.77,0.00,0.00,2.09,2.67,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,31.23,,,,29.47,,,,55.28,,65.49,0.48,4.88,6.17,2.89,3.89,3.32,4.03,16.22,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,263.71,,,,279.58,,,,313.57,,315.47,85.81,165.51,163.03,218.47,226.15,237.14,251.53,264.63,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,1.10,,,,0.99,,,,1.12,,1.04,0.19,0.70,0.76,0.58,0.47,2.50,3.37,1.63,,,,,,,,,,,
Balance Sheet,CWIP,,,0.00,,,,0.00,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,
Balance Sheet,Investments,,,31.53,,,,32.56,,,,33.68,,34.26,10.74,18.94,29.09,32.08,29.20,24.18,21.92,23.18,,,,,,,,,,,
Balance Sheet,Other Assets,,,231.08,,,,246.03,,,,278.77,,280.17,74.88,145.87,133.18,185.81,196.48,210.46,226.24,239.82,,,,,,,,,,,
Balance Sheet,Total Assets,,,263.71,,,,279.58,,,,313.57,,315.47,85.81,165.51,163.03,218.47,226.15,237.14,251.53,264.63,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,18.29,,,,4.79,,,,-12.92,,,-66.07,-66.51,15.83,-48.35,3.47,1.20,-10.27,1.59,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,-24.16,,,,0.10,,,,-0.96,,,-10.54,-9.59,-7.57,-7.28,3.77,1.97,1.28,-3.01,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,6.40,,,,4.35,,,,7.74,,,78.96,73.63,-4.66,52.45,-0.07,0.00,2.09,0.17,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,0.53,,,,9.25,,,,-6.14,,,2.35,-2.47,3.60,-3.18,7.17,3.17,-6.89,-1.24,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,0.00,,,,0.00,,,,0.00,,,18.05,0.66,132.79,0.55,3.37,5.37,3.10,13.68,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,101.83,,,40.74,24.07,405.60,19.87,201.94,211.59,176.41,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,10.38,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,0.00,,,,0.00,,,,101.83,,,58.79,24.73,538.39,20.43,205.31,216.95,169.14,13.68,,,,,,,,,,,
Ratios,Working Capital Days,,,-194.45,,,,-149.94,,,,-5.63,,,190.37,399.43,1524.56,318.76,2021.69,1715.41,1972.35,241.69,,,,,,,,,,,
Ratios,ROCE %,,,-1.27%,,,,5.52%,,,,2.11%,,,,8.64%,2.87%,5.78%,7.21%,8.03%,6.89%,6.65%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,67.98%,68.32%,,,,,,,,,,68.41%,70.51%,70.51%,70.87%,71.38%,71.38%,71.38%,71.38%,71.38%,71.38%
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,,0.00%,0.00%,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.05%
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,32.01%,31.68%,,,,,,,,,,31.60%,29.49%,29.50%,29.13%,28.62%,28.63%,28.63%,28.61%,28.60%,28.57%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,7871,7305,,,,,,,,,,7236,7053,6516,6881,8239,15869,15244,15828,19386,19354
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,60.45%,,,,60.53%,,,,65.52%,,,,,,,,50.22%,56.04%,60.45%,,,70.51%,,,,71.38%,,,,71.38%
Shareholding Pattern (Yearly),FIIs,,,0.00%,,,,0.00%,,,,0.00%,,,,,,,,0.00%,0.00%,0.00%,,,0.00%,,,,0.00%,,,,0.05%
Shareholding Pattern (Yearly),Public,,,39.55%,,,,39.46%,,,,34.48%,,,,,,,,49.78%,43.96%,39.55%,,,29.49%,,,,28.63%,,,,28.57%
Shareholding Pattern (Yearly),No. of Shareholders,,,2554,,,,2625,,,,7171,,,,,,,,2283,2803,2832,,,7053,,,,15869,,,,19354
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
