Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,74.47%,74.47%,74.47%,74.47%,74.47%,74.47%,74.47%,74.47%,74.47%,74.47%,74.47%,74.47%,,
Shareholding Pattern (Quarterly),FIIs,0.02%,0.14%,0.01%,0.10%,0.01%,0.01%,0.05%,0.25%,0.25%,0.25%,0.25%,0.32%,,
Shareholding Pattern (Quarterly),DIIs,0.28%,0.27%,0.27%,0.27%,0.27%,0.27%,0.28%,0.27%,0.27%,0.27%,0.27%,0.27%,,
Shareholding Pattern (Quarterly),Public,25.24%,25.11%,25.25%,25.15%,25.25%,25.24%,25.20%,25.01%,25.01%,25.01%,25.01%,24.94%,,
Shareholding Pattern (Quarterly),No. of Shareholders,90004,84064,86831,86161,84711,83509,81367,79108,76389,73827,72426,70723,,
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,74.47%,,,,74.47%,,,,74.47%,74.47%,74.47%
Shareholding Pattern (Yearly),FIIs,,,,0.10%,,,,0.25%,,,,0.32%,0.21%,0.05%
Shareholding Pattern (Yearly),DIIs,,,,0.27%,,,,0.27%,,,,0.27%,1.95%,0.28%
Shareholding Pattern (Yearly),Public,,,,25.15%,,,,25.01%,,,,24.94%,23.38%,25.21%
Shareholding Pattern (Yearly),No. of Shareholders,,,,86161,,,,79108,,,,70723,85573,90936
,,,,,,,,,,,,,,,
