Section,,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,160,188,208,221,232,258,292,318,340,,,,
Quarterly Results,Expenses,112,137,148,153,165,179,192,210,224,,,,
Quarterly Results,Operating Profit,48,51,60,67,67,79,100,107,116,,,,
Quarterly Results,OPM %,30%,27%,29%,31%,29%,31%,34%,34%,34%,,,,
Quarterly Results,Other Income,5,5,7,5,9,10,34,15,20,,,,
Quarterly Results,Interest,21,21,23,25,24,28,30,35,43,,,,
Quarterly Results,Depreciation,46,43,48,54,51,58,65,72,81,,,,
Quarterly Results,Profit before tax,-14,-8,-4,-6,1,3,39,15,12,,,,
Quarterly Results,Tax %,0%,0%,0%,0%,0%,0%,0%,0%,7%,,,,
Quarterly Results,Net Profit,-14,-8,-4,-6,1,3,39,15,11,,,,
Quarterly Results,EPS in Rs,,,,,,0.40,5.51,2.14,1.58,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Profit & Loss,Sales,545,,,,849,,,,1208,154,226,178,257
Profit & Loss,Expenses,388,,,,603,,,,805,187,223,125,189
Profit & Loss,Operating Profit,157,,,,246,,,,402,-33,3,53,68
Profit & Loss,OPM %,29%,,,,29%,,,,33%,-22%,2%,30%,27%
Profit & Loss,Other Income,19,,,,25,,,,78,7,-9,38,22
Profit & Loss,Interest,73,,,,93,,,,136,5,9,47,49
Profit & Loss,Depreciation,150,,,,196,,,,276,31,54,87,98
Profit & Loss,Profit before tax,-47,,,,-18,,,,69,-62,-68,-43,-57
Profit & Loss,Tax %,0%,,,,0%,,,,1%,0%,0%,0%,0%
Profit & Loss,Net Profit,-47,,,,-18,,,,68,-62,-68,-43,-57
Profit & Loss,EPS in Rs,,,,,,,,,9.56,,,,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,30,,,,19,,,,71,30,30,30,30
Balance Sheet,Reserves,-56,,,,-113,,,,388,-67,-112,-19,-75
Balance Sheet,Borrowings,695,,,,1079,,,,1413,139,248,401,437
Balance Sheet,Other Liabilities,261,,,,413,,,,635,94,111,96,167
Balance Sheet,Total Liabilities,931,,,,1398,,,,2507,197,277,509,560
Balance Sheet,Fixed Assets,653,,,,916,,,,1582,66,96,300,340
Balance Sheet,CWIP,1,,,,9,,,,16,4,1,0,9
Balance Sheet,Investments,0,,,,0,,,,0,32,58,42,16
Balance Sheet,Other Assets,277,,,,473,,,,909,95,121,166,194
Balance Sheet,Total Assets,931,,,,1398,,,,2507,197,277,509,560
,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,181,,,,228,,,,363,-11,-8,57,83
Cash Flows,Cash from Investing Activity,-156,,,,-162,,,,-203,-38,-110,-38,-7
Cash Flows,Cash from Financing Activity,-28,,,,-65,,,,-124,62,113,-17,-80
Cash Flows,Net Cash Flow,-3,,,,2,,,,36,12,-5,3,-4
,,,,,,,,,,,,,,
Ratios,Debtor Days,32,,,,32,,,,36,9,9,31,44
Ratios,Inventory Days,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,32,,,,32,,,,36,9,9,31,44
Ratios,Working Capital Days,-27,,,,-11,,,,2,-110,-74,36,-21
Ratios,ROCE %,5%,,,,9%,,,,13%,,-37%,-0%,-2%
,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,28.56%,28.24%,20.44%,20.40%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,22.54%,20.66%,21.07%,19.33%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,13.54%,20.81%,29.37%,33.97%,,,,
Shareholding Pattern (Quarterly),Public,,,,,,35.36%,30.28%,29.12%,26.29%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,22980,36589,38910,39122,,,,
,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,20.40%,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,,19.33%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,,33.97%,,,,
Shareholding Pattern (Yearly),Public,,,,,,,,,26.29%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,39122,,,,
,,,,,,,,,,,,,,
