Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021
Quarterly Results,Sales,460,457,531,472,485,458,440,449,506,555,458,538,564,
Quarterly Results,Expenses,385,371,441,385,405,373,352,353,388,459,364,409,418,
Quarterly Results,Operating Profit,76,86,90,86,80,85,88,96,118,96,94,129,146,
Quarterly Results,OPM %,16%,19%,17%,18%,16%,19%,20%,21%,23%,17%,20%,24%,26%,
Quarterly Results,Other Income,3,0,1,0,1,0,1,1,2,2,4,5,-2,
Quarterly Results,Interest,5,4,6,5,6,4,4,4,5,5,6,10,7,
Quarterly Results,Depreciation,14,14,17,16,16,17,18,19,19,20,21,23,23,
Quarterly Results,Profit before tax,59,68,69,65,59,64,67,74,96,74,72,101,115,
Quarterly Results,Tax %,18%,24%,26%,27%,27%,26%,23%,29%,32%,25%,24%,26%,23%,
Quarterly Results,Net Profit,49,52,51,48,43,47,52,53,65,55,55,74,88,
Quarterly Results,EPS in Rs,,,,5.26,4.73,5.20,5.72,5.82,7.20,6.12,6.03,8.16,9.75,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Sales,1200,,,,1945,,,,1853,,,,2115,0
Profit & Loss,Expenses,993,,,,1603,,,,1467,,,,1651,0
Profit & Loss,Operating Profit,207,,,,342,,,,386,,,,464,0
Profit & Loss,OPM %,17%,,,,18%,,,,21%,,,,22%,
Profit & Loss,Other Income,3,,,,2,,,,5,,,,10,0
Profit & Loss,Interest,12,,,,21,,,,17,,,,27,0
Profit & Loss,Depreciation,42,,,,63,,,,73,,,,87,0
Profit & Loss,Profit before tax,155,,,,261,,,,300,,,,361,0
Profit & Loss,Tax %,21%,,,,26%,,,,28%,,,,24%,
Profit & Loss,Net Profit,122,,,,193,,,,217,,,,272,0
Profit & Loss,EPS in Rs,,,,,21.35,,,,23.93,,,,30.05,
Profit & Loss,Dividend Payout %,0%,,,,9%,,,,13%,,,,17%,
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,0.25,,,,45,,,,45,,,,45,0.25
Balance Sheet,Reserves,1386,,,,1513,,,,1712,,,,1945,-0
Balance Sheet,Borrowings,341,,,,215,,,,285,,,,413,0
Balance Sheet,Other Liabilities,312,,,,470,,,,540,,,,503,0
Balance Sheet,Total Liabilities,2040,,,,2244,,,,2582,,,,2906,0
Balance Sheet,Fixed Assets,782,,,,926,,,,1033,,,,1204,0
Balance Sheet,CWIP,187,,,,102,,,,137,,,,307,0
Balance Sheet,Investments,32,,,,87,,,,107,,,,77,0
Balance Sheet,Other Assets,1038,,,,1130,,,,1305,,,,1319,0
Balance Sheet,Total Assets,2040,,,,2244,,,,2582,,,,2906,0
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-44,,,,250,,,,216,,,,332,0
Cash Flows,Cash from Investing Activity,-139,,,,-158,,,,-215,,,,-414,0
Cash Flows,Cash from Financing Activity,260,,,,-163,,,,10,,,,65,0
Cash Flows,Net Cash Flow,78,,,,-71,,,,12,,,,-17,0
,,,,,,,,,,,,,,,
Ratios,Debtor Days,115,,,,84,,,,102,,,,99,
Ratios,Inventory Days,272,,,,188,,,,230,,,,190,
Ratios,Days Payable,123,,,,106,,,,135,,,,90,
Ratios,Cash Conversion Cycle,264,,,,166,,,,197,,,,200,
Ratios,Working Capital Days,214,,,,134,,,,163,,,,165,
Ratios,ROCE %,19%,,,,16%,,,,17%,,,,17%,
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,45.98%,45.98%,46.30%,46.46%,46.46%,46.46%,46.10%,44.65%,44.29%,
Shareholding Pattern (Quarterly),FIIs,,,,,7.69%,7.43%,8.45%,8.17%,8.33%,7.07%,7.38%,8.64%,7.36%,
Shareholding Pattern (Quarterly),DIIs,,,,,13.68%,10.65%,10.51%,9.91%,9.97%,11.47%,11.35%,10.36%,7.53%,
Shareholding Pattern (Quarterly),Government,,,,,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,
Shareholding Pattern (Quarterly),Public,,,,,32.64%,35.92%,34.73%,35.45%,35.24%,35.00%,35.17%,36.33%,40.81%,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,276664,258239,226286,215796,204122,189012,185436,185111,196314,
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,45.98%,,,,46.46%,,,,44.29%,
Shareholding Pattern (Yearly),FIIs,,,,,7.69%,,,,8.33%,,,,7.36%,
Shareholding Pattern (Yearly),DIIs,,,,,13.68%,,,,9.97%,,,,7.53%,
Shareholding Pattern (Yearly),Government,,,,,0.01%,,,,0.01%,,,,0.01%,
Shareholding Pattern (Yearly),Public,,,,,32.64%,,,,35.24%,,,,40.81%,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,276664,,,,204122,,,,196314,
,,,,,,,,,,,,,,,
