Section,,Mar 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2022,Sep 2022,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,134,144,162,158,159,157,147,,,,,,,,,,,
Quarterly Results,Expenses,113,108,117,117,118,113,110,,,,,,,,,,,
Quarterly Results,Operating Profit,21,37,46,41,42,44,37,,,,,,,,,,,
Quarterly Results,OPM %,16%,25%,28%,26%,26%,28%,25%,,,,,,,,,,,
Quarterly Results,Other Income,0,0,0,0,0,0,0,,,,,,,,,,,
Quarterly Results,Interest,6,7,6,4,4,3,4,,,,,,,,,,,
Quarterly Results,Depreciation,5,5,5,5,5,5,5,,,,,,,,,,,
Quarterly Results,Profit before tax,10,25,34,32,33,35,29,,,,,,,,,,,
Quarterly Results,Tax %,22%,25%,54%,26%,26%,25%,24%,,,,,,,,,,,
Quarterly Results,Net Profit,8,19,16,24,24,26,22,,,,,,,,,,,
Quarterly Results,EPS in Rs,1.21,2.93,2.35,3.50,3.59,3.87,3.19,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,411,,589,,,,622,,,,,,,,,,,
Profit & Loss,Expenses,348,,450,,,,458,,,,,,,,,,,
Profit & Loss,Operating Profit,62,,139,,,,164,,,,,,,,,,,
Profit & Loss,OPM %,15%,,24%,,,,26%,,,,,,,,,,,
Profit & Loss,Other Income,1,,1,,,,1,,,,,,,,,,,
Profit & Loss,Interest,23,,22,,,,15,,,,,,,,,,,
Profit & Loss,Depreciation,21,,21,,,,21,,,,,,,,,,,
Profit & Loss,Profit before tax,18,,97,,,,129,,,,,,,,,,,
Profit & Loss,Tax %,24%,,36%,,,,25%,,,,,,,,,,,
Profit & Loss,Net Profit,14,,62,,,,96,,,,,,,,,,,
Profit & Loss,EPS in Rs,2.14,,9.17,,,,14.14,,,,,,,,,,,
Profit & Loss,Dividend Payout %,0%,,0%,,,,0%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,64,,68,,,,68,,,,,,,,,,,
Balance Sheet,Reserves,5,,110,,,,210,,,,,,,,,,,
Balance Sheet,Borrowings,652,,564,,,,515,,,,,,,,,,,
Balance Sheet,Other Liabilities,53,,39,,,,42,,,,,,,,,,,
Balance Sheet,Total Liabilities,774,,781,,,,835,,,,,,,,,,,
Balance Sheet,Fixed Assets,492,,481,,,,475,,,,,,,,,,,
Balance Sheet,CWIP,0,,3,,,,13,,,,,,,,,,,
Balance Sheet,Investments,0,,2,,,,2,,,,,,,,,,,
Balance Sheet,Other Assets,282,,294,,,,345,,,,,,,,,,,
Balance Sheet,Total Assets,774,,781,,,,835,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,24,,83,,,,85,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-0,,-13,,,,-25,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-25,,-64,,,,-61,,,,,,,,,,,
Cash Flows,Net Cash Flow,-2,,6,,,,-0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,35,,30,,,,46,,,,,,,,,,,
Ratios,Inventory Days,113,,122,,,,110,,,,,,,,,,,
Ratios,Days Payable,44,,20,,,,7,,,,,,,,,,,
Ratios,Cash Conversion Cycle,104,,132,,,,150,,,,,,,,,,,
Ratios,Working Capital Days,146,,144,,,,181,,,,,,,,,,,
Ratios,ROCE %,,,16%,,,,19%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,36.78%,39.90%,39.86%,39.83%,39.83%,40.77%,36.96%,36.81%,40.98%,40.93%,41.25%,41.36%,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.99%,1.43%,1.06%,1.10%,1.39%,3.00%,0.00%,0.99%,3.08%,3.15%,3.12%,2.83%,,,,,
Shareholding Pattern (Quarterly),DIIs,,4.67%,3.61%,3.20%,2.70%,2.63%,2.62%,9.76%,6.62%,2.61%,2.60%,2.60%,2.60%,,,,,
Shareholding Pattern (Quarterly),Public,,57.56%,55.07%,55.89%,56.38%,56.15%,53.64%,53.28%,55.58%,53.33%,53.32%,53.02%,53.22%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,11964,12996,18775,24741,22887,23630,8770,10916,28327,30372,31338,31432,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,37.47%,,39.90%,,,,40.77%,,,,,,41.36%,61.15%,40.23%,40.23%,40.23%,37.87%
Shareholding Pattern (Yearly),FIIs,0.03%,,1.43%,,,,3.00%,,,,,,2.83%,0.74%,1.38%,1.22%,1.22%,0.00%
Shareholding Pattern (Yearly),DIIs,9.89%,,3.61%,,,,2.62%,,,,,,2.60%,4.01%,0.13%,0.00%,0.00%,10.87%
Shareholding Pattern (Yearly),Public,52.61%,,55.07%,,,,53.64%,,,,,,53.22%,34.10%,58.26%,58.55%,58.55%,51.25%
Shareholding Pattern (Yearly),No. of Shareholders,8096,,12996,,,,23630,,,,,,31432,3586,6321,6023,7162,6573
,,,,,,,,,,,,,,,,,,,
