Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,20.41,19.04,19.23,16.03,16.97,16.79,14.83,12.43,14.32,21.83,12.60,9.72,9.08,,,,,,,
Quarterly Results,Expenses,21.29,17.94,18.25,17.26,17.82,16.35,15.87,16.97,15.77,25.04,14.09,13.80,13.40,,,,,,,
Quarterly Results,Operating Profit,-0.88,1.10,0.98,-1.23,-0.85,0.44,-1.04,-4.54,-1.45,-3.21,-1.49,-4.08,-4.32,,,,,,,
Quarterly Results,OPM %,-4.31%,5.78%,5.10%,-7.67%,-5.01%,2.62%,-7.01%,-36.52%,-10.13%,-14.70%,-11.83%,-41.98%,-47.58%,,,,,,,
Quarterly Results,Other Income,0.01,0.00,0.08,0.02,0.13,0.14,0.14,0.11,0.42,0.07,0.09,1.39,0.24,,,,,,,
Quarterly Results,Interest,0.50,0.35,0.38,0.37,0.27,0.32,0.26,0.17,0.25,0.17,0.13,0.18,0.13,,,,,,,
Quarterly Results,Depreciation,5.38,4.69,4.74,4.74,4.64,4.21,4.26,4.26,4.21,3.70,3.73,3.73,3.65,,,,,,,
Quarterly Results,Profit before tax,-6.75,-3.94,-4.06,-6.32,-5.63,-3.95,-5.42,-8.86,-5.49,-7.01,-5.26,-6.60,-7.86,,,,,,,
Quarterly Results,Tax %,-0.30%,0.00%,0.49%,-0.16%,0.00%,0.00%,0.00%,0.00%,0.36%,0.00%,0.00%,0.00%,0.13%,,,,,,,
Quarterly Results,Net Profit,-6.73,-3.93,-4.07,-6.31,-5.64,-3.95,-5.41,-8.86,-5.51,-7.01,-5.27,-6.60,-7.86,,,,,,,
Quarterly Results,EPS in Rs,-1.83,-1.07,-1.11,-1.72,-1.53,-1.07,-1.47,-2.41,-1.50,-1.91,-1.43,-1.80,-2.14,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,80,,,,71,,,,58,,,,53,127,137,176,123,117,110,68
Profit & Loss,Expenses,85,,,,71,,,,65,,,,66,92,101,126,98,123,109,94
Profit & Loss,Operating Profit,-5,,,,0,,,,-7,,,,-13,35,36,51,25,-6,1,-26
Profit & Loss,OPM %,-6%,,,,0%,,,,-11%,,,,-25%,27%,26%,29%,20%,-5%,1%,-38%
Profit & Loss,Other Income,0,,,,0,,,,1,,,,2,0,0,0,0,-1,-1,0
Profit & Loss,Interest,2,,,,1,,,,1,,,,1,15,10,17,10,0,2,1
Profit & Loss,Depreciation,25,,,,19,,,,17,,,,15,13,18,21,28,28,28,26
Profit & Loss,Profit before tax,-31,,,,-20,,,,-24,,,,-27,7,8,13,-12,-35,-30,-53
Profit & Loss,Tax %,-0%,,,,0%,,,,0%,,,,0%,31%,33%,32%,46%,0%,0%,0%
Profit & Loss,Net Profit,-31,,,,-20,,,,-24,,,,-27,5,5,9,-32,-50,-30,-53
Profit & Loss,EPS in Rs,-8.56,,,,-5.43,,,,-6.46,,,,-7.28,,1.46,2.52,-9.17,-14.45,-8.61,-15.16
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,37,,,,37,,,,39,,,,39,26,35,35,35,35,35,35
Balance Sheet,Reserves,-111,,,,-131,,,,-156,,,,-183,-13,77,86,54,3,-27,-80
Balance Sheet,Borrowings,2,,,,0,,,,6,,,,7,131,58,121,0,0,0,4
Balance Sheet,Other Liabilities,184,,,,184,,,,188,,,,193,35,36,32,152,165,169,186
Balance Sheet,Total Liabilities,112,,,,89,,,,78,,,,56,179,206,274,240,203,177,145
Balance Sheet,Fixed Assets,78,,,,59,,,,42,,,,27,88,86,133,185,157,128,102
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,0,0,29,0,0,0,0
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,0,30,30,15,0,0,0
Balance Sheet,Other Assets,35,,,,30,,,,35,,,,29,91,90,82,40,47,48,43
Balance Sheet,Total Assets,112,,,,89,,,,78,,,,56,179,206,274,240,203,177,145
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,1,,,,4,,,,-6,,,,-0,50,44,50,66,1,2,-4
Cash Flows,Cash from Investing Activity,-0,,,,-0,,,,-0,,,,-0,-17,-1,-97,-50,-0,-0,-0
Cash Flows,Cash from Financing Activity,-2,,,,-3,,,,7,,,,1,-33,-42,47,-17,-0,-2,3
Cash Flows,Net Cash Flow,-1,,,,0,,,,0,,,,0,0,1,0,-1,0,0,-1
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,86,,,,74,,,,81,,,,67,72,74,69,77,95,93,126
Ratios,Inventory Days,,,,,,,,,,,,,0,,,,,,,
