Section,,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,41.21,46.81,75.49,86.64,76.30,76.88,69.74,69.53
Quarterly Results,Expenses,32.59,33.63,59.98,72.78,61.50,61.64,57.58,55.96
Quarterly Results,Operating Profit,8.62,13.18,15.51,13.86,14.80,15.24,12.16,13.57
Quarterly Results,OPM %,20.92%,28.16%,20.55%,16.00%,19.40%,19.82%,17.44%,19.52%
Quarterly Results,Other Income,0.25,0.04,0.96,0.35,0.04,0.10,1.23,1.17
Quarterly Results,Interest,2.81,2.90,3.15,2.73,2.41,2.42,0.19,0.81
Quarterly Results,Depreciation,0.60,0.69,0.79,1.82,0.84,0.77,0.61,0.93
Quarterly Results,Profit before tax,5.46,9.63,12.53,9.66,11.59,12.15,12.59,13.00
Quarterly Results,Tax %,21.61%,12.05%,14.13%,27.54%,23.21%,21.07%,13.50%,28.69%
Quarterly Results,Net Profit,4.28,8.46,10.76,7.00,8.91,9.60,10.89,9.28
Quarterly Results,EPS in Rs,85.60,169.20,3.51,2.28,2.91,2.43,2.76,2.35
Quarterly Results,Raw PDF,,,,,,,,
,,,,,,,,,
Profit & Loss,Sales,,,,227,,,,292
Profit & Loss,Expenses,,,,180,,,,237
Profit & Loss,Operating Profit,,,,47,,,,56
Profit & Loss,OPM %,,,,21%,,,,19%
Profit & Loss,Other Income,,,,1,,,,3
Profit & Loss,Interest,,,,12,,,,6
Profit & Loss,Depreciation,,,,3,,,,3
Profit & Loss,Profit before tax,,,,33,,,,49
Profit & Loss,Tax %,,,,21%,,,,22%
Profit & Loss,Net Profit,,,,26,,,,39
Profit & Loss,EPS in Rs,,,,8.48,,,,9.79
Profit & Loss,Dividend Payout %,,,,0%,,,,0%
,,,,,,,,,
Balance Sheet,Equity Capital,,,,15,,,,20
Balance Sheet,Reserves,,,,85,,,,305
Balance Sheet,Borrowings,,,,79,,,,17
Balance Sheet,Other Liabilities,,,,42,,,,29
Balance Sheet,Total Liabilities,,,,222,,,,370
Balance Sheet,Fixed Assets,,,,50,,,,52
Balance Sheet,CWIP,,,,10,,,,10
Balance Sheet,Investments,,,,0,,,,0
Balance Sheet,Other Assets,,,,161,,,,307
Balance Sheet,Total Assets,,,,222,,,,370
,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,-4,,,,-63
Cash Flows,Cash from Investing Activity,,,,-54,,,,-28
Cash Flows,Cash from Financing Activity,,,,58,,,,119
Cash Flows,Net Cash Flow,,,,0,,,,27
,,,,,,,,,
Ratios,Debtor Days,,,,103,,,,128
Ratios,Inventory Days,,,,186,,,,241
Ratios,Days Payable,,,,72,,,,26
Ratios,Cash Conversion Cycle,,,,217,,,,344
Ratios,Working Capital Days,,,,185,,,,278
Ratios,ROCE %,,,,,,,,21%
,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,68.53%,68.53%,68.53%
Shareholding Pattern (Quarterly),FIIs,,,,,,5.41%,3.11%,0.75%
Shareholding Pattern (Quarterly),DIIs,,,,,,2.15%,1.63%,1.70%
Shareholding Pattern (Quarterly),Public,,,,,,23.91%,26.75%,29.03%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,60568,50980,53502
,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,68.53%
Shareholding Pattern (Yearly),FIIs,,,,,,,,0.75%
Shareholding Pattern (Yearly),DIIs,,,,,,,,1.70%
Shareholding Pattern (Yearly),Public,,,,,,,,29.03%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,53502
,,,,,,,,,
