Section,,Sep 2024,Dec 2024,Mar 2025,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,May 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,102.53,102.89,107.52,,,,,,,,,,,,,,,
Quarterly Results,Expenses,92.89,93.15,97.69,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,9.64,9.74,9.83,,,,,,,,,,,,,,,
Quarterly Results,OPM %,9.40%,9.47%,9.14%,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.05,0.05,0.03,,,,,,,,,,,,,,,
Quarterly Results,Interest,4.58,4.53,4.76,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,2.92,2.97,3.01,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,2.19,2.29,2.09,,,,,,,,,,,,,,,
Quarterly Results,Tax %,28.31%,25.33%,30.14%,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,1.57,1.70,1.47,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.89,0.92,0.80,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,404,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,366,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,38,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,9%,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,0,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,18,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,12,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,9,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,28%,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,6,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,3.37,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,9%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,18,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,168,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,159,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,66,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,412,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,183,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,0,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,0,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,228,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,412,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,25,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,-19,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,-5,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,76,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,178,,,,,,,,,,,,,,,
Ratios,Days Payable,,,68,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,186,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,156,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,59.69%,61.40%,61.40%,58.31%,58.38%,58.38%,58.38%,58.90%,58.90%,59.23%,59.83%,62.94%,,,,,,
Shareholding Pattern (Quarterly),FIIs,0.13%,0.17%,0.06%,7.11%,7.04%,7.04%,0.16%,0.26%,0.25%,0.16%,0.13%,0.00%,,,,,,
Shareholding Pattern (Quarterly),DIIs,0.00%,0.00%,0.00%,1.88%,1.88%,1.88%,1.88%,1.88%,1.88%,1.21%,1.21%,0.00%,,,,,,
Shareholding Pattern (Quarterly),Public,40.18%,38.44%,38.53%,32.70%,32.70%,32.69%,39.58%,38.96%,38.98%,39.38%,38.82%,37.06%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,13084,14614,14259,11829,11363,10975,11321,12975,12721,14091,13757,14079,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,61.40%,,,58.38%,,,,59.23%,,62.94%,57.78%,57.78%,57.81%,58.16%,58.28%,58.31%
Shareholding Pattern (Yearly),FIIs,,,0.06%,,,7.04%,,,,0.16%,,0.00%,1.43%,7.19%,6.91%,6.91%,6.91%,7.16%
Shareholding Pattern (Yearly),DIIs,,,0.00%,,,1.88%,,,,1.21%,,0.00%,0.11%,0.06%,0.03%,2.73%,2.73%,1.88%
Shareholding Pattern (Yearly),Public,,,38.53%,,,32.69%,,,,39.38%,,37.06%,40.68%,34.96%,35.25%,32.20%,32.09%,32.65%
Shareholding Pattern (Yearly),No. of Shareholders,,,14259,,,10975,,,,14091,,14079,9026,8633,8823,8229,8962,11966
,,,,,,,,,,,,,,,,,,,
