Section,,Dec 2023,Mar 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,55.75,107.67,19.71,42.30,64.50
Quarterly Results,Expenses,44.42,86.04,18.08,37.85,50.13
Quarterly Results,Operating Profit,11.33,21.63,1.63,4.45,14.37
Quarterly Results,OPM %,20.32%,20.09%,8.27%,10.52%,22.28%
Quarterly Results,Other Income,2.02,2.12,3.27,-0.04,3.41
Quarterly Results,Interest,1.49,1.86,1.70,3.48,3.18
Quarterly Results,Depreciation,0.33,0.31,0.42,0.45,0.41
Quarterly Results,Profit before tax,11.53,21.58,2.78,0.48,14.19
Quarterly Results,Tax %,27.75%,19.32%,2.88%,75.00%,34.18%
Quarterly Results,Net Profit,8.33,17.41,2.70,0.12,9.34
Quarterly Results,EPS in Rs,,,8.80,0.39,30.45
Quarterly Results,Raw PDF,,,,,
,,,,,,
Profit & Loss,Sales,,212,,,179
Profit & Loss,Expenses,,174,,,149
Profit & Loss,Operating Profit,,39,,,29
Profit & Loss,OPM %,,18%,,,16%
Profit & Loss,Other Income,,9,,,10
Profit & Loss,Interest,,6,,,10
Profit & Loss,Depreciation,,1,,,2
Profit & Loss,Profit before tax,,41,,,28
Profit & Loss,Tax %,,24%,,,27%
Profit & Loss,Net Profit,,31,,,20
Profit & Loss,EPS in Rs,,,,,65.80
Profit & Loss,Dividend Payout %,,0%,,,0%
,,,,,,
Balance Sheet,Equity Capital,,3,,,3
Balance Sheet,Reserves,,104,,,123
Balance Sheet,Borrowings,,31,,,37
Balance Sheet,Other Liabilities,,101,,,75
Balance Sheet,Total Liabilities,,238,,,238
Balance Sheet,Fixed Assets,,8,,,38
Balance Sheet,CWIP,,6,,,0
Balance Sheet,Investments,,56,,,77
Balance Sheet,Other Assets,,168,,,123
Balance Sheet,Total Assets,,238,,,238
,,,,,,
Cash Flows,Cash from Operating Activity,,44,,,28
Cash Flows,Cash from Investing Activity,,-31,,,-36
Cash Flows,Cash from Financing Activity,,-8,,,-4
Cash Flows,Net Cash Flow,,6,,,-12
,,,,,,
Ratios,Debtor Days,,58,,,51
Ratios,Inventory Days,,252,,,257
Ratios,Days Payable,,131,,,111
Ratios,Cash Conversion Cycle,,180,,,198
Ratios,Working Capital Days,,177,,,241
Ratios,ROCE %,,,,,25%
,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,63.84%,63.84%,63.84%
Shareholding Pattern (Quarterly),FIIs,,,0.06%,0.04%,0.04%
Shareholding Pattern (Quarterly),Public,,,36.10%,36.11%,36.11%
Shareholding Pattern (Quarterly),No. of Shareholders,,,4975,5402,5533
,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,63.84%
Shareholding Pattern (Yearly),FIIs,,,,,0.04%
Shareholding Pattern (Yearly),Public,,,,,36.11%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,5533
,,,,,,
