Section,,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,
,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,
,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,
,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,
,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,
Ratios,Days Payable,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,
Ratios,ROCE %,,,,,,,,,
,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,65.93%,65.93%,65.93%,65.94%,65.94%,65.94%,65.95%,65.95%,65.95%
Shareholding Pattern (Quarterly),FIIs,1.62%,0.20%,0.35%,0.49%,0.14%,0.12%,0.06%,0.08%,0.09%
Shareholding Pattern (Quarterly),DIIs,0.95%,0.14%,0.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Quarterly),Public,31.50%,33.72%,33.57%,33.57%,33.92%,33.94%,33.98%,33.97%,33.96%
Shareholding Pattern (Quarterly),No. of Shareholders,27400,28157,25501,23724,29323,31902,34053,33819,32938
,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,65.93%,,,,65.94%,,,,65.95%
Shareholding Pattern (Yearly),FIIs,1.62%,,,,0.14%,,,,0.09%
Shareholding Pattern (Yearly),DIIs,0.95%,,,,0.00%,,,,0.00%
Shareholding Pattern (Yearly),Public,31.50%,,,,33.92%,,,,33.96%
Shareholding Pattern (Yearly),No. of Shareholders,27400,,,,29323,,,,32938
,,,,,,,,,,
