Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2019,Mar 2020,Mar 2021,Mar 2017,Mar 2018
Quarterly Results,Sales,15,30,24,42,45,37,64,52,37,36,56,63,55,,,,,,,,,,
Quarterly Results,Expenses,9,22,22,33,39,31,44,41,33,33,42,49,46,,,,,,,,,,
Quarterly Results,Operating Profit,5,8,2,9,6,6,20,12,4,3,13,15,9,,,,,,,,,,
Quarterly Results,OPM %,36%,25%,7%,21%,14%,16%,31%,22%,12%,9%,24%,23%,16%,,,,,,,,,,
Quarterly Results,Other Income,1,-2,28,1,1,0,-1,2,2,-3,1,4,-25,,,,,,,,,,
Quarterly Results,Interest,8,6,8,10,10,7,7,7,7,7,7,7,7,,,,,,,,,,
Quarterly Results,Depreciation,4,3,5,7,7,5,5,5,5,5,6,7,7,,,,,,,,,,
Quarterly Results,Profit before tax,-5,-4,17,-6,-10,-6,6,2,-7,-13,1,5,-31,,,,,,,,,,
Quarterly Results,Tax %,58%,-19%,0%,-24%,-27%,-18%,21%,24%,-3%,-17%,24%,6%,-59%,,,,,,,,,,
Quarterly Results,Net Profit,-7,-3,17,-5,-7,-5,5,2,-7,-11,1,5,-12,,,,,,,,,,
Quarterly Results,EPS in Rs,-2.44,-1.10,5.37,-1.50,-2.22,-1.49,1.59,0.48,-1.92,-3.08,0.27,1.32,-3.64,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,45,,,,141,,,,248,,,,211,102,159,192,192,286,24,26,29,,
Profit & Loss,Expenses,34,,,,116,,,,186,,,,171,76,131,162,162,247,8,9,15,,
Profit & Loss,Operating Profit,11,,,,25,,,,62,,,,40,26,28,31,30,39,16,17,13,,
Profit & Loss,OPM %,25%,,,,18%,,,,25%,,,,19%,25%,18%,16%,16%,14%,66%,66%,46%,,
Profit & Loss,Other Income,5,,,,27,,,,6,,,,-24,5,13,1,6,-4,11,17,25,,
