Section,,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,224,249,253,340,271,323,433,323,340,247,317,287,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,205,240,247,311,241,289,401,302,331,229,281,259,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,19,9,7,29,29,35,32,21,9,18,36,28,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,8%,4%,3%,9%,11%,11%,7%,7%,3%,7%,11%,10%,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,13,17,13,10,10,3,8,11,14,9,1,-3,,,,,,,,,,,,,,,,
Profit & Loss,Interest,6,6,6,6,9,5,6,10,5,7,8,6,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,5,10,13,14,14,13,17,16,16,15,15,14,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,21,11,1,20,16,20,18,6,2,5,14,4,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,12%,13%,27%,39%,30%,53%,61%,37%,202%,36%,15%,48%,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,19,11,1,12,11,9,7,4,-2,3,12,2,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,2.25,1.35,0.13,1.47,1.35,1.12,0.84,0.43,-0.26,0.37,1.44,0.28,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,115%,0%,0%,347%,0%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,83,83,83,83,83,83,83,83,83,83,83,83,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,-2,10,15,26,37,46,53,50,46,47,61,57,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,195,201,198,186,179,150,188,144,166,175,146,120,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,77,111,86,75,66,94,72,110,75,76,103,110,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,353,406,382,370,365,373,397,388,370,380,393,370,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,46,195,202,195,184,183,227,219,209,195,191,178,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,148,7,6,12,15,25,1,6,0,0,0,0,,,,,,,,,,,,,,,,
Balance Sheet,Investments,27,58,25,50,44,18,20,28,30,30,31,33,,,,,,,,,,,,,,,,
