Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,48.14,57.83,56.33,57.36,62.93,64.47,67.05,70.23,71.23,74.63,82.44,85.31,69.39,,,,,,,
Quarterly Results,Expenses,37.84,45.99,45.32,47.38,52.81,53.10,57.39,61.37,61.94,65.25,70.68,71.99,63.63,,,,,,,
Quarterly Results,Operating Profit,10.30,11.84,11.01,9.98,10.12,11.37,9.66,8.86,9.29,9.38,11.76,13.32,5.76,,,,,,,
Quarterly Results,OPM %,21.40%,20.47%,19.55%,17.40%,16.08%,17.64%,14.41%,12.62%,13.04%,12.57%,14.26%,15.61%,8.30%,,,,,,,
Quarterly Results,Other Income,1.85,1.45,0.85,1.46,0.90,0.42,0.56,1.50,1.49,0.64,0.35,1.60,5.71,,,,,,,
Quarterly Results,Interest,0.89,1.03,0.88,1.07,1.36,1.47,1.96,1.58,2.61,1.92,2.45,2.26,2.71,,,,,,,
Quarterly Results,Depreciation,2.85,3.01,2.83,2.95,2.81,2.81,3.44,3.01,3.11,3.50,4.66,4.84,2.78,,,,,,,
Quarterly Results,Profit before tax,8.41,9.25,8.15,7.42,6.85,7.51,4.82,5.77,5.06,4.60,5.00,7.82,5.98,,,,,,,
Quarterly Results,Tax %,3.09%,8.54%,6.26%,10.24%,-3.21%,13.72%,45.02%,24.78%,9.09%,16.09%,11.60%,11.38%,13.21%,,,,,,,
Quarterly Results,Net Profit,8.14,8.46,7.65,6.65,7.08,6.48,2.65,4.34,4.60,3.86,4.43,6.94,5.19,,,,,,,
Quarterly Results,EPS in Rs,4.51,4.40,3.82,3.27,2.28,2.80,1.21,1.97,2.21,2.26,2.58,3.39,2.62,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,215,,,,234,,,,273,,,,312,41,110,123,155,171,186,198
Profit & Loss,Expenses,167,,,,191,,,,232,,,,272,38,99,105,131,147,157,159
Profit & Loss,Operating Profit,47,,,,43,,,,41,,,,40,3,10,18,24,24,29,38
Profit & Loss,OPM %,22%,,,,19%,,,,15%,,,,13%,7%,9%,15%,16%,14%,16%,19%
Profit & Loss,Other Income,4,,,,5,,,,4,,,,8,0,1,1,3,8,3,1
Profit & Loss,Interest,3,,,,5,,,,9,,,,9,0,5,6,4,3,2,2
Profit & Loss,Depreciation,11,,,,12,,,,12,,,,16,0,2,2,2,3,4,9
Profit & Loss,Profit before tax,37,,,,32,,,,23,,,,23,3,5,11,20,26,27,29
Profit & Loss,Tax %,7%,,,,6%,,,,22%,,,,13%,33%,33%,25%,25%,20%,17%,15%
Profit & Loss,Net Profit,34,,,,30,,,,18,,,,20,2,3,8,15,21,22,25
Profit & Loss,EPS in Rs,17.68,,,,14.32,,,,8.17,,,,10.60,2.10,3.66,9.84,14.39,9.88,10.17,12.77
Profit & Loss,Dividend Payout %,3%,,,,3%,,,,6%,,,,5%,0%,0%,4%,3%,5%,2%,4%
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,7,,,,7,,,,8,,,,8,3,3,3,4,7,7,7
Balance Sheet,Reserves,280,,,,412,,,,500,,,,528,8,11,7,45,158,169,172
Balance Sheet,Borrowings,38,,,,58,,,,76,,,,94,0,31,32,22,20,10,29
Balance Sheet,Other Liabilities,163,,,,101,,,,109,,,,104,11,36,52,81,103,142,155
Balance Sheet,Total Liabilities,488,,,,578,,,,692,,,,734,23,81,94,152,288,328,363
Balance Sheet,Fixed Assets,221,,,,218,,,,214,,,,336,7,27,27,40,41,52,210
Balance Sheet,CWIP,3,,,,57,,,,117,,,,0,0,0,0,0,26,102,0
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,0,0,0,0,0,0,0
Balance Sheet,Other Assets,264,,,,303,,,,362,,,,398,16,53,66,111,222,175,153
Balance Sheet,Total Assets,488,,,,578,,,,692,,,,734,23,81,94,152,288,328,363
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,11,,,,-19,,,,-8,,,,-8,4,12,8,-7,-8,6,59
Cash Flows,Cash from Investing Activity,-23,,,,-71,,,,-74,,,,-13,-0,-18,-4,-24,-24,-102,-65
Cash Flows,Cash from Financing Activity,78,,,,50,,,,89,,,,10,1,3,-3,52,100,10,2
Cash Flows,Net Cash Flow,66,,,,-40,,,,7,,,,-10,4,-3,2,21,69,-86,-4
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,119,,,,132,,,,116,,,,113,80,77,92,108,111,114,127
Ratios,Inventory Days,148,,,,239,,,,266,,,,268,5,64,76,65,71,65,34
