Section,,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Dec 2023,Mar 2024,Mar 2019
Quarterly Results,Sales,89,47,100,52,101,114,144,125,140,146,193,172,222,,,,,
Quarterly Results,Expenses,66,36,76,42,80,92,114,97,108,113,150,133,172,,,,,
Quarterly Results,Operating Profit,23,11,24,9,20,23,30,28,31,33,43,39,50,,,,,
Quarterly Results,OPM %,25%,23%,24%,18%,20%,20%,21%,22%,22%,23%,22%,23%,22%,,,,,
Quarterly Results,Other Income,1,0,2,0,0,0,0,0,2,3,1,1,1,,,,,
Quarterly Results,Interest,0,0,1,0,0,1,0,0,0,1,1,1,1,,,,,
Quarterly Results,Depreciation,3,3,3,3,3,3,4,3,4,5,6,6,6,,,,,
Quarterly Results,Profit before tax,20,8,23,7,18,19,27,25,29,29,38,33,43,,,,,
Quarterly Results,Tax %,23%,26%,-42%,21%,26%,27%,27%,26%,26%,17%,14%,8%,27%,,,,,
Quarterly Results,Net Profit,16,6,32,5,13,14,19,19,22,24,33,30,32,,,,,
Quarterly Results,EPS in Rs,7.95,3.06,16.34,2.61,6.53,7.01,9.83,9.37,10.97,12.07,16.29,15.09,15.75,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,288,,,,411,,,,,,733,245,279,,,
Profit & Loss,Expenses,,,217,,,,327,,,,,,568,176,209,,,
Profit & Loss,Operating Profit,,,71,,,,84,,,,,,165,70,70,,,
Profit & Loss,OPM %,,,25%,,,,20%,,,,,,23%,28%,25%,,,
Profit & Loss,Other Income,,,4,,,,1,,,,,,5,4,3,,,
Profit & Loss,Interest,,,2,,,,3,,,,,,3,2,2,,,
Profit & Loss,Depreciation,,,12,,,,13,,,,,,24,9,11,,,
Profit & Loss,Profit before tax,,,61,,,,70,,,,,,143,63,61,,,
Profit & Loss,Tax %,,,-2%,,,,27%,,,,,,17%,32%,13%,,,
Profit & Loss,Net Profit,,,62,,,,51,,,,,,118,43,54,,,
Profit & Loss,EPS in Rs,,,31.34,,,,25.97,,,,,,59.07,21.06,27.17,,,
Profit & Loss,Dividend Payout %,,,13%,,,,29%,,,,,,29%,17%,13%,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,10,,,,10,,,,,,20,10,10,,,
Balance Sheet,Reserves,,,384,,,,428,,,,,,592,313,327,,,
Balance Sheet,Borrowings,,,0,,,,34,,,,,,32,0,0,,,
Balance Sheet,Other Liabilities,,,132,,,,171,,,,,,282,99,94,,,
Balance Sheet,Total Liabilities,,,525,,,,643,,,,,,926,422,431,,,
Balance Sheet,Fixed Assets,,,203,,,,217,,,,,,363,171,212,,,
Balance Sheet,CWIP,,,31,,,,87,,,,,,10,12,2,,,
Balance Sheet,Investments,,,0,,,,0,,,,,,11,44,0,,,
Balance Sheet,Other Assets,,,292,,,,338,,,,,,543,194,217,,,
Balance Sheet,Total Assets,,,525,,,,643,,,,,,926,422,431,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,74,,,,30,,,,,,-7,32,53,,,
Cash Flows,Cash from Investing Activity,,,-61,,,,-33,,,,,,22,-15,-12,,,
Cash Flows,Cash from Financing Activity,,,-7,,,,25,,,,,,-30,-16,-38,,,
Cash Flows,Net Cash Flow,,,6,,,,22,,,,,,-16,1,3,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,158,,,,132,,,,,,141,96,144,,,
Ratios,Inventory Days,,,235,,,,209,,,,,,135,351,165,,,
Ratios,Days Payable,,,113,,,,108,,,,,,81,77,66,,,
Ratios,Cash Conversion Cycle,,,280,,,,232,,,,,,195,370,242,,,
Ratios,Working Capital Days,,,137,,,,127,,,,,,132,158,146,,,
Ratios,ROCE %,,,17%,,,,17%,,,,,,,,19%,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,43.04%,43.05%,42.98%,42.98%,42.93%,42.91%,41.24%,41.03%,40.98%,40.98%,,,42.91%,42.74%,
Shareholding Pattern (Quarterly),FIIs,,,,1.78%,1.78%,1.76%,2.52%,2.35%,1.14%,1.18%,1.60%,3.51%,4.59%,,,0.75%,0.86%,
Shareholding Pattern (Quarterly),DIIs,,,,11.64%,10.68%,10.35%,10.36%,11.53%,11.42%,11.06%,13.41%,14.53%,15.06%,,,11.09%,10.74%,
Shareholding Pattern (Quarterly),Public,,,,43.53%,44.47%,44.89%,44.12%,43.17%,44.53%,46.53%,43.96%,40.98%,39.38%,,,45.25%,45.66%,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,91147,89762,88244,85492,83012,84159,92381,90453,96076,96237,,,83755,85438,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,43.04%,,,,42.98%,,,,,,40.98%,41.70%,43.26%,,42.74%,40.74%
Shareholding Pattern (Yearly),FIIs,,,1.76%,,,,2.52%,,,,,,4.59%,3.32%,1.66%,,0.86%,11.83%
Shareholding Pattern (Yearly),DIIs,,,13.25%,,,,10.36%,,,,,,15.06%,15.05%,16.67%,,10.74%,15.08%
Shareholding Pattern (Yearly),Public,,,41.94%,,,,44.12%,,,,,,39.38%,39.93%,38.40%,,45.66%,32.35%
Shareholding Pattern (Yearly),No. of Shareholders,,,91952,,,,85492,,,,,,96237,100711,95241,,85438,115821
,,,,,,,,,,,,,,,,,,,
