Section,,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2021,Mar 2022
Quarterly Results,Sales,232,260,247,257,225,250,247,270,265,298,,,,
Quarterly Results,Expenses,179,207,194,203,190,200,205,220,219,251,,,,
Quarterly Results,Operating Profit,53,53,52,54,35,51,42,51,45,47,,,,
Quarterly Results,OPM %,23%,21%,21%,21%,15%,20%,17%,19%,17%,16%,,,,
Quarterly Results,Other Income,2,1,2,3,4,6,5,5,7,8,,,,
Quarterly Results,Interest,3,3,3,3,3,1,1,1,1,1,,,,
Quarterly Results,Depreciation,7,7,8,9,9,10,10,11,12,12,,,,
Quarterly Results,Profit before tax,46,45,43,44,26,45,35,44,39,41,,,,
Quarterly Results,Tax %,28%,26%,25%,25%,27%,25%,26%,25%,25%,26%,,,,
Quarterly Results,Net Profit,33,33,32,33,19,34,26,33,29,31,,,,
Quarterly Results,EPS in Rs,14.25,3.55,3.44,3.57,1.82,3.26,2.51,3.12,2.78,2.93,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Sales,,942,,,,979,,,,1080,419,573,298,577
Profit & Loss,Expenses,,758,,,,787,,,,895,333,478,275,480
Profit & Loss,Operating Profit,,184,,,,192,,,,185,86,95,23,98
Profit & Loss,OPM %,,20%,,,,20%,,,,17%,20%,17%,8%,17%
Profit & Loss,Other Income,,12,,,,15,,,,25,4,6,13,10
Profit & Loss,Interest,,10,,,,11,,,,5,9,17,12,10
Profit & Loss,Depreciation,,27,,,,37,,,,45,12,15,22,24
Profit & Loss,Profit before tax,,158,,,,159,,,,159,69,69,2,73
Profit & Loss,Tax %,,26%,,,,25%,,,,25%,27%,29%,55%,25%
Profit & Loss,Net Profit,,117,,,,118,,,,119,50,49,1,55
Profit & Loss,EPS in Rs,,12.54,,,,11.29,,,,11.35,2512.00,2255.49,0.42,23.62
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,47,,,,53,,,,53,3,3,23,23
Balance Sheet,Reserves,,388,,,,846,,,,966,171,259,238,294
Balance Sheet,Borrowings,,123,,,,69,,,,62,94,89,130,131
Balance Sheet,Other Liabilities,,126,,,,140,,,,138,86,89,89,110
Balance Sheet,Total Liabilities,,684,,,,1108,,,,1218,354,440,481,557
Balance Sheet,Fixed Assets,,250,,,,327,,,,427,119,144,186,196
Balance Sheet,CWIP,,2,,,,20,,,,23,2,8,0,2
Balance Sheet,Investments,,0,,,,0,,,,31,0,0,16,0
Balance Sheet,Other Assets,,433,,,,760,,,,737,233,288,279,360
Balance Sheet,Total Assets,,684,,,,1108,,,,1218,354,440,481,557
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,98,,,,78,,,,54,64,35,67,35
Cash Flows,Cash from Investing Activity,,-74,,,,-285,,,,-24,-27,-44,-16,-20
Cash Flows,Cash from Financing Activity,,-24,,,,259,,,,-25,-31,4,-55,-16
Cash Flows,Net Cash Flow,,0,,,,51,,,,5,5,-5,-3,-0
,,,,,,,,,,,,,,,
Ratios,Debtor Days,,66,,,,80,,,,88,75,76,142,93
Ratios,Inventory Days,,153,,,,170,,,,197,132,103,288,218
Ratios,Days Payable,,46,,,,49,,,,37,89,69,90,60
Ratios,Cash Conversion Cycle,,174,,,,201,,,,247,118,110,340,252
Ratios,Working Capital Days,,116,,,,134,,,,170,84,108,248,164
Ratios,ROCE %,,33%,,,,22%,,,,16%,,28%,,20%
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,78.59%,78.59%,78.59%,78.59%,78.59%,78.59%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,1.38%,0.25%,0.14%,0.02%,0.09%,0.06%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,9.57%,10.85%,11.34%,11.37%,10.51%,9.55%,,,,
Shareholding Pattern (Quarterly),Public,,,,,10.46%,10.30%,9.92%,10.02%,10.82%,11.80%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,84160,81500,74074,67556,65526,66661,,,,
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,78.59%,,,,78.59%,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,0.25%,,,,0.06%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,10.85%,,,,9.55%,,,,
Shareholding Pattern (Yearly),Public,,,,,,10.30%,,,,11.80%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,81500,,,,66661,,,,
,,,,,,,,,,,,,,,
