Section,,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Mar 2018,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,May 2025,Mar 2017,Mar 2021,Mar 2022
Quarterly Results,Sales,216.64,177.67,176.70,180.54,167.74,168.07,110.94,117.93,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,197.60,158.66,155.66,157.43,171.28,161.90,97.08,100.34,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,19.04,19.01,21.04,23.11,-3.54,6.17,13.86,17.59,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,8.79%,10.70%,11.91%,12.80%,-2.11%,3.67%,12.49%,14.92%,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,1.19,0.93,0.25,0.43,0.38,0.40,0.62,0.33,,,,,,,,,,,,,,,,
Quarterly Results,Interest,11.38,11.33,12.48,14.10,12.45,13.20,12.89,14.44,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,7.96,8.29,8.35,9.38,9.56,9.58,9.59,9.62,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,0.89,0.32,0.46,0.06,-25.17,-16.21,-8.00,-6.14,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,35.96%,162.50%,30.43%,-550.00%,-0.83%,2.65%,2.38%,-228.34%,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,0.57,-0.20,0.32,0.40,-24.97,-16.64,-8.19,7.88,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.24,-0.09,0.14,0.17,-10.64,-7.09,-3.49,3.36,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,752,,,,565,827,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,669,,,,529,747,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,82,,,,36,80,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,11%,,,,6%,10%,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,3,,,,-0,3,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,49,,,,53,43,,,,,,,,,,,,,,,
