Section,,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM,Mar 2025
Quarterly Results,Sales,55,82,32,26,38,108,46,36,32,49,32,42,29,,,,,,,,,,,
Quarterly Results,Expenses,71,130,56,51,55,137,68,57,55,95,53,65,46,,,,,,,,,,,
Quarterly Results,Operating Profit,-16,-48,-24,-25,-17,-29,-22,-20,-23,-46,-21,-23,-17,,,,,,,,,,,
Quarterly Results,OPM %,-29%,-58%,-73%,-94%,-44%,-27%,-47%,-56%,-71%,-94%,-67%,-55%,-57%,,,,,,,,,,,
Quarterly Results,Other Income,14,694,9,9,16,23,11,10,10,2704,14,12,-15,,,,,,,,,,,
Quarterly Results,Interest,22,8,17,19,17,16,17,17,17,18,20,14,17,,,,,,,,,,,
Quarterly Results,Depreciation,3,2,2,2,2,4,2,2,2,2,2,2,2,,,,,,,,,,,
Quarterly Results,Profit before tax,-27,636,-33,-36,-20,-26,-30,-29,-32,2638,-29,-27,-51,,,,,,,,,,,
Quarterly Results,Tax %,0%,0%,0%,0%,0%,31%,0%,0%,0%,-0%,0%,0%,0%,,,,,,,,,,,
Quarterly Results,Net Profit,-27,636,-33,-36,-20,-34,-30,-29,-32,2641,-29,-27,-51,,,,,,,,,,,
Quarterly Results,EPS in Rs,-0.76,17.86,-0.93,-1.03,-0.56,-0.94,-0.84,-0.81,-0.89,74.27,-0.81,-0.76,-1.44,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,176,,,,204,,,,163,,,,354,269,275,228,190,195,263,260,204,151,
Profit & Loss,Expenses,,261,,,,298,,,,274,,,,512,593,567,307,727,318,275,299,274,258,
Profit & Loss,Operating Profit,,-85,,,,-94,,,,-111,,,,-158,-324,-292,-79,-537,-123,-12,-39,-70,-107,
Profit & Loss,OPM %,,-49%,,,,-46%,,,,-68%,,,,-45%,-120%,-106%,-34%,-283%,-63%,-5%,-15%,-35%,-70%,
Profit & Loss,Other Income,,702,,,,57,,,,2735,,,,22,353,40,-136,47,48,245,271,58,2714,
Profit & Loss,Interest,,74,,,,69,,,,68,,,,328,262,291,53,62,66,67,65,84,69,
Profit & Loss,Depreciation,,10,,,,9,,,,8,,,,14,13,12,10,11,10,9,10,10,8,
Profit & Loss,Profit before tax,,533,,,,-115,,,,2548,,,,-478,-246,-556,-278,-562,-151,156,157,-105,2531,
Profit & Loss,Tax %,,0%,,,,7%,,,,-0%,,,,0%,8%,0%,0%,-3%,-0%,0%,1%,4%,,
Profit & Loss,Net Profit,,533,,,,-123,,,,2551,,,,-480,-265,-557,-278,-544,-151,155,156,-110,2534,
Profit & Loss,EPS in Rs,,14.97,,,,-3.46,,,,71.73,,,,-6.32,-3.48,-4.63,-2.31,-4.52,-1.26,4.36,4.38,-3.09,71.26,
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,356,,,,356,,,,356,,356,,760,760,1204,1204,1204,1204,356,356,356,,
Balance Sheet,Reserves,,-4536,,,,-4659,,,,-2108,,-2163,,-3878,-4142,-5149,-5461,-6002,-6098,-5107,-4959,-5069,,
Balance Sheet,Borrowings,,3753,,,,3764,,,,1066,,1062,,1686,1973,2205,323,4401,4514,4344,4376,4405,,
Balance Sheet,Other Liabilities,,1087,,,,1251,,,,1306,,1358,,2075,2100,2413,4770,1094,1027,1155,976,1009,,
Balance Sheet,Total Liabilities,,660,,,,711,,,,620,,612,,643,691,673,836,697,647,748,748,700,,
Balance Sheet,Fixed Assets,,53,,,,44,,,,40,,36,,125,112,94,88,76,66,59,66,60,,
Balance Sheet,CWIP,,7,,,,4,,,,3,,3,,13,13,13,7,9,11,15,7,6,,
Balance Sheet,Investments,,0,,,,0,,,,0,,0,,2,1,1,1,1,1,0,0,0,,
Balance Sheet,Other Assets,,600,,,,663,,,,577,,572,,503,565,565,740,611,569,673,675,635,,
Balance Sheet,Total Assets,,660,,,,711,,,,620,,612,,643,691,673,836,697,647,748,748,700,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,-50,,,,103,,,,-847,,,,-136,-170,-223,-117,-661,-108,-43,-269,-71,,
Cash Flows,Cash from Investing Activity,,45,,,,-28,,,,-44,,,,-9,5,7,-1,5,8,298,188,-27,,
Cash Flows,Cash from Financing Activity,,-7,,,,4,,,,828,,,,124,244,207,354,541,84,-246,-35,7,,
Cash Flows,Net Cash Flow,,-13,,,,79,,,,-63,,,,-22,79,-9,236,-115,-16,8,-116,-92,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,323,,,,333,,,,299,,,,127,124,145,160,185,196,231,211,302,,
Ratios,Inventory Days,,667,,,,412,,,,585,,,,500,833,758,638,1029,1148,1243,754,720,,
Ratios,Days Payable,,361,,,,254,,,,420,,,,170,245,214,304,508,528,628,405,390,,
Ratios,Cash Conversion Cycle,,630,,,,491,,,,464,,,,456,713,689,494,706,816,846,560,632,,
Ratios,Working Capital Days,,-1405,,,,-1519,,,,-2173,,,,-1594,-2100,-2516,-6843,-8556,-8622,-6505,-6511,-2179,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,93.69%,93.69%,93.69%,93.69%,93.69%,93.69%,93.69%,93.69%,93.69%,93.69%,93.69%,,,,,,,,,,,93.69%
Shareholding Pattern (Quarterly),Government,,,0.00%,5.61%,5.61%,5.61%,5.61%,5.61%,5.61%,5.61%,5.61%,5.61%,5.61%,,,,,,,,,,,5.61%
Shareholding Pattern (Quarterly),Public,,,6.31%,0.71%,0.70%,0.70%,0.71%,0.71%,0.71%,0.70%,0.70%,0.71%,0.71%,,,,,,,,,,,0.71%
Shareholding Pattern (Quarterly),No. of Shareholders,,,18359,18475,17996,17997,18143,18161,18785,20123,21510,25116,25643,,,,,,,,,,,27034
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,93.69%,,,,93.69%,,,,93.69%,,,,,,,93.69%,93.69%,93.69%,93.69%,93.69%,93.69%,,93.69%
Shareholding Pattern (Yearly),Government,,0.00%,,,,5.61%,,,,5.61%,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,5.61%
Shareholding Pattern (Yearly),Public,,6.31%,,,,0.70%,,,,0.70%,,,,,,,6.31%,6.31%,6.31%,6.31%,6.31%,6.31%,,0.71%
Shareholding Pattern (Yearly),No. of Shareholders,,18330,,,,17997,,,,20123,,,,,,,22138,20722,18604,18341,18058,18084,,27034
,,,,,,,,,,,,,,,,,,,,,,,,,
