Section,,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,32,80,107,117,116,118,66,143,228,238,96,12,28,,,,,,,,,,,,
Quarterly Results,Expenses,120,87,113,114,112,138,82,154,252,262,117,18,32,,,,,,,,,,,,
Quarterly Results,Operating Profit,-89,-7,-6,3,3,-20,-17,-11,-23,-24,-21,-6,-4,,,,,,,,,,,,
Quarterly Results,OPM %,-280%,-9%,-5%,3%,3%,-17%,-26%,-8%,-10%,-10%,-22%,-52%,-14%,,,,,,,,,,,,
Quarterly Results,Other Income,2711,1,2,1,6,7,24,2,-2,1,-2,17,1,,,,,,,,,,,,
Quarterly Results,Interest,1,7,7,7,8,11,10,11,12,15,15,15,15,,,,,,,,,,,,
Quarterly Results,Depreciation,-1,28,26,26,25,27,25,25,25,24,24,24,23,,,,,,,,,,,,
Quarterly Results,Profit before tax,2622,-42,-37,-28,-24,-51,-28,-45,-62,-62,-62,-28,-42,,,,,,,,,,,,
Quarterly Results,Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,
Quarterly Results,Net Profit,2622,-42,-37,-28,-24,-51,-28,-45,-62,-62,-62,-28,-42,,,,,,,,,,,,
Quarterly Results,EPS in Rs,791.38,-12.54,-11.24,-8.54,-7.30,-15.35,-8.40,-13.64,-18.72,-18.68,-18.58,-8.43,-12.53,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,189,,,,420,,,,554,,,,374,3774,3628,2860,2462,2081,1261,603,347,,,,
Profit & Loss,Expenses,331,,,,426,,,,626,,,,429,3253,3268,2532,2194,2741,1550,665,423,,,,
Profit & Loss,Operating Profit,-142,,,,-6,,,,-71,,,,-55,521,360,328,268,-660,-289,-62,-76,,,,
Profit & Loss,OPM %,-75%,,,,-1%,,,,-13%,,,,-15%,14%,10%,11%,11%,-32%,-23%,-10%,-22%,,,,
Profit & Loss,Other Income,2758,,,,10,,,,30,,,,17,199,-125,154,132,99,-1565,-157,-363,,,,
Profit & Loss,Interest,2,,,,30,,,,43,,,,60,346,432,342,496,147,11,7,3,,,,
Profit & Loss,Depreciation,107,,,,106,,,,102,,,,95,163,267,367,374,158,149,146,145,,,,
Profit & Loss,Profit before tax,2507,,,,-131,,,,-186,,,,-193,210,-464,-227,-471,-865,-2013,-372,-587,,,,
Profit & Loss,Tax %,0%,,,,0%,,,,0%,,,,0%,35%,-37%,-34%,-21%,-34%,26%,0%,0%,,,,
Profit & Loss,Net Profit,2507,,,,-131,,,,-186,,,,-193,137,-294,-149,-370,-573,-2528,-372,-587,,,,
Profit & Loss,EPS in Rs,756.69,,,,-39.64,,,,-56.11,,,,-58.23,4.16,-8.88,-4.51,-11.17,-17.28,-76.28,-11.24,-17.73,,,,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,33,,,,33,,,,33,,,,33,331,331,331,331,331,331,331,331,,,,
Balance Sheet,Reserves,383,,,,231,,,,115,,,,-90,1157,871,691,315,-212,-2718,-3094,-3692,,,,
Balance Sheet,Borrowings,959,,,,1017,,,,932,,,,940,4255,4793,5572,5828,5658,5689,5666,5646,,,,
Balance Sheet,Other Liabilities,117,,,,105,,,,144,,,,172,388,592,463,575,628,432,427,482,,,,
Balance Sheet,Total Liabilities,1492,,,,1385,,,,1225,,,,1055,6132,6587,7057,7049,6405,3734,3330,2768,,,,
Balance Sheet,Fixed Assets,1281,,,,1174,,,,1073,,,,977,3091,3066,2925,2573,2487,2309,2155,2010,,,,
Balance Sheet,CWIP,42,,,,42,,,,42,,,,42,232,481,574,595,553,559,559,432,,,,
Balance Sheet,Investments,2,,,,1,,,,1,,,,1,71,97,43,42,42,42,43,42,,,,
Balance Sheet,Other Assets,167,,,,168,,,,109,,,,34,2738,2944,3515,3839,3323,823,573,284,,,,
Balance Sheet,Total Assets,1492,,,,1385,,,,1225,,,,1055,6132,6587,7057,7049,6405,3734,3330,2768,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-1226,,,,35,,,,44,,,,37,206,706,-492,240,517,385,534,600,,,,
Cash Flows,Cash from Investing Activity,994,,,,3,,,,16,,,,15,-970,-629,-63,-19,-12,62,-9,6,,,,
Cash Flows,Cash from Financing Activity,237,,,,-43,,,,-60,,,,-52,810,-192,633,-264,-547,-456,-523,-609,,,,
Cash Flows,Net Cash Flow,4,,,,-4,,,,0,,,,0,46,-114,77,-44,-41,-8,1,-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,121,,,,49,,,,4,,,,1,71,109,134,170,202,61,36,78,,,,
Ratios,Inventory Days,738,,,,145,,,,44,,,,19,157,127,275,385,174,40,152,193,,,,
Ratios,Days Payable,420,,,,97,,,,70,,,,106,7,34,51,51,32,40,251,551,,,,
Ratios,Cash Conversion Cycle,439,,,,97,,,,-22,,,,-86,222,202,358,504,343,62,-64,-280,,,,
Ratios,Working Capital Days,37,,,,36,,,,-36,,,,-142,167,121,278,348,220,-251,-967,-2649,,,,
Ratios,ROCE %,-13%,,,,-8%,,,,-14%,,,,-15%,11%,4%,2%,1%,-12%,-8%,-4%,-5%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,75.16%,75.16%,75.16%,75.00%,75.00%,75.00%,75.00%,75.00%,,,,,,,,,75.00%,75.00%,75.00%,75.00%
Shareholding Pattern (Quarterly),FIIs,,,,,,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,,,,,,,,,0.13%,0.13%,0.13%,0.13%
Shareholding Pattern (Quarterly),DIIs,,,,,,23.53%,23.53%,23.53%,23.18%,21.73%,21.32%,19.55%,19.21%,,,,,,,,,18.36%,13.91%,12.78%,11.80%
Shareholding Pattern (Quarterly),Public,,,,,,1.18%,1.18%,1.19%,1.69%,3.15%,3.55%,5.31%,5.66%,,,,,,,,,6.51%,10.97%,12.09%,13.07%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,20794,20363,19607,19826,22691,22509,23532,23044,,,,,,,,,23072,24691,25198,25320
,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,75.27%,,,,75.16%,,,,75.00%,,,,75.00%,,,,,20.45%,20.45%,18.55%,18.55%,,,,75.00%
Shareholding Pattern (Yearly),FIIs,0.13%,,,,0.13%,,,,0.13%,,,,0.13%,,,,,6.29%,6.29%,14.97%,14.97%,,,,0.13%
Shareholding Pattern (Yearly),DIIs,24.03%,,,,23.53%,,,,23.18%,,,,19.21%,,,,,0.00%,0.00%,0.00%,0.00%,,,,11.80%
Shareholding Pattern (Yearly),Public,0.57%,,,,1.18%,,,,1.69%,,,,5.66%,,,,,73.26%,73.26%,66.47%,66.47%,,,,13.07%
Shareholding Pattern (Yearly),No. of Shareholders,16753,,,,17140,,,,19826,,,,23044,,,,,59574,56400,54714,53789,,,,25320
,,,,,,,,,,,,,,,,,,,,,,,,,,
