Section,,Mar 2003,Mar 2004,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,15.44,21.03,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,15.37,21.10,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,0.07,-0.07,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,0.45%,-0.33%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,1.17,1.60,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,0.48,0.51,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,0.31,0.37,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,0.45,0.65,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,33.33%,32.31%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,0.30,0.44,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,0.00%,0.00%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,4.56,4.56,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,7.23,3.90,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,3.06,3.09,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,3.73,4.35,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,18.58,15.90,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,6.76,6.50,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,0.00,0.00,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,3.75,0.00,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,8.07,9.40,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,18.58,15.90,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,43.02,28.29,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,182.92,235.48,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,0.00,0.00,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,225.94,263.77,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,102.12,90.95,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,8.79%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,24.95%,24.95%,24.95%,24.95%,24.95%,24.95%,27.63%,27.63%,27.63%,31.02%,31.02%,31.01%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.01%,0.00%,0.00%,0.12%,0.00%,,,,,,
Shareholding Pattern (Quarterly),Public,,,75.05%,75.06%,75.04%,75.05%,75.06%,75.04%,72.37%,72.36%,72.38%,68.97%,68.86%,68.98%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,50743,50978,53498,53609,57497,78857,79033,85227,88119,94872,100895,101626,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,24.95%,,,,27.63%,,,,31.01%,24.19%,24.95%,24.95%,24.95%,24.95%,24.95%
Shareholding Pattern (Yearly),FIIs,,,,,,0.00%,,,,0.01%,,,,0.00%,2.89%,0.27%,0.27%,0.27%,0.27%,0.00%
Shareholding Pattern (Yearly),DIIs,,,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.01%,0.01%,0.01%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,,,75.05%,,,,72.36%,,,,68.98%,72.92%,74.77%,74.77%,74.77%,74.78%,75.05%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,53609,,,,85227,,,,101626,8173,13097,13541,13391,17036,50521
,,,,,,,,,,,,,,,,,,,,,
