Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,591,705,747,791,755,847,819,843,1047,1222,1222,1294,1213,,,,,,
Quarterly Results,Expenses,451,540,581,617,604,721,665,697,917,1006,1026,1081,1027,,,,,,
Quarterly Results,Operating Profit,140,165,166,174,151,126,154,146,130,216,196,213,186,,,,,,
Quarterly Results,OPM %,24%,23%,22%,22%,20%,15%,19%,17%,12%,18%,16%,16%,15%,,,,,,
Quarterly Results,Other Income,-0,9,-7,-1,11,7,-7,5,14,10,5,9,13,,,,,,
Quarterly Results,Interest,32,33,35,38,42,40,42,48,57,63,65,67,70,,,,,,
Quarterly Results,Depreciation,65,64,66,71,78,80,86,93,126,132,139,147,152,,,,,,
Quarterly Results,Profit before tax,42,77,59,65,41,13,19,10,-38,31,-4,9,-22,,,,,,
Quarterly Results,Tax %,-79%,3%,3%,-10%,-45%,112%,-88%,48%,29%,27%,26%,190%,-25%,,,,,,
Quarterly Results,Net Profit,76,75,57,71,60,-2,36,5,-49,22,-5,-8,-17,,,,,,
Quarterly Results,EPS in Rs,0.63,0.61,0.49,0.59,0.50,0.10,0.28,0.08,-0.06,0.25,-0.01,-0.00,-0.12,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,2084,,,,2998,,,,3556,,,,4951,1012,1048,1111,1311,1516,1135
Profit & Loss,Expenses,1608,,,,2341,,,,2902,,,,4141,1013,1008,1015,1106,1254,945
Profit & Loss,Operating Profit,476,,,,657,,,,654,,,,810,-1,39,96,205,262,189
Profit & Loss,OPM %,23%,,,,22%,,,,18%,,,,16%,-0%,4%,9%,16%,17%,17%
Profit & Loss,Other Income,-3,,,,12,,,,-71,,,,37,-0,8,23,42,2,131
Profit & Loss,Interest,129,,,,149,,,,189,,,,265,43,88,34,137,161,155
Profit & Loss,Depreciation,221,,,,278,,,,391,,,,570,85,137,55,203,223,229
Profit & Loss,Profit before tax,123,,,,242,,,,4,,,,13,-129,-178,30,-93,-120,-64
Profit & Loss,Tax %,-26%,,,,-9%,,,,363%,,,,154%,1%,1%,-3%,1%,2%,-2%
Profit & Loss,Net Profit,155,,,,263,,,,-10,,,,-7,-130,-180,31,-94,-121,-63
Profit & Loss,EPS in Rs,1.30,,,,2.20,,,,0.39,,,,0.08,-11.98,-11.31,4.33,-7.46,-11.46,-0.48
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,120,,,,120,,,,121,,,,121,106,106,106,106,106,115
Balance Sheet,Reserves,566,,,,850,,,,935,,,,974,70,-19,33,-176,-295,-2
Balance Sheet,Borrowings,1254,,,,1565,,,,2906,,,,3188,348,306,371,488,1832,1336
Balance Sheet,Other Liabilities,322,,,,450,,,,971,,,,1057,196,202,218,1390,240,219
Balance Sheet,Total Liabilities,2263,,,,2985,,,,4932,,,,5339,720,596,728,1807,1884,1668
Balance Sheet,Fixed Assets,1756,,,,2427,,,,4216,,,,4622,491,406,445,1578,1635,1392
Balance Sheet,CWIP,7,,,,15,,,,11,,,,3,38,15,56,12,14,14
Balance Sheet,Investments,0,,,,0,,,,0,,,,1,0,0,0,0,0,0
Balance Sheet,Other Assets,500,,,,543,,,,705,,,,712,192,174,226,218,235,262
Balance Sheet,Total Assets,2263,,,,2985,,,,4932,,,,5339,720,596,728,1807,1884,1668
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,451,,,,637,,,,592,,,,900,,90,91,278,301,240
Cash Flows,Cash from Investing Activity,-375,,,,-349,,,,-1377,,,,-462,,-67,-140,-165,-91,-355
Cash Flows,Cash from Financing Activity,-58,,,,-283,,,,889,,,,-425,,-32,56,-130,-223,142
Cash Flows,Net Cash Flow,17,,,,5,,,,105,,,,13,,-9,7,-18,-13,27
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,4,,,,4,,,,5,,,,3,5,6,6,6,4,5
Ratios,Inventory Days,52,,,,52,,,,45,,,,35,45,39,48,52,57,66
Ratios,Days Payable,119,,,,98,,,,130,,,,105,127,129,139,128,129,171
Ratios,Cash Conversion Cycle,-64,,,,-42,,,,-79,,,,-66,-77,-85,-84,-70,-68,-100
Ratios,Working Capital Days,-6,,,,-25,,,,-29,,,,-28,-31,-67,-51,-46,-60,-63
Ratios,ROCE %,16%,,,,18%,,,,9%,,,,6%,,-19%,15%,7%,6%,2%
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,62.80%,62.80%,62.80%,62.78%,62.76%,62.74%,62.74%,62.74%,62.73%,62.72%,62.72%,62.72%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,6.87%,8.30%,8.82%,9.77%,12.05%,13.34%,12.47%,12.44%,11.68%,11.17%,11.17%,10.46%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,6.26%,7.47%,7.88%,9.66%,8.74%,8.23%,8.52%,12.20%,14.19%,15.38%,15.46%,16.87%,,,,,,
Shareholding Pattern (Quarterly),Public,,24.07%,21.43%,20.51%,17.78%,16.46%,15.69%,16.27%,12.64%,11.41%,10.73%,10.65%,9.95%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,270711,296192,295333,306355,271689,264714,295903,334075,301376,268125,265184,256379,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,62.80%,,,,62.78%,,,,62.74%,,,,62.72%,,,,,,
Shareholding Pattern (Yearly),FIIs,6.90%,,,,9.77%,,,,12.44%,,,,10.46%,,,,,,
Shareholding Pattern (Yearly),DIIs,5.75%,,,,9.66%,,,,12.20%,,,,16.87%,,,,,,
Shareholding Pattern (Yearly),Public,24.55%,,,,17.78%,,,,12.64%,,,,9.95%,,,,,,
Shareholding Pattern (Yearly),No. of Shareholders,273646,,,,306355,,,,334075,,,,256379,,,,,,
,,,,,,,,,,,,,,,,,,,,
