Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,58.84%,58.63%,58.28%,58.29%,58.26%,58.01%,57.94%,57.92%,57.90%,57.70%,57.68%,57.67%,
Shareholding Pattern (Quarterly),FIIs,9.61%,10.31%,35.52%,35.24%,33.09%,30.63%,31.01%,26.57%,21.58%,17.65%,17.51%,18.69%,
Shareholding Pattern (Quarterly),DIIs,27.21%,1.46%,1.26%,1.44%,3.08%,6.11%,6.11%,11.14%,15.10%,17.05%,16.49%,15.44%,
Shareholding Pattern (Quarterly),Public,4.34%,29.58%,4.95%,5.02%,5.56%,5.23%,4.96%,4.38%,5.40%,7.60%,8.32%,8.22%,
Shareholding Pattern (Quarterly),No. of Shareholders,173841,174817,172167,164912,169358,171423,183343,175298,189347,196778,217516,221612,
,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,58.29%,,,,57.92%,,,,57.67%,58.90%
Shareholding Pattern (Yearly),FIIs,,,,35.24%,,,,26.57%,,,,18.69%,9.78%
Shareholding Pattern (Yearly),DIIs,,,,1.44%,,,,11.14%,,,,15.44%,27.30%
Shareholding Pattern (Yearly),Public,,,,5.02%,,,,4.38%,,,,8.22%,4.02%
Shareholding Pattern (Yearly),No. of Shareholders,,,,164912,,,,175298,,,,221612,179069
,,,,,,,,,,,,,,
