Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025
Quarterly Results,Sales,188.02,179.89,167.71,153.40,148.74,149.39,161.57,153.77,189.42,151.13,156.36,156.07,194.99,,,,,,,,,
Quarterly Results,Expenses,168.33,167.39,161.02,140.38,142.09,138.87,149.26,141.27,171.75,135.25,141.04,139.20,174.78,,,,,,,,,
Quarterly Results,Operating Profit,19.69,12.50,6.69,13.02,6.65,10.52,12.31,12.50,17.67,15.88,15.32,16.87,20.21,,,,,,,,,
Quarterly Results,OPM %,10.47%,6.95%,3.99%,8.49%,4.47%,7.04%,7.62%,8.13%,9.33%,10.51%,9.80%,10.81%,10.36%,,,,,,,,,
Quarterly Results,Other Income,1.32,-0.07,13.88,0.62,-3.12,-0.05,-0.11,0.10,0.75,0.74,1.15,-2.53,1.09,,,,,,,,,
Quarterly Results,Interest,6.65,5.74,5.20,5.07,5.97,5.70,5.18,4.94,7.17,7.25,7.26,8.79,8.87,,,,,,,,,
Quarterly Results,Depreciation,5.08,4.97,5.07,4.09,3.50,3.46,3.49,3.42,3.45,4.08,4.31,4.55,4.87,,,,,,,,,
Quarterly Results,Profit before tax,9.28,1.72,10.30,4.48,-5.94,1.31,3.53,4.24,7.80,5.29,4.90,1.00,7.56,,,,,,,,,
Quarterly Results,Tax %,0.00%,0.00%,0.00%,0.00%,0.51%,3.82%,6.23%,1.18%,1.03%,0.00%,0.00%,-2.00%,13.76%,,,,,,,,,
Quarterly Results,Net Profit,9.28,1.72,10.30,4.48,-5.97,1.26,3.31,4.19,7.72,5.29,4.90,1.02,6.52,,,,,,,,,
Quarterly Results,EPS in Rs,2.47,0.46,2.66,1.17,-1.44,0.36,0.90,1.10,1.98,1.38,1.26,0.24,1.51,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,568,,,,650,,,,654,,,,659,677,507,311,359,385,452,316,285,
Profit & Loss,Expenses,522,,,,611,,,,603,,,,590,655,512,312,354,388,445,329,276,
Profit & Loss,Operating Profit,46,,,,39,,,,51,,,,68,22,-5,-1,6,-3,7,-13,9,
Profit & Loss,OPM %,8%,,,,6%,,,,8%,,,,10%,3%,-1%,-0%,2%,-1%,2%,-4%,3%,
Profit & Loss,Other Income,7,,,,12,,,,2,,,,0,-1,9,14,-30,10,46,-1,2,
Profit & Loss,Interest,26,,,,22,,,,23,,,,32,34,32,27,37,37,38,31,32,
Profit & Loss,Depreciation,20,,,,18,,,,14,,,,18,25,28,25,23,22,21,21,20,
Profit & Loss,Profit before tax,8,,,,11,,,,16,,,,19,-38,-56,-39,-84,-52,-5,-66,-42,
Profit & Loss,Tax %,0%,,,,0%,,,,2%,,,,5%,5%,2%,0%,-15%,0%,1%,0%,0%,
Profit & Loss,Net Profit,8,,,,11,,,,16,,,,18,-40,-57,-39,-72,-52,-5,-66,-42,
Profit & Loss,EPS in Rs,2.03,,,,2.85,,,,4.21,,,,4.12,-32.36,-46.12,-29.50,-44.86,-24.94,-1.83,-24.43,-13.53,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,38,,,,39,,,,39,,,,43,12,12,13,16,21,27,27,31,
Balance Sheet,Reserves,23,,,,36,,,,97,,,,110,269,148,113,58,45,80,14,-9,
Balance Sheet,Borrowings,237,,,,173,,,,194,,,,288,266,183,198,224,250,220,187,197,
Balance Sheet,Other Liabilities,190,,,,191,,,,245,,,,317,121,172,175,209,181,199,203,207,
Balance Sheet,Total Liabilities,487,,,,439,,,,575,,,,758,669,516,499,507,497,526,432,426,
Balance Sheet,Fixed Assets,150,,,,141,,,,187,,,,250,296,252,223,240,221,205,187,169,
Balance Sheet,CWIP,4,,,,11,,,,15,,,,51,0,0,1,0,3,1,1,1,
Balance Sheet,Investments,0,,,,0,,,,0,,,,2,32,32,32,0,0,0,0,0,
Balance Sheet,Other Assets,333,,,,287,,,,373,,,,455,342,232,244,267,273,320,244,256,
Balance Sheet,Total Assets,487,,,,439,,,,575,,,,758,669,516,499,507,497,526,432,426,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-53,,,,76,,,,19,,,,66,-52,69,-16,44,-17,19,23,7,
Cash Flows,Cash from Investing Activity,5,,,,2,,,,-55,,,,-115,21,7,19,-5,7,4,-3,-0,
Cash Flows,Cash from Financing Activity,47,,,,-79,,,,35,,,,62,21,-76,-3,-40,13,-25,-19,-7,
Cash Flows,Net Cash Flow,-0,,,,0,,,,0,,,,13,-10,-0,-0,-0,2,-2,1,-1,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,71,,,,42,,,,64,,,,70,52,19,36,54,43,36,31,57,
Ratios,Inventory Days,148,,,,122,,,,129,,,,56,143,154,266,238,237,196,241,295,
Ratios,Days Payable,56,,,,56,,,,63,,,,74,53,68,128,139,73,60,82,133,
Ratios,Cash Conversion Cycle,163,,,,109,,,,129,,,,52,142,105,174,153,208,171,190,219,
Ratios,Working Capital Days,110,,,,72,,,,66,,,,-20,91,74,121,54,66,41,-18,95,
Ratios,ROCE %,9%,,,,7%,,,,11%,,,,13%,0%,-7%,-6%,-4%,-7%,-3%,-9%,-4%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,33.40%,33.40%,33.40%,33.40%,33.40%,33.40%,33.40%,33.40%,33.40%,30.14%,29.17%,,,,,,,,,32.60%
Shareholding Pattern (Quarterly),FIIs,,,0.01%,0.22%,0.00%,0.03%,0.01%,0.00%,0.15%,0.06%,0.04%,0.02%,0.08%,,,,,,,,,0.08%
Shareholding Pattern (Quarterly),DIIs,,,12.31%,12.31%,12.31%,12.31%,12.31%,12.31%,12.58%,12.31%,12.31%,11.22%,11.22%,,,,,,,,,16.30%
Shareholding Pattern (Quarterly),Public,,,54.30%,54.09%,54.32%,54.28%,54.31%,54.31%,53.89%,54.26%,54.27%,58.62%,59.53%,,,,,,,,,51.02%
Shareholding Pattern (Quarterly),No. of Shareholders,,,19144,19320,19639,20711,21944,24254,25763,26561,31611,32026,31503,,,,,,,,,31503
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,31.64%,,,,33.40%,,,,33.40%,,,,29.17%,,,,32.38%,32.36%,29.70%,29.70%,29.91%,32.60%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.00%,,,,0.15%,,,,0.08%,,,,1.25%,0.00%,0.00%,0.00%,0.00%,0.08%
Shareholding Pattern (Yearly),DIIs,19.75%,,,,12.31%,,,,12.58%,,,,11.22%,,,,0.21%,0.00%,17.74%,17.74%,24.21%,16.30%
Shareholding Pattern (Yearly),Public,48.61%,,,,54.32%,,,,53.89%,,,,59.53%,,,,66.16%,67.64%,52.55%,52.56%,45.88%,51.02%
Shareholding Pattern (Yearly),No. of Shareholders,19031,,,,19639,,,,25763,,,,31503,,,,15533,15221,14887,14467,14865,31503
,,,,,,,,,,,,,,,,,,,,,,,
