Section,,Dec 2023,Mar 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2022,Mar 2023
Quarterly Results,Sales,138,201,165,140,166,,
Quarterly Results,Expenses,115,170,132,114,143,,
Quarterly Results,Operating Profit,23,32,34,26,24,,
Quarterly Results,OPM %,17%,16%,20%,19%,14%,,
Quarterly Results,Other Income,0,5,3,3,5,,
Quarterly Results,Interest,3,4,4,4,3,,
Quarterly Results,Depreciation,3,2,3,3,3,,
Quarterly Results,Profit before tax,17,31,29,22,22,,
Quarterly Results,Tax %,27%,22%,29%,26%,26%,,
Quarterly Results,Net Profit,12,24,21,16,16,,
Quarterly Results,EPS in Rs,6.65,12.78,1.07,0.81,0.76,,
Quarterly Results,Raw PDF,,,,,,,
,,,,,,,,
Profit & Loss,Sales,,544,,,614,240,498
Profit & Loss,Expenses,,449,,,506,200,412
Profit & Loss,Operating Profit,,95,,,107,40,86
Profit & Loss,OPM %,,17%,,,18%,17%,17%
Profit & Loss,Other Income,,6,,,12,1,2
Profit & Loss,Interest,,12,,,15,4,9
Profit & Loss,Depreciation,,9,,,11,4,8
Profit & Loss,Profit before tax,,80,,,94,34,72
Profit & Loss,Tax %,,25%,,,27%,26%,26%
Profit & Loss,Net Profit,,60,,,69,25,53
Profit & Loss,EPS in Rs,,32.14,,,3.23,16.44,33.84
Profit & Loss,Dividend Payout %,,0%,,,0%,0%,0%
,,,,,,,,
Balance Sheet,Equity Capital,,18,,,199,15,16
Balance Sheet,Reserves,,389,,,507,54,140
Balance Sheet,Borrowings,,129,,,68,70,82
Balance Sheet,Other Liabilities,,129,,,184,159,110
Balance Sheet,Total Liabilities,,665,,,958,298,348
Balance Sheet,Fixed Assets,,96,,,136,52,75
Balance Sheet,CWIP,,4,,,8,1,3
Balance Sheet,Investments,,0,,,0,0,0
Balance Sheet,Other Assets,,565,,,814,245,269
Balance Sheet,Total Assets,,665,,,958,298,348
,,,,,,,,
Cash Flows,Cash from Operating Activity,,-65,,,5,-7,2
Cash Flows,Cash from Investing Activity,,-157,,,-160,-30,-29
Cash Flows,Cash from Financing Activity,,232,,,141,37,33
Cash Flows,Net Cash Flow,,10,,,-14,0,5
,,,,,,,,
Ratios,Debtor Days,,104,,,127,125,67
Ratios,Inventory Days,,258,,,296,399,183
Ratios,Days Payable,,102,,,115,198,96
Ratios,Cash Conversion Cycle,,260,,,309,326,154
Ratios,Working Capital Days,,256,,,298,121,110
Ratios,ROCE %,,24%,,,16%,,43%
,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,60.41%,,
Shareholding Pattern (Quarterly),FIIs,,,,,2.63%,,
Shareholding Pattern (Quarterly),DIIs,,,,,2.21%,,
Shareholding Pattern (Quarterly),Public,,,,,34.76%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,67159,,
,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,60.41%,,
Shareholding Pattern (Yearly),FIIs,,,,,2.63%,,
Shareholding Pattern (Yearly),DIIs,,,,,2.21%,,
Shareholding Pattern (Yearly),Public,,,,,34.76%,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,67159,,
,,,,,,,,
