Section,,Dec 2024,Mar 2025,Mar 2016,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,0.62,13.31,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,0.69,2.44,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,-0.07,10.87,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,-11.29%,81.67%,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.04,0.01,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,0.00,0.00,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,0.00,0.00,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,-0.03,10.88,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,-1200.00%,25.09%,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,0.34,8.15,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,1.38,27.58,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,13.93,3.83,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,3.13,0.51,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,10.80,3.32,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,77.53%,86.68%,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,0.06,0.00,,,,,,,,,,,,,,,,
Profit & Loss,Interest,,0.00,0.00,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,0.00,0.00,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,10.86,3.32,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,21.82%,-2.71%,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,8.48,4.09,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,28.70,16.36,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,0.00%,0.00%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,1.48,1.23,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,3306.59,29.77,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,0.00,0.00,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,205.39,0.30,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,3513.46,31.30,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,0.00,0.01,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,0.00,0.00,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,3512.18,26.63,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,1.28,4.66,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,3513.46,31.30,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,4.97,-3.04,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,-4.75,3.11,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,-0.12,-0.03,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,0.10,0.04,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,0.00,0.00,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,0.00,0.00,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,-4.98,271.61,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,74.69%,74.17%,,74.33%,74.34%,74.34%,74.34%,74.34%,74.34%,74.34%,74.34%,74.69%,74.69%,,,,,,
Shareholding Pattern (Quarterly),FIIs,0.20%,0.17%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.20%,,,,,,
Shareholding Pattern (Quarterly),DIIs,0.41%,2.46%,,0.04%,0.90%,0.90%,0.90%,0.90%,0.90%,0.90%,0.90%,0.76%,0.48%,,,,,,
Shareholding Pattern (Quarterly),Public,24.70%,23.20%,,25.63%,24.76%,24.76%,24.76%,24.76%,24.76%,24.76%,24.76%,24.45%,24.63%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,2474,2520,,5715,5810,5835,5820,5840,5909,5896,5931,6102,6235,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,74.17%,,,,,74.34%,,,,74.34%,,,60.00%,60.00%,60.00%,60.03%,64.72%,69.63%
Shareholding Pattern (Yearly),FIIs,,0.17%,,,,,0.00%,,,,0.00%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,,2.46%,,,,,0.90%,,,,0.90%,,,0.06%,0.06%,1.63%,3.76%,3.35%,0.04%
Shareholding Pattern (Yearly),Public,,23.20%,,,,,24.76%,,,,24.76%,,,39.93%,39.93%,38.35%,36.20%,31.92%,30.32%
Shareholding Pattern (Yearly),No. of Shareholders,,2520,,,,,5820,,,,5931,,,5089,5712,5542,5312,5310,5713
,,,,,,,,,,,,,,,,,,,,
