Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025
Quarterly Results,Sales,92,77,77,96,137,138,191,207,215,201,247,209,253,,,,,,,,,
Quarterly Results,Expenses,66,61,61,72,92,102,142,141,147,148,172,150,157,,,,,,,,,
Quarterly Results,Operating Profit,26,16,16,24,45,36,49,67,67,53,76,60,96,,,,,,,,,
Quarterly Results,OPM %,28%,21%,20%,25%,33%,26%,25%,32%,31%,26%,31%,28%,38%,,,,,,,,,
Quarterly Results,Other Income,1,2,2,2,2,2,3,3,2,5,2,2,2,,,,,,,,,
Quarterly Results,Interest,5,5,5,7,6,7,10,11,12,13,15,16,22,,,,,,,,,
Quarterly Results,Depreciation,1,1,1,1,1,1,2,2,2,2,2,2,3,,,,,,,,,
Quarterly Results,Profit before tax,21,12,12,18,40,29,40,56,55,43,61,43,74,,,,,,,,,
Quarterly Results,Tax %,27%,34%,29%,24%,25%,28%,25%,28%,29%,26%,23%,29%,28%,,,,,,,,,
Quarterly Results,Net Profit,15,8,8,14,30,21,30,40,39,32,46,31,54,,,,,,,,,
Quarterly Results,EPS in Rs,0.77,0.39,0.42,0.71,1.52,1.08,1.48,1.98,1.93,1.48,2.31,1.47,2.59,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,285,,,,393,,,,756,,,,910,62,62,187,134,152,121,132,176,
Profit & Loss,Expenses,194,,,,286,,,,531,,,,626,46,36,160,103,113,85,93,134,
Profit & Loss,Operating Profit,92,,,,107,,,,225,,,,285,16,26,28,30,39,36,39,41,
Profit & Loss,OPM %,32%,,,,27%,,,,30%,,,,31%,25%,42%,15%,23%,26%,29%,29%,23%,
Profit & Loss,Other Income,1,,,,2,,,,3,,,,11,0,-0,0,1,0,0,0,0,
Profit & Loss,Interest,15,,,,22,,,,41,,,,66,9,17,19,19,21,20,17,15,
Profit & Loss,Depreciation,3,,,,5,,,,7,,,,8,1,2,2,2,3,3,3,3,
Profit & Loss,Profit before tax,74,,,,82,,,,181,,,,221,6,6,7,10,16,12,18,23,
Profit & Loss,Tax %,27%,,,,27%,,,,28%,,,,26%,38%,25%,39%,41%,24%,28%,32%,27%,
Profit & Loss,Net Profit,54,,,,60,,,,131,,,,163,3,5,4,6,12,6,12,17,
Profit & Loss,EPS in Rs,2.69,,,,3.02,,,,6.56,,,,7.84,0.70,1.02,0.86,1.26,1.22,0.59,1.24,1.17,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,29%,20%,23%,0%,0%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,50,,,,100,,,,199,,,,200,10,10,10,10,20,20,20,29,
Balance Sheet,Reserves,360,,,,378,,,,432,,,,828,46,50,53,70,146,154,193,234,
Balance Sheet,Borrowings,220,,,,206,,,,455,,,,463,96,121,119,147,177,166,143,151,
