Section,,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Quarterly Results,Sales,239,398,615,523,321,447,580,,,,
Quarterly Results,Expenses,271,353,501,535,354,411,467,,,,
Quarterly Results,Operating Profit,-32,45,114,-12,-33,36,112,,,,
Quarterly Results,OPM %,-13%,11%,18%,-2%,-10%,8%,19%,,,,
Quarterly Results,Other Income,1,2,11,3,1,4,9,,,,
Quarterly Results,Interest,20,18,20,20,20,19,13,,,,
Quarterly Results,Depreciation,15,16,14,13,12,12,13,,,,
Quarterly Results,Profit before tax,-65,13,91,-42,-64,8,96,,,,
Quarterly Results,Tax %,0%,-201%,28%,-37%,17%,32%,25%,,,,
Quarterly Results,Net Profit,-65,38,65,-26,-75,6,72,,,,
Quarterly Results,EPS in Rs,-15.53,9.16,15.54,-6.23,-17.88,1.13,14.06,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,
,,,,,,,,,,,,
Profit & Loss,Sales,,,1687,,,,1870,1459,1538,1702,2015
Profit & Loss,Expenses,,,1553,,,,1767,1356,1381,1568,1867
Profit & Loss,Operating Profit,,,134,,,,104,103,158,135,147
Profit & Loss,OPM %,,,8%,,,,6%,7%,10%,8%,7%
Profit & Loss,Other Income,,,14,,,,17,14,8,6,7
Profit & Loss,Interest,,,76,,,,72,69,72,60,73
Profit & Loss,Depreciation,,,60,,,,50,45,47,48,50
Profit & Loss,Profit before tax,,,12,,,,-2,3,46,33,32
Profit & Loss,Tax %,,,1%,,,,1421%,-24%,41%,40%,38%
Profit & Loss,Net Profit,,,12,,,,-23,4,27,19,20
Profit & Loss,EPS in Rs,,,2.93,,,,-4.57,0.97,6.47,4.64,4.68
Profit & Loss,Dividend Payout %,,,0%,,,,0%,0%,0%,0%,0%
,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,42,,,,51,42,42,42,42
Balance Sheet,Reserves,,,459,,,,731,385,412,431,448
Balance Sheet,Borrowings,,,655,,,,490,589,569,637,736
Balance Sheet,Other Liabilities,,,836,,,,683,418,419,623,518
Balance Sheet,Total Liabilities,,,1992,,,,1955,1434,1442,1733,1744
Balance Sheet,Fixed Assets,,,850,,,,878,735,708,667,866
Balance Sheet,CWIP,,,29,,,,22,17,9,50,17
Balance Sheet,Investments,,,0,,,,0,0,0,0,0
Balance Sheet,Other Assets,,,1113,,,,1055,683,725,1016,860
Balance Sheet,Total Assets,,,1992,,,,1955,1434,1442,1733,1744
,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,186,,,,6,250,130,45,197
Cash Flows,Cash from Investing Activity,,,-44,,,,-69,-23,-7,-47,-214
Cash Flows,Cash from Financing Activity,,,-151,,,,64,-226,-121,4,28
Cash Flows,Net Cash Flow,,,-10,,,,1,1,2,3,11
,,,,,,,,,,,,
Ratios,Debtor Days,,,41,,,,27,31,40,39,37
Ratios,Inventory Days,,,250,,,,195,130,146,200,137
Ratios,Days Payable,,,195,,,,140,123,132,176,105
Ratios,Cash Conversion Cycle,,,95,,,,82,39,55,63,68
Ratios,Working Capital Days,,,50,,,,70,44,57,72,52
Ratios,ROCE %,,,7%,,,,6%,,12%,9%,9%
,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,63.31%,63.31%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,1.14%,0.96%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,14.88%,14.17%,,,,
Shareholding Pattern (Quarterly),Public,,,,,,20.67%,21.56%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,100685,99078,,,,
,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,63.31%,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,0.96%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,14.17%,,,,
Shareholding Pattern (Yearly),Public,,,,,,,21.56%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,99078,,,,
,,,,,,,,,,,,
