Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021
Quarterly Results,Sales,248.92,256.08,162.23,209.52,236.58,255.43,294.27,266.86,264.38,268.88,259.66,266.02,281.33,,
Quarterly Results,Expenses,218.50,222.33,173.25,211.70,225.56,246.61,290.94,259.34,245.46,251.99,246.86,255.71,262.75,,
Quarterly Results,Operating Profit,30.42,33.75,-11.02,-2.18,11.02,8.82,3.33,7.52,18.92,16.89,12.80,10.31,18.58,,
Quarterly Results,OPM %,12.22%,13.18%,-6.79%,-1.04%,4.66%,3.45%,1.13%,2.82%,7.16%,6.28%,4.93%,3.88%,6.60%,,
Quarterly Results,Other Income,0.49,1.06,0.87,1.00,-0.04,2.45,1.38,1.40,1.42,-4.46,11.96,0.61,2.39,,
Quarterly Results,Interest,1.58,1.18,0.90,0.89,3.25,6.55,5.30,6.09,7.23,7.95,6.56,5.45,6.40,,
Quarterly Results,Depreciation,1.80,1.71,1.73,1.93,4.64,5.59,5.68,5.80,6.04,7.34,7.36,7.42,6.89,,
Quarterly Results,Profit before tax,27.53,31.92,-12.78,-4.00,3.09,-0.87,-6.27,-2.97,7.07,-2.86,10.84,-1.95,7.68,,
Quarterly Results,Tax %,23.39%,25.72%,-21.67%,-20.75%,63.43%,2.30%,-18.34%,-5.39%,33.24%,22.03%,38.10%,29.23%,30.99%,,
Quarterly Results,Net Profit,21.09,23.71,-10.01,-3.17,1.13,-0.89,-5.12,-2.81,4.72,-3.49,6.71,-2.52,5.30,,
Quarterly Results,EPS in Rs,11.29,12.74,-5.26,-1.62,0.72,-0.36,-2.61,-1.34,2.56,-1.37,4.11,-0.92,2.96,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,909,,,,864,,,,1081,,,,1076,,
Profit & Loss,Expenses,735,,,,833,,,,1042,,,,1017,,
Profit & Loss,Operating Profit,174,,,,32,,,,39,,,,59,,
Profit & Loss,OPM %,19%,,,,4%,,,,4%,,,,5%,,
Profit & Loss,Other Income,8,,,,3,,,,7,,,,11,,
Profit & Loss,Interest,6,,,,6,,,,25,,,,26,,
Profit & Loss,Depreciation,12,,,,10,,,,23,,,,29,,
Profit & Loss,Profit before tax,164,,,,18,,,,-3,,,,14,,
Profit & Loss,Tax %,25%,,,,36%,,,,35%,,,,56%,,
Profit & Loss,Net Profit,123,,,,12,,,,-4,,,,6,,
Profit & Loss,EPS in Rs,65.64,,,,6.58,,,,-1.75,,,,4.77,,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,,
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,19,,,,19,,,,19,,,,19,,
Balance Sheet,Reserves,288,,,,300,,,,297,,,,306,,
Balance Sheet,Borrowings,156,,,,265,,,,372,,,,338,,
Balance Sheet,Other Liabilities,42,,,,63,,,,75,,,,81,,
Balance Sheet,Total Liabilities,505,,,,647,,,,763,,,,744,,
Balance Sheet,Fixed Assets,132,,,,276,,,,324,,,,302,,
Balance Sheet,CWIP,16,,,,11,,,,0,,,,2,,
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,,
Balance Sheet,Other Assets,357,,,,359,,,,439,,,,439,,
Balance Sheet,Total Assets,505,,,,647,,,,763,,,,744,,
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,87,,,,48,,,,-46,,,,66,,
Cash Flows,Cash from Investing Activity,-67,,,,-149,,,,-40,,,,-7,,
Cash Flows,Cash from Financing Activity,-16,,,,102,,,,82,,,,-59,,
Cash Flows,Net Cash Flow,4,,,,1,,,,-4,,,,0,,
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,33,,,,25,,,,39,,,,36,,
Ratios,Inventory Days,143,,,,121,,,,113,,,,125,,
Ratios,Days Payable,7,,,,11,,,,12,,,,12,,
Ratios,Cash Conversion Cycle,169,,,,135,,,,140,,,,148,,
Ratios,Working Capital Days,117,,,,119,,,,121,,,,124,,
Ratios,ROCE %,,,,,5%,,,,3%,,,,5%,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,50.08%,50.08%,50.11%,50.11%,50.11%,50.11%,50.11%,50.11%,50.11%,50.11%,50.11%,50.11%,,
Shareholding Pattern (Quarterly),FIIs,,1.28%,1.22%,1.03%,0.48%,0.48%,0.45%,0.50%,0.52%,0.46%,0.34%,0.45%,0.82%,,
Shareholding Pattern (Quarterly),DIIs,,5.87%,3.36%,2.75%,2.51%,1.97%,1.97%,1.97%,1.97%,2.08%,1.87%,1.88%,1.65%,,
Shareholding Pattern (Quarterly),Public,,42.77%,45.33%,46.12%,46.91%,47.44%,47.47%,47.43%,47.40%,47.34%,47.68%,47.55%,47.42%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,35155,36297,35922,35308,34427,33622,34726,34320,32835,31700,31295,30862,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,50.08%,,,,50.11%,,,,50.11%,,,,50.11%,50.09%,50.12%
Shareholding Pattern (Yearly),FIIs,1.34%,,,,0.48%,,,,0.52%,,,,0.82%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,6.52%,,,,2.51%,,,,1.97%,,,,1.65%,6.53%,6.53%
Shareholding Pattern (Yearly),Public,42.06%,,,,46.91%,,,,47.40%,,,,47.42%,43.38%,43.35%
Shareholding Pattern (Yearly),No. of Shareholders,34154,,,,35308,,,,34320,,,,30862,29685,28878
,,,,,,,,,,,,,,,,
