Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 201418m,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2014
Quarterly Results,Sales,1887,2032,1891,2291,2214,2355,2478,2728,2301,2818,2277,2948,2445,,,,,,,,,
Quarterly Results,Expenses,1647,1836,1746,2106,1981,2024,2214,2402,2015,2451,2047,2616,2158,,,,,,,,,
Quarterly Results,Operating Profit,240,196,145,185,233,331,264,325,285,367,230,332,287,,,,,,,,,
Quarterly Results,OPM %,13%,10%,8%,8%,11%,14%,11%,12%,12%,13%,10%,11%,12%,,,,,,,,,
Quarterly Results,Other Income,55,36,25,92,86,99,94,129,133,103,140,143,178,,,,,,,,,
Quarterly Results,Interest,4,3,3,3,4,3,9,11,12,11,10,4,5,,,,,,,,,
Quarterly Results,Depreciation,34,37,37,38,38,40,58,57,59,62,61,62,62,,,,,,,,,
Quarterly Results,Profit before tax,257,192,130,236,278,386,290,386,347,398,299,410,398,,,,,,,,,
Quarterly Results,Tax %,26%,27%,24%,23%,22%,25%,27%,23%,22%,24%,-8%,22%,20%,,,,,,,,,
Quarterly Results,Net Profit,190,141,99,181,216,290,211,299,270,302,324,321,318,,,,,,,,,
Quarterly Results,EPS in Rs,14.47,10.66,7.49,13.70,16.41,26.24,19.05,27.01,24.43,27.30,28.98,28.66,28.46,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,7283,,,,8429,,,,9804,,,,10244,6502,4113,3432,4145,5059,6262,5810,7014,
Profit & Loss,Expenses,6317,,,,7659,,,,8673,,,,9080,6115,4039,3271,3878,4506,5539,5149,5888,
Profit & Loss,Operating Profit,966,,,,770,,,,1130,,,,1164,387,73,161,268,553,723,661,1126,
