Section,,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,68,66,70,83,84,73,78,90,95,100,92,,,
Quarterly Results,Expenses,56,57,51,67,66,59,63,72,75,78,73,,,
Quarterly Results,Operating Profit,12,9,19,16,18,14,14,18,20,22,19,,,
Quarterly Results,OPM %,18%,14%,27%,19%,21%,19%,19%,20%,21%,22%,21%,,,
Quarterly Results,Other Income,0,0,0,1,0,1,1,1,1,1,0,,,
Quarterly Results,Interest,1,1,1,1,1,0,0,0,0,0,0,,,
Quarterly Results,Depreciation,1,1,2,1,2,2,2,2,2,3,4,,,
Quarterly Results,Profit before tax,10,7,16,15,15,13,14,17,19,20,15,,,
Quarterly Results,Tax %,24%,25%,23%,24%,24%,32%,28%,26%,27%,23%,25%,,,
Quarterly Results,Net Profit,8,5,13,11,12,9,10,12,14,15,11,,,
Quarterly Results,EPS in Rs,3.29,2.25,1.10,0.97,0.90,0.70,0.78,0.96,1.06,1.18,0.87,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,269,,,,318,,,,376,144,144,241
Profit & Loss,Expenses,,,216,,,,256,,,,297,122,122,194
Profit & Loss,Operating Profit,,,53,,,,62,,,,79,22,23,47
Profit & Loss,OPM %,,,20%,,,,20%,,,,21%,15%,16%,20%
Profit & Loss,Other Income,,,-3,,,,4,,,,3,-3,-2,1
Profit & Loss,Interest,,,4,,,,3,,,,0,12,9,7
Profit & Loss,Depreciation,,,5,,,,6,,,,11,4,4,4
Profit & Loss,Profit before tax,,,41,,,,57,,,,70,4,8,37
Profit & Loss,Tax %,,,27%,,,,27%,,,,25%,-32%,25%,25%
Profit & Loss,Net Profit,,,30,,,,42,,,,53,5,6,28
Profit & Loss,EPS in Rs,,,2.64,,,,3.23,,,,4.06,2.05,2.63,12.03
Profit & Loss,Dividend Payout %,,,8%,,,,8%,,,,7%,0%,0%,0%
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,23,,,,26,,,,26,23,23,23
Balance Sheet,Reserves,,,91,,,,267,,,,317,30,36,63
Balance Sheet,Borrowings,,,45,,,,0,,,,1,63,53,39
Balance Sheet,Other Liabilities,,,55,,,,82,,,,84,41,50,58
Balance Sheet,Total Liabilities,,,214,,,,375,,,,427,157,162,183
Balance Sheet,Fixed Assets,,,56,,,,83,,,,172,44,43,46
Balance Sheet,CWIP,,,1,,,,5,,,,10,0,0,7
Balance Sheet,Investments,,,0,,,,0,,,,0,0,0,0
Balance Sheet,Other Assets,,,157,,,,287,,,,245,113,118,131
Balance Sheet,Total Assets,,,214,,,,375,,,,427,157,162,183
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,7,,,,44,,,,27,13,12,32
Cash Flows,Cash from Investing Activity,,,-9,,,,-35,,,,-74,-1,-3,-13
Cash Flows,Cash from Financing Activity,,,0,,,,90,,,,-3,-10,-10,-14
Cash Flows,Net Cash Flow,,,-2,,,,99,,,,-50,2,-1,5
,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,91,,,,109,,,,113,72,85,80
Ratios,Inventory Days,,,120,,,,107,,,,109,122,134,84
Ratios,Days Payable,,,78,,,,100,,,,93,130,157,80
Ratios,Cash Conversion Cycle,,,132,,,,116,,,,129,64,62,84
Ratios,Working Capital Days,,,128,,,,107,,,,127,157,159,96
Ratios,ROCE %,,,34%,,,,26%,,,,22%,,17%,36%
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,66.99%,66.99%,66.99%,66.99%,66.99%,66.99%,66.99%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,1.13%,0.36%,0.29%,0.21%,0.13%,1.57%,0.66%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,6.76%,5.83%,6.16%,5.91%,5.59%,5.66%,5.91%,,,
Shareholding Pattern (Quarterly),Public,,,,,25.12%,26.82%,26.56%,26.89%,27.27%,25.76%,26.43%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,94506,97153,94670,92602,93397,95796,104640,,,
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,66.99%,,,,66.99%,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,0.29%,,,,0.66%,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,6.16%,,,,5.91%,,,
Shareholding Pattern (Yearly),Public,,,,,,,26.56%,,,,26.43%,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,94670,,,,104640,,,
,,,,,,,,,,,,,,,
