Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025
Quarterly Results,Sales,20861,21529,22540,23229,23190,22831,22516,22205,22208,21964,22302,22319,22504,,,,,,,,,
Quarterly Results,Expenses,16724,17671,18608,18690,18671,18627,18546,18007,17828,17614,17798,17779,17880,,,,,,,,,
Quarterly Results,Operating Profit,4136,3858,3932,4539,4519,4204,3970,4198,4381,4350,4503,4540,4624,,,,,,,,,
Quarterly Results,OPM %,20%,18%,17%,20%,19%,18%,18%,19%,20%,20%,20%,20%,21%,,,,,,,,,
Quarterly Results,Other Income,502,472,512,649,632,640,740,598,653,730,962,1005,1217,,,,,,,,,
Quarterly Results,Interest,172,204,227,290,286,309,303,312,331,329,357,415,377,,,,,,,,,
Quarterly Results,Depreciation,734,774,797,923,847,738,897,932,840,729,831,676,722,,,,,,,,,
Quarterly Results,Profit before tax,3732,3352,3420,3975,4018,3798,3509,3552,3862,4022,4278,4453,4743,,,,,,,,,
Quarterly Results,Tax %,17%,24%,23%,23%,23%,24%,24%,24%,26%,24%,25%,24%,24%,,,,,,,,,
Quarterly Results,Net Profit,3092,2559,2649,3065,3094,2886,2667,2701,2858,3037,3227,3367,3588,,,,,,,,,
Quarterly Results,EPS in Rs,2.82,2.34,2.42,2.78,2.80,2.61,2.53,2.58,2.71,2.87,3.07,3.20,3.41,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,79312,,,,90488,,,,89760,,,,89088,43424,46951,51244,55448,54487,59019,61138,61935,
Profit & Loss,Expenses,62628,,,,73649,,,,73008,,,,71067,33788,36652,40448,44128,44100,47406,48795,47164,
Profit & Loss,Operating Profit,16684,,,,16839,,,,16752,,,,18021,9635,10299,10796,11321,10387,11613,12342,14771,
Profit & Loss,OPM %,21%,,,,19%,,,,19%,,,,20%,22%,22%,21%,20%,19%,20%,20%,24%,
Profit & Loss,Other Income,2067,,,,2275,,,,2631,,,,3909,1922,2450,2752,2623,2550,2614,2728,2404,
Profit & Loss,Interest,532,,,,1008,,,,1255,,,,1477,383,350,558,594,583,738,733,509,
Profit & Loss,Depreciation,3078,,,,3340,,,,3407,,,,2958,1060,1175,1496,2310,2112,1947,2086,2763,
Profit & Loss,Profit before tax,15141,,,,14766,,,,14721,,,,17496,10114,11224,11494,11039,10242,11542,12252,13903,
Profit & Loss,Tax %,19%,,,,23%,,,,25%,,,,24%,21%,22%,22%,23%,22%,22%,20%,22%,
Profit & Loss,Net Profit,12243,,,,11366,,,,11112,,,,13218,7991,8714,8957,8518,8003,9018,9772,10868,
Profit & Loss,EPS in Rs,11.15,,,,10.34,,,,10.57,,,,12.54,6.04,6.58,6.76,6.55,6.63,7.46,8.51,9.85,
Profit & Loss,Dividend Payout %,27%,,,,5%,,,,5%,,,,48%,25%,34%,17%,6%,6%,7%,6%,5%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,1096,,,,1098,,,,1045,,,,2094,493,494,494,486,905,1207,1143,1096,
Balance Sheet,Reserves,64307,,,,76570,,,,73943,,,,80736,31636,36598,45651,51184,47022,55216,54179,53805,
Balance Sheet,Borrowings,17593,,,,17467,,,,16465,,,,19204,5159,7891,12522,14241,13901,9947,9724,10451,
Balance Sheet,Other Liabilities,24280,,,,21789,,,,23611,,,,26362,12245,13367,12924,12761,13563,16217,15954,17213,
Balance Sheet,Total Liabilities,107276,,,,116924,,,,115064,,,,128396,49533,58350,71590,78672,75391,82586,81000,82566,
Balance Sheet,Fixed Assets,37990,,,,44757,,,,44083,,,,45654,10649,10837,17279,19886,18127,17465,22062,23040,
Balance Sheet,CWIP,1602,,,,617,,,,748,,,,221,369,395,381,738,1378,2142,1881,1853,
Balance Sheet,Investments,26154,,,,33073,,,,33384,,,,43926,6146,5532,20915,29913,25797,22887,20032,18775,
Balance Sheet,Other Assets,41531,,,,38477,,,,36848,,,,38595,32368,41586,33016,28135,30090,40093,37024,38898,
Balance Sheet,Total Assets,107276,,,,116924,,,,115064,,,,128396,49533,58350,71590,78672,75391,82586,81000,82566,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,11080,,,,13060,,,,17622,,,,16943,6790,7840,7887,9277,8423,11632,10064,14755,
Cash Flows,Cash from Investing Activity,-22321,,,,-8169,,,,1144,,,,-8044,-284,-2537,-13761,-11770,3595,5065,3593,685,
Cash Flows,Cash from Financing Activity,4659,,,,-6088,,,,-18257,,,,-6396,-3570,-830,-159,-2275,-12998,-4937,-15100,-12884,
Cash Flows,Net Cash Flow,-6583,,,,-1197,,,,509,,,,2502,2936,4474,-6032,-4767,-979,11760,-1442,2556,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,53,,,,51,,,,47,,,,48,72,71,71,62,68,62,62,56,
Ratios,Inventory Days,,,,,,,,,,,,,,28,56,66,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,639,671,597,,,,,,
Ratios,Cash Conversion Cycle,53,,,,51,,,,47,,,,48,-539,-544,-461,62,68,62,62,56,
Ratios,Working Capital Days,33,,,,36,,,,32,,,,26,48,65,60,54,57,29,18,9,
Ratios,ROCE %,21%,,,,18%,,,,17%,,,,20%,29%,27%,23%,19%,17%,19%,20%,22%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,72.96%,72.94%,72.92%,72.91%,72.93%,72.90%,72.89%,72.82%,72.80%,72.75%,72.73%,,,,,,,,,72.67%
Shareholding Pattern (Quarterly),FIIs,,,6.58%,6.30%,6.38%,6.32%,6.47%,6.70%,6.96%,7.12%,7.27%,7.81%,8.35%,,,,,,,,,8.10%
Shareholding Pattern (Quarterly),DIIs,,,7.96%,7.84%,8.01%,7.56%,8.03%,8.13%,8.28%,8.25%,8.71%,8.20%,7.47%,,,,,,,,,7.75%
Shareholding Pattern (Quarterly),Public,,,12.29%,12.73%,12.51%,13.05%,12.43%,12.16%,11.76%,11.68%,11.10%,11.12%,11.31%,,,,,,,,,11.36%
Shareholding Pattern (Quarterly),Others,,,0.21%,0.19%,0.18%,0.16%,0.14%,0.13%,0.11%,0.11%,0.11%,0.11%,0.11%,,,,,,,,,0.11%
Shareholding Pattern (Quarterly),No. of Shareholders,,,2670785,2765513,2691329,2779436,2593087,2521361,2397648,2369089,2236752,2358943,2431180,,,,,,,,,2491207
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,73.00%,,,,72.92%,,,,72.89%,,,,72.73%,,,,73.25%,74.32%,73.85%,74.04%,73.02%,72.67%
Shareholding Pattern (Yearly),FIIs,8.12%,,,,6.38%,,,,6.96%,,,,8.35%,,,,10.96%,10.09%,8.93%,8.45%,9.21%,8.10%
Shareholding Pattern (Yearly),DIIs,3.24%,,,,8.01%,,,,8.28%,,,,7.47%,,,,5.77%,5.78%,6.50%,7.02%,6.16%,7.75%
Shareholding Pattern (Yearly),Public,15.37%,,,,12.51%,,,,11.76%,,,,11.31%,,,,9.45%,9.30%,10.26%,10.09%,11.25%,11.36%
Shareholding Pattern (Yearly),Others,0.27%,,,,0.18%,,,,0.11%,,,,0.11%,,,,0.56%,0.51%,0.45%,0.40%,0.35%,0.11%
Shareholding Pattern (Yearly),No. of Shareholders,1934986,,,,2691329,,,,2397648,,,,2431180,,,,241154,269694,330074,511881,818539,2491207
,,,,,,,,,,,,,,,,,,,,,,,
