Section,,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2021,Mar 2022,Mar 2023
Quarterly Results,Sales,401,437,492,564,578,585,576,603,,,,
Quarterly Results,Expenses,126,154,200,242,246,244,267,367,,,,
Quarterly Results,Operating Profit,275,283,292,322,332,341,309,236,,,,
Quarterly Results,OPM %,68%,65%,59%,57%,57%,58%,54%,39%,,,,
Quarterly Results,Other Income,4,3,5,1,5,1,5,4,,,,
Quarterly Results,Interest,164,174,184,204,209,205,214,200,,,,
Quarterly Results,Depreciation,3,4,5,5,4,3,6,5,,,,
Quarterly Results,Profit before tax,112,107,108,114,123,134,94,35,,,,
Quarterly Results,Tax %,19%,26%,24%,25%,24%,28%,22%,-10%,,,,
Quarterly Results,Net Profit,91,79,82,86,94,96,73,38,,,,
Quarterly Results,EPS in Rs,9.85,8.59,8.45,9.94,10.45,6.05,4.69,2.34,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,
,,,,,,,,,,,,,
Profit & Loss,Sales,,,,1891,,,,2342,602,682,911,1306
Profit & Loss,Expenses,,,,739,,,,1123,135,255,247,419
Profit & Loss,Operating Profit,,,,1152,,,,1218,467,427,663,888
Profit & Loss,OPM %,,,,61%,,,,52%,78%,63%,73%,68%
Profit & Loss,Other Income,,,,15,,,,14,16,3,6,5
Profit & Loss,Interest,,,,730,,,,828,303,324,411,559
Profit & Loss,Depreciation,,,,17,,,,18,5,7,10,12
Profit & Loss,Profit before tax,,,,420,,,,386,175,100,248,321
Profit & Loss,Tax %,,,,24%,,,,22%,34%,23%,27%,25%
Profit & Loss,Net Profit,,,,318,,,,301,115,77,182,242
Profit & Loss,EPS in Rs,,,,34.49,,,,18.87,12.65,7.68,19.40,25.83
Profit & Loss,Dividend Payout %,,,,0%,,,,0%,0%,0%,0%,0%
,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,89,,,,161,78,88,89,89
Balance Sheet,Reserves,,,,2142,,,,3273,1014,1412,1568,1784
Balance Sheet,Borrowings,,,,9130,,,,9860,3001,4015,6066,7117
Balance Sheet,Other Liabilities,,,,345,,,,344,186,182,251,381
Balance Sheet,Total Liabilities,,,,11707,,,,13638,4279,5696,7973,9371
Balance Sheet,Fixed Assets,,,,57,,,,82,5,22,24,51
Balance Sheet,CWIP,,,,2,,,,0,3,1,0,1
Balance Sheet,Investments,,,,1785,,,,2052,1193,1383,1766,1790
Balance Sheet,Other Assets,,,,9863,,,,11504,3077,4291,6183,7529
Balance Sheet,Total Assets,,,,11707,,,,13638,4279,5696,7973,9371
,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,-2134,,,,-1047,-336,-711,-1326,-1296
Cash Flows,Cash from Investing Activity,,,,36,,,,-388,-36,-201,-386,-115
Cash Flows,Cash from Financing Activity,,,,2045,,,,1586,375,977,2028,928
Cash Flows,Net Cash Flow,,,,-53,,,,151,4,65,317,-483
,,,,,,,,,,,,,
Ratios,Debtor Days,,,,5,,,,3,10,10,8,8
Ratios,Inventory Days,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,5,,,,3,10,10,8,8
Ratios,Working Capital Days,,,,-24,,,,-27,-9,-15,0,-24
Ratios,ROCE %,,,,11%,,,,10%,,,10%,10%
,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,4.68%,4.28%,5.23%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,23.36%,23.13%,22.52%,,,,
Shareholding Pattern (Quarterly),Public,,,,,,71.91%,72.54%,72.20%,,,,
Shareholding Pattern (Quarterly),Others,,,,,,0.06%,0.06%,0.06%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,124981,115060,110098,,,,
,,,,,,,,,,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,5.23%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,22.52%,,,,
Shareholding Pattern (Yearly),Public,,,,,,,,72.20%,,,,
Shareholding Pattern (Yearly),Others,,,,,,,,0.06%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,110098,,,,
,,,,,,,,,,,,,
