Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Apr 2025
Quarterly Results,Sales,3.00,1.52,0.75,0.99,0.36,0.30,0.39,0.74,0.07,0.62,1.30,7.01,8.20,,,,,,,,,
Quarterly Results,Expenses,2.34,1.62,0.68,0.76,207.30,0.52,0.82,0.98,0.37,0.60,0.89,4.77,8.79,,,,,,,,,
Quarterly Results,Operating Profit,0.66,-0.10,0.07,0.23,-206.94,-0.22,-0.43,-0.24,-0.30,0.02,0.41,2.24,-0.59,,,,,,,,,
Quarterly Results,OPM %,22.00%,-6.58%,9.33%,23.23%,-57483.33%,-73.33%,-110.26%,-32.43%,-428.57%,3.23%,31.54%,31.95%,-7.20%,,,,,,,,,
Quarterly Results,Other Income,0.00,0.00,0.00,0.00,239.54,0.08,0.11,0.00,-0.07,0.06,0.12,0.09,4.42,,,,,,,,,
Quarterly Results,Interest,3.32,0.00,0.01,0.00,0.01,0.01,0.00,0.00,0.03,0.00,0.00,0.00,0.04,,,,,,,,,
Quarterly Results,Depreciation,0.51,0.52,0.52,0.52,-1.35,0.05,0.05,0.06,0.05,0.05,0.05,0.12,0.10,,,,,,,,,
Quarterly Results,Profit before tax,-3.17,-0.62,-0.46,-0.29,33.94,-0.20,-0.37,-0.30,-0.45,0.03,0.48,2.21,3.69,,,,,,,,,
Quarterly Results,Tax %,70.03%,27.42%,0.00%,0.00%,2.62%,0.00%,0.00%,0.00%,-2.22%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
Quarterly Results,Net Profit,-5.39,-0.79,-0.46,-0.29,33.05,-0.20,-0.37,-0.30,-0.45,0.03,0.48,2.21,3.69,,,,,,,,,
Quarterly Results,EPS in Rs,-2.68,-0.39,-0.23,-0.14,16.42,-0.10,-0.18,-0.15,-0.22,0.01,0.24,1.10,1.83,,,,,,,,,
