Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,716,652,478,388,608,363,185,153,552,602,260,952,1321,,,,,,,,,,
Quarterly Results,Expenses,494,596,444,321,372,305,147,136,344,411,223,712,1005,,,,,,,,,,
Quarterly Results,Operating Profit,222,56,35,67,235,58,37,17,208,191,38,240,316,,,,,,,,,,
Quarterly Results,OPM %,31%,9%,7%,17%,39%,16%,20%,11%,38%,32%,14%,25%,24%,,,,,,,,,,
Quarterly Results,Other Income,12,12,18,12,17,19,18,15,31,23,25,20,9,,,,,,,,,,
Quarterly Results,Interest,9,7,7,7,7,6,5,5,4,4,5,41,67,,,,,,,,,,
Quarterly Results,Depreciation,19,16,16,16,16,14,14,15,15,14,14,38,54,,,,,,,,,,
Quarterly Results,Profit before tax,207,45,30,56,229,57,36,13,219,196,43,180,204,,,,,,,,,,
Quarterly Results,Tax %,-14%,25%,26%,26%,24%,29%,26%,25%,26%,25%,26%,23%,23%,,,,,,,,,,
Quarterly Results,Net Profit,236,34,22,41,174,40,27,9,164,144,32,137,156,,,,,,,,,,
Quarterly Results,EPS in Rs,14.54,2.07,1.35,2.56,10.73,2.46,1.67,0.56,10.10,8.92,1.98,8.48,9.64,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,2249,,,,2126,,,,1252,,,,3135,206,219,347,351,269,434,608,702,,
Profit & Loss,Expenses,1275,,,,1733,,,,932,,,,2350,191,193,291,308,266,335,434,477,,
Profit & Loss,Operating Profit,974,,,,392,,,,320,,,,785,15,26,57,42,3,99,174,225,,
Profit & Loss,OPM %,43%,,,,18%,,,,26%,,,,25%,7%,12%,16%,12%,1%,23%,29%,32%,,
Profit & Loss,Other Income,35,,,,59,,,,83,,,,77,12,23,17,4,23,10,13,18,,
Profit & Loss,Interest,38,,,,28,,,,20,,,,117,1,2,0,2,0,7,5,6,,
Profit & Loss,Depreciation,56,,,,64,,,,58,,,,121,19,19,18,10,9,12,12,13,,
Profit & Loss,Profit before tax,915,,,,360,,,,325,,,,624,7,27,56,35,16,90,169,224,,
Profit & Loss,Tax %,26%,,,,25%,,,,27%,,,,24%,244%,14%,35%,20%,57%,33%,34%,34%,,
Profit & Loss,Net Profit,675,,,,271,,,,239,,,,471,-11,23,36,25,7,61,111,147,,
Profit & Loss,EPS in Rs,41.67,,,,16.72,,,,14.78,,,,29.04,-0.49,1.58,2.34,1.62,0.47,3.80,7.01,9.30,,
Profit & Loss,Dividend Payout %,1%,,,,5%,,,,68%,,,,8%,0%,0%,7%,10%,36%,4%,6%,4%,,
,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,27,,,,162,,,,162,9,9,9,9,9,9,9,9,,
Balance Sheet,Reserves,,,,,1907,,,,1996,,,,2451,270,295,329,351,355,420,522,662,,
Balance Sheet,Borrowings,,,,,206,,,,133,,,,1890,0,0,0,0,0,0,0,0,,
Balance Sheet,Other Liabilities,,,,,392,,,,302,,,,1146,191,164,177,174,145,167,156,191,,
Balance Sheet,Total Liabilities,,,,,2532,,,,2593,,,,5648,470,467,514,533,508,596,687,862,,
Balance Sheet,Fixed Assets,,,,,878,,,,886,,,,3111,241,229,222,225,224,225,262,260,,
Balance Sheet,CWIP,,,,,67,,,,116,,,,373,13,28,5,4,3,4,12,202,,
Balance Sheet,Investments,,,,,469,,,,484,,,,227,18,40,45,58,48,119,175,65,,
Balance Sheet,Other Assets,,,,,1118,,,,1106,,,,1937,197,170,242,245,234,248,238,335,,
Balance Sheet,Total Assets,,,,,2532,,,,2593,,,,5648,470,467,514,533,508,596,687,862,,
,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,873,,,,142,,,,153,,,,841,-66,32,16,36,-7,85,128,169,,
Cash Flows,Cash from Investing Activity,-793,,,,-11,,,,-66,,,,-1561,60,-28,-9,-24,4,-71,-106,-147,,
Cash Flows,Cash from Financing Activity,-106,,,,-129,,,,-107,,,,704,-5,-0,-0,-3,-3,-13,-13,-12,,
Cash Flows,Net Cash Flow,-26,,,,2,,,,-20,,,,-16,-12,4,8,9,-7,1,9,10,,
,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,25,,,,10,,,,44,81,31,43,6,10,5,3,11,,
Ratios,Inventory Days,,,,,92,,,,794,,,,312,1836,574,,,256,440,238,180,,
Ratios,Days Payable,,,,,79,,,,275,,,,245,665,346,,,107,146,128,207,,
Ratios,Cash Conversion Cycle,,,,,37,,,,529,,,,111,1252,259,43,6,159,299,113,-16,,
Ratios,Working Capital Days,,,,,21,,,,198,,,,87,-31,-70,-8,-22,-1,-10,-3,-16,,
Ratios,ROCE %,,,,,,,,,15%,,,,22%,2%,9%,16%,10%,-1%,23%,34%,36%,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,73.23%,74.37%,74.37%,74.37%,74.31%,74.26%,74.22%,74.22%,74.22%,74.22%,74.22%,74.22%,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.51%,0.49%,0.30%,0.32%,0.31%,0.33%,0.43%,0.70%,0.77%,0.99%,1.06%,1.12%,,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.80%,0.81%,0.81%,0.79%,0.74%,0.64%,1.26%,1.42%,1.45%,1.46%,1.49%,1.43%,,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,25.46%,24.34%,24.53%,24.52%,24.65%,24.78%,24.07%,23.67%,23.56%,23.34%,23.23%,23.24%,,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,24214,30560,30243,27458,25803,24757,34621,57023,52803,54523,55636,55408,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,73.18%,,,,74.37%,,,,74.22%,,,,74.22%,,,,,,72.43%,72.43%,72.45%,73.24%,73.22%
Shareholding Pattern (Yearly),FIIs,0.36%,,,,0.32%,,,,0.70%,,,,1.12%,,,,,,0.00%,1.25%,1.53%,0.36%,0.00%
Shareholding Pattern (Yearly),DIIs,0.81%,,,,0.79%,,,,1.42%,,,,1.43%,,,,,,0.85%,1.53%,1.52%,1.58%,0.81%
Shareholding Pattern (Yearly),Public,25.65%,,,,24.52%,,,,23.67%,,,,23.24%,,,,,,26.73%,24.79%,24.50%,24.82%,25.97%
Shareholding Pattern (Yearly),No. of Shareholders,12716,,,,27458,,,,57023,,,,55408,,,,,,7915,9150,9513,9958,9620
,,,,,,,,,,,,,,,,,,,,,,,,
